,Distribuidor,Fecha,Toneladas
83,CASA GRANDE,2019-09-18,104405.337449
84,DIPSA-AYACUCHO,2019-09-18,127074.321912
85,ECONOMYSA,2019-09-18,119391.656874
86,LA GENOVESA - TACNA,2019-09-18,58465.265804
90,STA APOLONIA - T,2019-09-18,252743.184013
91,VEGA - ESTE,2019-09-18,80005.742336
92,VEGA - SUR,2019-09-18,16528.710744
94,DIPSA-ANDAHUAYLAS,2019-09-19,48108.916612
96,PATITA SAC,2019-09-20,60505.728286
97,SAUL,2019-09-20,47225.442802
98,STA APOLONIA - T,2019-09-20,280433.506294
99,CODIFER,2019-09-21,65108.865982
100,DICOBELSA - LIMA,2019-09-21,84844.813534
101,EDUFARMA MERCADO,2019-09-21,271752.069323
102,GUMISA - HUARAZ,2019-09-21,63988.599468
103,LAGUI,2019-09-21,0.54842
104,MYG,2019-09-21,1672.47588
105,MYL_HERMANOS,2019-09-21,322293.27835
106,VEGA - CENTRO,2019-09-21,105105.815741
107,LIDER - TRUJILLO,2019-09-22,0.012036
108,CODIFER,2019-09-23,75921.149474
109,DICOBELSA - LIMA,2019-09-23,154184.00716
110,DIJISA - LIMA,2019-09-23,68691.882836
112,DROGUERIA SAN MARTIN,2019-09-23,79197.928322
114,MYL_HERMANOS,2019-09-23,353877.519956
115,SAN JUAN,2019-09-23,147858.286871
116,VEGA - CENTRO,2019-09-23,70514.061245
117,VEGA - ESTE,2019-09-23,91825.07084
118,VEGA - NORTE,2019-09-23,256663.174743
119,ALMACENES_SEVILLANO,2019-09-24,10480.74684
120,CURTIS ESTE,2019-09-24,180429.874007
121,EUROVA,2019-09-24,205459.174614
122,LANCERO - PUCALLPA,2019-09-24,19345.221935
123,LIDER - TRUJILLO,2019-09-24,0.275189
124,ALMACENES_SEVILLANO,2019-09-02,11636.010501
125,CORPORACION_VEGA,2019-09-02,153064.387763
126,DIJISA - AYACUCHO,2019-09-02,46212.562423
127,FERROL,2019-09-02,23109.050878
128,MYL_HERMANOS,2019-09-02,438383.785887
129,PATITA SAC,2019-09-02,44818.042621
130,SIPAN - Y,2019-09-02,101774.518255
131,TCA SAC,2019-09-02,83046.589819
132,CALLAYUC,2019-09-03,69891.016526
133,AGA - JAEN,2019-09-04,29188.755962
134,CURTIS NORTE,2019-09-04,128168.783702
137,AGA - JAEN,2019-09-05,119508.556583
138,ALMACENES_SEVILLANO,2019-09-05,4608.197892
139,GIANELA,2019-09-05,110623.321615
142,STA APOLONIA - CH,2019-09-05,177342.095141
143,CODIJISA - CHIMBOTE,2019-09-06,122856.326302
144,LYG-CD_SAC,2019-09-06,417191.891282
145,RODAMEOS,2019-09-06,449991.036175
146,URBANO,2019-09-06,100400.461128
147,DACIA - LIMA,2019-09-07,90069.149927
148,DIPSA-ABANCAY,2019-09-07,38512.384893
150,RICMAN,2019-09-07,17047.687531
151,SODALES,2019-09-07,167990.322091
152,ARCANGEL,2019-09-09,137295.146185
153,CODIFER,2019-09-09,24765.035059
154,DICOBELSA - LIMA,2019-09-09,106301.051692
155,GUMISA - HUARAZ,2019-09-09,75054.889924
156,LA GENOVESA - ILO,2019-09-09,4671.946151
158,VEGA - CENTRO,2019-09-09,77821.799847
161,CODIFER,2019-09-10,11601.671438
162,DICOBELSA - LIMA,2019-09-10,119435.954954
163,GUMISA - HUARAZ,2019-09-10,59167.410348
164,LANCERO - TINGO MARIA,2019-09-10,116.261445
166,RICMAN,2019-09-10,51494.901217
168,TAYMI,2019-09-10,149212.742388
169,VEGA - CENTRO,2019-09-10,106230.519624
170,ZV,2019-09-10,82830.862438
171,CODIJISA - TRUJILLO,2019-09-11,82715.086628
173,TAMBOS AQP,2019-09-11,73391.534524
174,EUROVA,2019-09-12,102970.249475
175,LANCERO - LA MERCED,2019-09-12,7856.165195
176,MARRACHE,2019-09-12,526308.006906
177,DISART,2019-09-13,61593.623647
178,EUROVA,2019-09-13,28082.655088
179,LANCERO - LA MERCED,2019-09-13,13836.161067
180,MYG,2019-09-13,21288.928506
182,STA APOLONIA - T,2019-09-14,633483.345419
183,TAMBOS AQP,2019-09-14,179153.512742
184,CASA GRANDE,2019-09-16,83261.390028
185,DIJISA - AYACUCHO,2019-09-16,91880.814448
186,ESTILOS,2019-09-16,904.071799
187,LA GENOVESA - TACNA,2019-09-16,49477.938996
188,MYL_HERMANOS,2019-09-16,282229.659145
190,P&PJ CHINCHA,2019-09-16,98455.014783
191,SIPAN - Y,2019-09-16,41598.707019
192,CHUPACA BUSINESS,2019-09-17,190498.98217
193,AGA - MOYOBAMBA,2019-09-18,60030.383242
194,CHUPACA BUSINESS,2019-09-18,69981.365302
195,JRC - NAZCA,2019-09-18,5252.157566
196,LIDER - TRUJILLO,2019-09-18,0.288832
198,TEMMY,2019-09-18,133039.150772
199,VEGA - NORTE,2019-09-18,135906.050396
200,5M DISTRIBUCIONES,2019-09-19,88820.536425
201,ALMACENES_SEVILLANO,2019-09-19,13600.415915
202,DIJISA - AYACUCHO,2019-09-19,25945.622445
205,JRC - NAZCA,2019-09-19,9024.349552
207,PATITA SAC,2019-09-19,30222.764776
208,TCA SAC,2019-09-19,113129.0599
209,VEGA - ESTE,2019-09-19,86017.004871
210,CALLAYUC,2019-09-20,109926.311764
211,LANCERO - PUCALLPA,2019-09-20,34273.16795
212,CALLAYUC,2019-09-21,63386.977083
213,DIPSA-AYACUCHO,2019-09-21,72984.313232
214,JRC - ICA,2019-09-21,51373.038742
215,VEGA - SUR,2019-09-21,48185.178182
217,ECONOMYSA,2019-09-23,185255.280214
218,GUMISA - HUARAZ,2019-09-23,14291.042398
219,RODAMEOS,2019-09-23,116710.911078
220,SAUL,2019-09-23,34748.224469
221,URBANO,2019-09-23,22193.70895
222,CODIJISA - TRUJILLO,2019-09-24,95643.825394
223,DIPSA-ANDAHUAYLAS,2019-09-24,19741.868905
224,LAGUI,2019-09-24,31905.36291
225,RICMAN,2019-09-24,1159.532623
226,RODAMEOS,2019-09-24,575843.632132
227,URBANO,2019-09-24,68490.438312
228,CODIJISA - TRUJILLO,2019-09-25,134568.734545
229,DACIA - LIMA,2019-09-25,102576.486007
230,EDUFARMA MERCADO,2019-09-26,327377.062505
231,LA GENOVESA - ILO,2019-09-26,21848.157408
232,LANCERO - LA MERCED,2019-09-26,17692.156681
233,MELVIN MICHEL AL,2019-09-26,85988.902493
236,CODIFER,2019-09-27,99070.581729
237,DICOBELSA - LIMA,2019-09-27,156769.197679
238,GUMISA - HUARAZ,2019-09-27,79765.047046
239,LA GENOVESA - ILO,2019-09-27,19032.12136
240,TAMBOS LIMA,2019-09-27,131452.050217
241,VEGA - CENTRO,2019-09-27,86377.944315
243,DIJISA - ICA,2019-09-28,32897.547086
244,DROGUERIA SAN MARTIN,2019-09-28,32556.933025
245,TAMBOS AQP,2019-09-28,209752.318225
247,DIJISA - LIMA,2019-09-30,223942.439238
248,5M DISTRIBUCIONES,2019-09-02,92030.122871
249,CHUPACA BUSINESS,2019-09-02,125346.938954
251,PANAM,2019-09-02,108588.0
252,TEMMY,2019-09-02,49817.149902
253,5M DISTRIBUCIONES,2019-09-03,195123.28397
254,AGA - JAEN,2019-09-03,27876.004274
257,PANAM,2019-09-03,98614.848
258,CALLAYUC,2019-09-04,43245.516587
259,CODIJISA - CHIMBOTE,2019-09-04,95767.935158
260,CORPORACION_VEGA,2019-09-04,135230.399996
261,JRC - ICA,2019-09-04,104219.943264
262,LYG-CD_SAC,2019-09-04,726942.612206
263,CALLAYUC,2019-09-05,136783.512923
264,CODIJISA - CHIMBOTE,2019-09-05,120379.417992
265,CORPORACION_VEGA,2019-09-05,106881.468772
266,DACIA - LIMA,2019-09-05,66898.915221
267,DIPSA-ABANCAY,2019-09-05,42080.762785
268,DISTRIBUIDORA CCM,2019-09-05,85990.714545
269,JRC - ICA,2019-09-05,97616.740978
270,LANCERO - HUANUCO,2019-09-05,11936.303605
271,LIDER - TRUJILLO,2019-09-05,0.300337
272,LYG-CD_SAC,2019-09-05,22042.783513
273,SODALES,2019-09-05,55273.418004
274,DACIA - LIMA,2019-09-06,42604.898987
275,DIPSA-ABANCAY,2019-09-06,34255.437675
276,DISTRIBUIDORA CCM,2019-09-06,103845.738796
277,ECONOMYSA,2019-09-06,13628.64928
278,LANCERO - HUANUCO,2019-09-06,4656.187166
280,SODALES,2019-09-06,49585.453349
281,VEGA - ESTE,2019-09-06,73513.481894
282,ARCANGEL,2019-09-07,8248.914191
283,DIJISA - HUANCAYO,2019-09-07,60308.867672
284,DIPSA-ANDAHUAYLAS,2019-09-07,78675.139622
285,ECONOMYSA,2019-09-07,22818.770292
286,EDUSA,2019-09-07,226058.968888
287,LA GENOVESA - ILO,2019-09-07,10303.844864
289,RODAMEOS,2019-09-07,112288.153878
290,EDUFARMA MERCADO,2019-09-09,283754.583921
293,ZV,2019-09-09,86649.400674
294,EDUFARMA MERCADO,2019-09-10,646504.084956
295,LANCERO - LA MERCED,2019-09-10,3160.143919
296,MARRACHE,2019-09-10,49732.54858
297,MELVIN MICHEL AL,2019-09-10,51872.739805
299,CODIFER,2019-09-11,105473.35508
300,DICOBELSA - LIMA,2019-09-11,181485.510713
301,DIJISA - ICA,2019-09-11,74808.289515
302,DISART,2019-09-11,296085.90957
303,DROGUERIA SAN MARTIN,2019-09-11,214642.207231
304,LANCERO - LA MERCED,2019-09-11,14812.206421
305,MARRACHE,2019-09-11,79433.704729
306,VEGA - CENTRO,2019-09-11,43557.46027
308,CODIFER,2019-09-12,56113.177628
309,DIJISA - ICA,2019-09-12,30163.674686
310,DISART,2019-09-12,65296.290612
311,DROGUERIA SAN MARTIN,2019-09-12,22466.942234
313,LANCERO - TINGO MARIA,2019-09-12,2484.227033
315,TAMBOS AQP,2019-09-12,65724.367282
316,TAYMI,2019-09-12,61316.954447
317,VEGA - CENTRO,2019-09-12,50021.325785
319,DIJISA - LIMA,2019-09-13,106158.122578
320,LANCERO - TINGO MARIA,2019-09-13,10688.585509
321,LIDER - CHEPEN,2019-09-13,286560.620823
322,SAN JUAN,2019-09-13,101716.277365
323,TAMBOS AQP,2019-09-13,220912.063677
324,TAYMI,2019-09-13,48122.983319
325,CASA GRANDE,2019-09-14,89095.784239
326,CURTIS ESTE,2019-09-14,102514.192931
328,DIJISA - CHINCHA,2019-09-14,21290.932479
329,DIJISA - LIMA,2019-09-14,96337.663598
330,EUROVA,2019-09-14,81241.175326
331,LA GENOVESA - TACNA,2019-09-14,33579.453691
332,P&PJ CHINCHA,2019-09-14,31834.960216
333,CHUPACA BUSINESS,2019-09-16,110159.636952
335,PANAM,2019-09-16,67963.664
336,DIJISA - AYACUCHO,2019-09-17,27229.451744
338,PANAM,2019-09-17,118047.8176
339,PATITA SAC,2019-09-17,46441.205225
341,CORPORACION_VEGA,2019-09-18,120089.67542
342,DIJISA - AYACUCHO,2019-09-18,16477.705256
343,MYL_HERMANOS,2019-09-18,199248.43691
344,PATITA SAC,2019-09-18,20133.960671
345,CORPORACION_VEGA,2019-09-19,96907.685204
346,GRUPO SVS,2019-09-19,60523.458501
347,LIDER - TRUJILLO,2019-09-19,0.368084
348,MYL_HERMANOS,2019-09-19,227055.033239
349,CURTIS NORTE,2019-09-20,110448.422892
350,DIPSA-ABANCAY,2019-09-20,47000.428696
352,ECONOMYSA,2019-09-20,197233.271131
353,JRC - NAZCA,2019-09-20,5268.535507
355,LIDER - TRUJILLO,2019-09-20,0.199574
357,VEGA - ESTE,2019-09-20,68405.126339
358,ALMACENES_SEVILLANO,2019-09-21,10640.294428
359,CURTIS NORTE,2019-09-21,54648.587352
361,ECONOMYSA,2019-09-21,146292.760184
362,GIANELA,2019-09-21,213610.335718
363,LANCERO - PUCALLPA,2019-09-21,12144.851764
366,RODAMEOS,2019-09-21,66825.493859
367,STA APOLONIA - CH,2019-09-21,80827.072981
368,VEGA - ESTE,2019-09-21,94073.81923
369,ALMACENES_SEVILLANO,2019-09-22,0.048509
371,DIPSA-AYACUCHO,2019-09-23,35356.554889
374,DYCART,2019-09-02,24969.213454
375,KONSUMASS,2019-09-02,62772.207284
376,DIJISA - AYACUCHO,2019-09-03,29736.842743
377,PATITA SAC,2019-09-03,29978.153405
378,SAUL,2019-09-03,30881.579836
381,DICOBELSA - LIMA,2019-09-04,181019.339091
382,GUMISA - HUARAZ,2019-09-04,18443.778865
383,LA GENOVESA - MOQUEGUA,2019-09-04,16948.024143
384,LAGUI,2019-09-04,82847.231483
385,MYG,2019-09-04,8924.450344
386,MYL_HERMANOS,2019-09-04,238383.053595
387,URBANO,2019-09-04,68416.866769
388,VEGA - CENTRO,2019-09-04,65430.242239
389,CODIJISA - TRUJILLO,2019-09-05,88308.262789
390,GRUPO SVS,2019-09-05,56441.602848
391,LANCERO - TINGO MARIA,2019-09-05,688.160315
393,RICMAN,2019-09-05,486.521704
394,CURTIS NORTE,2019-09-06,72855.24219
395,DIJISA - LIMA,2019-09-06,145670.319355
397,JRC - NAZCA,2019-09-06,11704.223609
399,SAN JUAN,2019-09-06,159296.14438
400,VEGA - NORTE,2019-09-06,117358.280988
401,ALMACENES_SEVILLANO,2019-09-07,888.110847
402,EUROVA,2019-09-07,42409.022153
403,GIANELA,2019-09-07,184735.836846
404,LANCERO - PUCALLPA,2019-09-07,16612.588539
405,MOLISAC,2019-09-07,171000.070401
407,STA APOLONIA - CH,2019-09-07,204995.559098
408,TAMBOS LIMA,2019-09-07,56634.892759
409,TCA SAC,2019-09-07,75008.646084
411,AGA - TARAPOTO,2019-09-09,258031.982759
414,DYCART,2019-09-09,10746.262081
415,KONSUMASS,2019-09-09,50543.752476
416,TEMMY,2019-09-09,46567.795471
417,AGA - JAEN,2019-09-10,27681.381365
419,SAUL,2019-09-10,33385.13056
421,CODIJISA - PIURA,2019-09-11,137349.499856
422,GUMISA - HUARAZ,2019-09-11,62561.309998
423,LA GENOVESA - MOQUEGUA,2019-09-11,8064.006725
424,LAGUI,2019-09-11,23209.668904
425,MYG,2019-09-11,34788.335841
426,MYL_HERMANOS,2019-09-11,277621.16635
427,URBANO,2019-09-11,109033.842445
428,CODIJISA - TRUJILLO,2019-09-12,72153.656532
429,GRUPO SVS,2019-09-12,290975.99622
430,RICMAN,2019-09-12,80165.989265
431,DACIA - LIMA,2019-09-13,29968.380488
432,JRC - NAZCA,2019-09-13,10656.69829
433,VEGA - NORTE,2019-09-13,149427.151748
434,ALMACENES_SEVILLANO,2019-09-14,8736.435354
435,DIJISA - HUANCAYO,2019-09-14,51404.783504
436,EDUSA,2019-09-14,185474.805895
437,ESTILOS,2019-09-14,75360.337546
438,LA GENOVESA - ILO,2019-09-14,25736.016424
439,LANCERO - PUCALLPA,2019-09-14,11236.852368
440,MOLISAC,2019-09-14,231661.627226
443,SIPAN - Y,2019-09-14,99910.225755
444,TAMBOS LIMA,2019-09-14,128489.374757
445,TCA SAC,2019-09-14,74487.288629
447,AGA - MOYOBAMBA,2019-09-16,41365.033113
448,AGA - TARAPOTO,2019-09-16,150322.147025
450,KONSUMASS,2019-09-16,108696.616742
452,TEMMY,2019-09-16,87407.818857
453,ZV,2019-09-16,88149.452272
454,5M DISTRIBUCIONES,2019-09-17,109316.53865
455,AGA - JAEN,2019-09-17,55861.108659
457,MELVIN MICHEL AL,2019-09-17,47033.109398
458,CODIJISA - PIURA,2019-09-18,108197.083907
459,LA GENOVESA - MOQUEGUA,2019-09-18,5408.009107
460,LAGUI,2019-09-18,20448.0
461,MYG,2019-09-18,11888.416068
462,URBANO,2019-09-18,44033.139893
463,CALLAYUC,2019-09-19,59788.60586
464,CODIJISA - CHIMBOTE,2019-09-19,87714.636703
465,DIJISA - ICA,2019-09-19,72493.27912
466,DISART,2019-09-19,85766.291133
468,JRC - ICA,2019-09-19,49066.510886
469,LYG-CD_SAC,2019-09-19,99267.28115
470,DACIA - LIMA,2019-09-20,76501.263414
471,DISTRIBUIDORA CCM,2019-09-20,138948.749642
472,LANCERO - HUANUCO,2019-09-20,3656.177993
473,LIDER - CHEPEN,2019-09-20,42268.756485
474,SODALES,2019-09-20,82741.585731
475,VEGA - NORTE,2019-09-20,136738.092534
476,CASA GRANDE,2019-09-21,85705.179317
477,DIJISA - HUANCAYO,2019-09-21,19568.656879
478,EDUSA,2019-09-21,222061.94328
479,ESTILOS,2019-09-21,56552.181931
480,LA GENOVESA - ILO,2019-09-21,6428.971504
481,LA GENOVESA - TACNA,2019-09-21,132906.686646
482,MOLISAC,2019-09-21,209369.906609
484,P&PJ CHINCHA,2019-09-21,33253.332631
485,SIPAN - Y,2019-09-21,72526.214413
486,TCA SAC,2019-09-21,111180.350722
488,AGA - MOYOBAMBA,2019-09-23,65436.936212
489,CHUPACA BUSINESS,2019-09-23,123100.269023
491,TEMMY,2019-09-23,64019.403007
492,ZV,2019-09-23,111961.536996
493,5M DISTRIBUCIONES,2019-09-24,176340.258384
494,AGA - JAEN,2019-09-24,39020.461395
495,CORPORACION_VEGA,2019-09-01,193816.281487
496,CURTIS NORTE,2019-09-02,48956.270928
498,GRUPO SVS,2019-09-02,23701.632514
499,JRC - NAZCA,2019-09-02,11871.488647
501,LIDER - TRUJILLO,2019-09-02,0.416626
502,VEGA - NORTE,2019-09-02,204114.224381
503,ALMACENES_SEVILLANO,2019-09-03,308.083863
504,CURTIS NORTE,2019-09-03,102383.472054
506,GIANELA,2019-09-03,102114.41407
507,JRC - NAZCA,2019-09-03,58318.699674
508,LANCERO - PUCALLPA,2019-09-03,31510.668999
510,MOLISAC,2019-09-03,175918.007074
511,STA APOLONIA - CH,2019-09-03,36698.445223
512,TCA SAC,2019-09-03,76756.102486
513,VEGA - ESTE,2019-09-03,84258.439166
514,ALMACENES_SEVILLANO,2019-09-04,96.177855
515,DIPSA-AYACUCHO,2019-09-04,110828.635031
516,GIANELA,2019-09-04,115599.723416
517,LANCERO - PUCALLPA,2019-09-04,25025.454783
518,STA APOLONIA - CH,2019-09-04,43411.332967
519,VEGA - SUR,2019-09-04,17392.937216
521,DIPSA-AYACUCHO,2019-09-05,101373.125414
522,TEMMY,2019-09-05,82041.313961
523,VEGA - SUR,2019-09-05,21044.63339
526,DYCART,2019-09-06,241910.286875
527,SAUL,2019-09-06,18713.093645
528,GUMISA - HUARAZ,2019-09-07,194341.40198
529,LAGUI,2019-09-07,37257.666698
530,SAUL,2019-09-07,16601.074144
531,URBANO,2019-09-07,103385.750049
532,CODIJISA - TRUJILLO,2019-09-09,68455.906873
533,DACIA - LIMA,2019-09-09,85028.90102
535,RICMAN,2019-09-09,20962.674965
536,DIJISA - HUANCAYO,2019-09-10,90317.131032
537,DIJISA - LIMA,2019-09-10,76470.297724
538,EDUSA,2019-09-10,256717.788014
539,LA GENOVESA - ILO,2019-09-10,22280.022022
541,SAN JUAN,2019-09-10,675195.767933
542,TAMBOS LIMA,2019-09-10,195386.383214
543,LA GENOVESA - ILO,2019-09-11,7752.026091
545,TAMBOS LIMA,2019-09-11,137168.474242
547,AGA - TARAPOTO,2019-09-12,220344.666739
549,KONSUMASS,2019-09-12,43239.737347
551,STA APOLONIA - T,2019-09-12,137342.988123
552,ZV,2019-09-12,75062.17982
554,AGA - TARAPOTO,2019-09-13,44536.899238
556,KONSUMASS,2019-09-13,30848.516909
557,MELVIN MICHEL AL,2019-09-13,137499.31094
559,CODIJISA - PIURA,2019-09-14,68588.233972
560,LA GENOVESA - MOQUEGUA,2019-09-14,7584.043931
561,MYG,2019-09-14,13136.176608
562,GRUPO SVS,2019-09-16,139500.390079
563,JRC - NAZCA,2019-09-16,8299.637947
564,LIDER - CHEPEN,2019-09-16,423720.821731
565,VEGA - NORTE,2019-09-16,177957.97025
566,CASA GRANDE,2019-09-17,75809.483787
567,ESTILOS,2019-09-17,39121.348051
568,JRC - NAZCA,2019-09-17,63504.511012
569,LA GENOVESA - TACNA,2019-09-17,89340.564747
570,LIDER - CHEPEN,2019-09-17,370268.648116
571,MOLISAC,2019-09-17,145121.525045
572,P&PJ CHINCHA,2019-09-17,37171.199709
573,SIPAN - Y,2019-09-17,138608.239288
574,TCA SAC,2019-09-17,39022.775488
575,VEGA - NORTE,2019-09-17,119073.973341
576,ESTILOS,2019-09-18,1920.096172
577,FERROL,2019-09-18,51349.190981
578,LANCERO - PUCALLPA,2019-09-18,21961.145581
579,MOLISAC,2019-09-18,163024.866111
581,SIPAN - Y,2019-09-18,115075.299684
582,TCA SAC,2019-09-18,129548.016346
583,AGA - MOYOBAMBA,2019-09-19,2980.471291
584,CHUPACA BUSINESS,2019-09-19,86016.598072
585,FERROL,2019-09-19,7536.844858
586,TEMMY,2019-09-19,130884.22335
587,VEGA - SUR,2019-09-19,38640.605757
588,5M DISTRIBUCIONES,2019-09-20,131478.209895
589,AGA - JAEN,2019-09-20,39628.934955
590,AGA - MOYOBAMBA,2019-09-20,14760.327058
593,TEMMY,2019-09-20,48229.101065
594,5M DISTRIBUCIONES,2019-09-21,50812.667417
595,AGA - JAEN,2019-09-21,32204.234465
597,CALLAYUC,2019-09-23,40839.020742
598,CODIJISA - CHIMBOTE,2019-09-23,57937.174149
599,DACIA - LIMA,2019-09-23,87758.895658
600,DIPSA-ABANCAY,2019-09-23,33983.952502
601,DISTRIBUIDORA CCM,2019-09-23,84424.055985
602,JRC - ICA,2019-09-23,71961.188834
603,LANCERO - HUANUCO,2019-09-23,1152.275222
604,LYG-CD_SAC,2019-09-23,268532.300416
605,SODALES,2019-09-23,134461.506948
606,DACIA - LIMA,2019-09-24,79600.985171
607,DIJISA - HUANCAYO,2019-09-24,60961.264352
608,DIPSA-ABANCAY,2019-09-24,33945.342834
609,DISTRIBUIDORA CCM,2019-09-24,326776.89771
610,EDUSA,2019-09-24,205078.043208
611,LA GENOVESA - ILO,2019-09-24,5808.021985
612,LANCERO - HUANUCO,2019-09-24,2404.165565
615,SODALES,2019-09-24,94169.847052
616,ARCANGEL,2019-09-25,24149.7364
617,DIJISA - HUANCAYO,2019-09-25,198077.017016
619,CODIJISA - PIURA,2019-09-02,0.22031
620,CURTIS ESTE,2019-09-02,152293.396997
621,DIJISA - CHINCHA,2019-09-02,33524.635169
622,GUMISA - HUARAZ,2019-09-02,24065.471462
623,LA GENOVESA - MOQUEGUA,2019-09-02,19184.037336
624,RODAMEOS,2019-09-02,274055.657162
625,URBANO,2019-09-02,54899.138164
626,CODIJISA - TRUJILLO,2019-09-03,73521.065343
628,GRUPO SVS,2019-09-03,26449.138238
630,RICMAN,2019-09-03,14725.67419
631,DACIA - LIMA,2019-09-04,80369.970011
633,LIDER - CHEPEN,2019-09-04,160264.375207
634,PANAM,2019-09-04,119660.6374
635,VEGA - NORTE,2019-09-04,161666.115373
636,LA GENOVESA - ILO,2019-09-05,26072.250277
637,LANCERO - LA MERCED,2019-09-05,16728.198372
638,MOLISAC,2019-09-05,106990.936752
640,PATITA SAC,2019-09-05,27741.852882
641,TCA SAC,2019-09-05,58133.344033
643,CODIFER,2019-09-06,72233.880016
644,CORPORACION_VEGA,2019-09-06,99275.054916
645,DICOBELSA - LIMA,2019-09-06,93546.41611
646,FERROL,2019-09-06,47404.164959
647,GUMISA - HUARAZ,2019-09-06,14243.245144
648,MYL_HERMANOS,2019-09-06,300912.295551
649,VEGA - CENTRO,2019-09-06,38417.574125
650,CODIJISA - TRUJILLO,2019-09-07,29881.470233
651,TAMBOS AQP,2019-09-07,112176.322799
652,ALMACENES_SEVILLANO,2019-09-09,9432.144527
653,EUROVA,2019-09-09,73610.81512
654,GIANELA,2019-09-09,140981.279191
655,LANCERO - LA MERCED,2019-09-09,9892.384791
656,MYG,2019-09-09,1.271122
657,STA APOLONIA - CH,2019-09-09,137002.55477
658,CODIJISA - CHIMBOTE,2019-09-10,84119.594474
659,LYG-CD_SAC,2019-09-10,376146.170905
661,STA APOLONIA - T,2019-09-10,434014.111337
662,DACIA - LIMA,2019-09-11,91208.867683
664,DIPSA-ABANCAY,2019-09-11,122740.732237
665,KONSUMASS,2019-09-11,46908.16412
666,SODALES,2019-09-11,93497.961018
667,CASA GRANDE,2019-09-12,187729.640564
668,DIJISA - AYACUCHO,2019-09-12,48296.514069
669,DIJISA - HUANCAYO,2019-09-12,31984.407663
670,EDUSA,2019-09-12,190848.347494
671,ESTILOS,2019-09-12,20368.956793
672,LA GENOVESA - TACNA,2019-09-12,27947.587426
675,P&PJ CHINCHA,2019-09-12,58964.507491
676,SIPAN - Y,2019-09-12,131994.482709
677,ARCANGEL,2019-09-13,29061.241216
