,SKU,Fecha,Toneladas
232, PH ELITE PLUS DH VERTICAL 6 X 8,2020-02-20,1.689887
235,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2021-03-23,142912.0
246,PH HIGIENOL DH 4x6 40 METROS,2019-10-02,3.812566
251,PH ELITE DH 24 X 2 LA,2020-11-20,8.669331
252,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2019-11-24,2176.0
261,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2019-09-06,196707.84
262,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-04-22,341348.1984
266,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-06-19,181734.976
268,PH NOBLE DH 24 X 2,2020-11-25,2.116788
281,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-03-06,71000.0
284,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-07-15,107.9892
285,RC NOVA DH MEGAROLLO  1 X 12,2021-03-05,28.842135
286,PH ELITE  DH 4 X 12 LA,2021-03-15,8.158012
287,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-12-29,86997.6
288,PH ELITE DH 2 X 10 LA,2021-03-17,7.988132
290,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-03-02,103427.4816
296,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-10-20,1679.94
297,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-08-25,43264.0
300,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-06-19,245088.0
307,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-02-19,3156371.136
308,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-07-14,245472.0
309,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2021-02-15,224400.0
314,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-01-17,0.029392
317,RC NOVA DH MEGAROLLO  2 X 6,2020-11-15,0.221761
318,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-01-15,10.781656
322,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-06-10,0.347
325, PH ELITE PLUS DH VERTICAL 6 X 8,2020-03-14,1.411935
328,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-05-19,152835.3792
336,PH ELITE PLUS DH 24 X 2,2020-09-07,0.951128
338,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-05-16,266455.296
339,PH ELITE DUO  DH 6 x 8  25 METROS,2020-04-04,21.34304
342,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-12-23,39440.0
343,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2021-03-29,33600.1536
345,PH ELITE  DH 4 X 12 LA,2020-02-17,16.021892
355,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-03-12,66768.0
356,RC NOVA DH MEGAROLLO  2 X 6,2020-10-23,1.686822
359,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2019-11-04,62582.0
362,PH HIGIENOL DH 4x6 40 METROS,2020-10-28,5.906644
363,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-02-25,81664.0
365,PH ELITE DUO  DH 4x12 25 METROS,2019-11-24,0.02391
367,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-12-25,0.003265
368,SE ELITE CORTADA 1000 X 12,2020-03-11,0.330292
370,PH ELITE DH 6 X 8 LA,2021-03-19,5.096062
376,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-09-27,239.976
377,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-03-13,3587626.368
379,PH NOBLE DH 24 X 2,2020-12-18,2.461587
381,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-03-30,289644.5952
384,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-02-02,6400.0
387,PH HIGIENOL DH  4 X 12,2020-12-25,0.007848
389,PH NOBLE DH 24 X 2,2019-10-24,1.852821
390,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2019-09-24,1319.904
393,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-03-30,330408.96
395,RC NOVA DH MEGAROLLO  1 X 12,2020-02-01,6.341827
398,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2021-05-23,2112.0
400,SE ELITE CORTADA 1000 X 12,2021-05-06,0.203308
406,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-01-14,67200.0
407,RC NOVA DH MEGAROLLO  2 X 6,2019-10-20,0.059162
409,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2021-02-10,3.292551
411,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2019-12-22,0.034289
413,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2019-11-26,99866.048
414,PH NOBLE DH 24 X 2,2019-10-30,1.633059
415,RC NOVA DH MEGAROLLO  2 X 6,2020-04-23,2.574732
430,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-02-01,17920.0
431,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-02-08,56800.0
439,PH HIGIENOL DH 4x6 40 METROS,2020-06-27,1.81576
441,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-06-27,111056.0
444,PH ELITE CLÁSICO DH 2 X 10 CO,2020-06-16,1.314546
448,PH ELITE PLUS DH 24 X 2,2020-05-07,0.789467
453,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-06-08,435085.632
458,PH ELITE DH 2 X 10 LA,2020-08-06,8.568569
460,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2021-04-21,27648.0
462,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-03-15,119096.064
466,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-01-16,212403.9168
467,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2021-06-23,162240.0
483,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-10-23,213963.264
484, PH ELITE PLUS DH VERTICAL 6 X 8,2021-05-26,0.3397
485,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2019-11-03,5088.0
488,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-08-29,5019973.632
495,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-03-18,150104.0
497,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-08-07,138000.0
502,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-04-06,972.0
506,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2019-10-02,89600.0
512,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-10-06,6.133208
513,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2021-04-08,129659.4
514,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2021-05-24,57824.0
515,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2021-04-28,50176.0
517,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2019-10-21,0.233746
520,PH ELITE DH 24 X 2 LA,2019-10-02,9.399244
523,PH ELITE DUO  DH 4x12 25 METROS,2019-11-01,1.433107
528,RC NOVA DH MEGAROLLO  2 X 6,2021-02-23,5.164565
532,SE ELITE CORTADA 1000 X 12,2020-04-03,0.015911
533,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-03-01,107536.0
537,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2019-12-29,7056.0
540,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-06-12,1.20153
543,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2019-09-25,14398.2
548,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-09-10,1.310111
555,PH ELITE  DH 4 X 12 LA,2019-12-10,18.470896
560,PH ELITE DH 24 X 2 LA,2020-10-05,7.725412
563,PH ELITE DH 2 X 10 LA,2020-01-27,17.137299
564,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-04-21,139374.0
567, PH ELITE PLUS DH VERTICAL 6 X 8,2019-09-27,0.74561
571,PH ELITE PLUS DH 24 X 2,2020-03-22,0.00314
573,PH NOBLE DH 2 X 10,2019-12-04,31.891325
576,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-03-28,8.845283
583,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2019-09-10,132000.0
591,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-04-18,70912.0
596,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2021-04-20,2.669936
598,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-04-11,50200.0
599,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-03-07,75072.0
602,PH HIGIENOL DH  4 X 12,2021-04-27,2.986164
607, PH ELITE PLUS DH VERTICAL 6 X 8,2020-11-15,0.003149
610,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2021-04-15,0.093742
611,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-03-13,62640.0
612,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-11-17,111000.0
621,PH ELITE CLÁSICO DH 2 X 10 CO,2020-05-01,0.128401
623,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-07-08,35978.88
626,PH ELITE DUO  DH 6 x 8  25 METROS,2021-03-31,24.553375
632,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-03-08,37431.936
640,SE ELITE CORTADA 1000 X 12,2020-11-18,0.085268
642,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-04-11,114649.344
643,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2019-10-11,1919.916
645,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2021-05-23,0.171785
647,PH ELITE CLÁSICO DH 2 X 10 CO,2019-12-30,2.146246
648,PH ELITE  DH 4 X 12 LA,2020-05-27,17.835851
654,PH ELITE DH 24 X 2 LA,2021-03-23,8.400255
656,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-06-13,1152.0
660,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2019-09-29,22500.0
663,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-02-09,311281.92
671,PH ELITE DH 2 X 10 LA,2020-02-19,12.87369
674,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-12-07,75980.0
675,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-06-06,0.014299
681,PH HIGIENOL DH 4x6 40 METROS,2020-02-25,4.679911
686,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-04-24,58112.0
689,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2021-03-18,214229.376
690,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-06-19,2579.904
695,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2021-04-03,28560.0
699,PH ELITE DH 6 X 8 LA,2020-05-08,9.161779
700,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-03-13,227808.0
710,TH TOALLITAS HUMEDAS PREMIUM 184x8,2021-06-25,1455991.7056
712,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-09-27,4320.0
716,PH NOBLE DH 2 X 10,2021-05-08,10.910693
719,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-07-11,348576.0
726,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-07-31,15308.2368
727,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-01-03,25198.2
732,PH ELITE DH 6 X 8 LA,2020-11-16,4.324236
733,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2021-05-08,379392.0
737,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2019-12-14,77520.384
742,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2021-02-27,138470.4
743,PH ELITE DUO  DH 4x12 25 METROS,2021-05-15,6.051471
744,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-11-21,2807.946
746,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-06-22,143088.0
747,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2019-10-17,1.924541
749,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-01-17,1624.0
750,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-05-06,163392.0
756,PH ELITE DH 2 X 10 LA,2019-09-26,13.729722
766,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-07-30,49474.0
772,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2019-11-26,7.616443
785,PH ELITE  DH 4 X 12 LA,2020-10-20,12.392231
791, PH ELITE PLUS DH VERTICAL 6 X 8,2020-06-22,0.650664
795,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-10-19,237312.0
797,PH ELITE PLUS DH 24 X 2,2021-03-18,0.61996
798,PH ELITE DUO  DH 6 x 8  25 METROS,2020-05-20,14.493675
802,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-01-11,1.268882
810,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-09-16,0.826051
816,RC NOVA DH MEGAROLLO  2 X 6,2020-12-08,2.359892
819,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2021-03-15,149952.0
821,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-06-10,23999.8464
823,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2021-02-13,96720.0
827,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-02-11,79600.0
834,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2019-11-23,1.823961
835,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2021-01-14,7.321645
836,PH ELITE DUO  DH 4x12 25 METROS,2020-08-19,6.150582
841,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-07-14,56028.0
844,PH HIGIENOL DH  4 X 12,2019-11-23,8.002368
854,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2019-12-17,66176.0
856,PH HIGIENOL DH 4x6 40 METROS,2020-10-05,5.086148
859,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2019-12-13,153633.024
867,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-03-15,959.976
869,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-01-18,56064.0
870,PH ELITE DH 6 X 8 LA,2021-02-01,3.274416
872,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-10-28,141680.0
874,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-02-07,1740.0
879,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-01-11,7.429668
889,PH ELITE PLUS DH 24 X 2,2021-01-31,0.032966
893,PH ELITE DUO  DH 6 x 8  25 METROS,2019-11-10,0.026705
902, PH ELITE PLUS DH VERTICAL 6 X 8,2020-08-07,0.708134
905,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-01-22,87812.0
913,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-08-01,0.347727
915,PH ELITE CLÁSICO DH 2 X 10 CO,2021-02-17,0.633807
917,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2019-09-13,228750.912
922,RC NOVA DH MEGAROLLO  2 X 6,2020-05-30,2.502685
928,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-02-22,114132.48
929,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-01-07,194500.0
930,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-06-15,57408.0
931,PH HIGIENOL DH 4x6 40 METROS,2021-04-15,6.896014
934,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-06-04,0.086163
937,PH ELITE  DH 4 X 12 LA,2019-09-01,0.203603
938,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-03-24,72965.76
939,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-08-05,134056.0
940,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-07-13,171597.6
941,PH NOBLE DH 2 X 10,2020-09-21,26.844996
943,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-12-31,1295.9352
948,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2019-09-05,103789.44
949,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-06-02,1.140182
951,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2019-12-04,71108.0
957,PH HIGIENOL DH  4 X 12,2020-07-09,8.531796
959,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-06-22,318560.256
965,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2021-03-03,130500.0
972,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-10-09,366001.92
975,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-02-10,31680.0
977,PH ELITE CLÁSICO DH 2 X 10 CO,2020-01-22,4.004606
983, PH ELITE PLUS DH VERTICAL 6 X 8,2020-01-05,0.034639
985,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-03-02,47096.0
992,PH ELITE  DH 4 X 12 LA,2020-09-27,1.240329
993,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2019-12-05,1619.9352
994,PH ELITE DH 2 X 10 LA,2019-10-19,18.761486
1002,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-04-28,6041615.616
1005,PH ELITE PLUS DH 24 X 2,2020-01-05,0.009417
1008,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-06-26,77256.0
1010,PH NOBLE DH 24 X 2,2021-05-13,1.6419
1025,PH ELITE DH 2 X 10 LA,2020-12-07,13.563052
1026,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2021-04-26,269902.08
1028,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2019-10-02,64416.0
1031,PH ELITE DH 24 X 2 LA,2020-07-20,10.16917
1035,PH HIGIENOL DH  4 X 12,2019-12-16,11.572201
1039,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-01-30,99000.0
1040,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-10-20,147395.712
1041,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-05-23,73600.0
1042,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-07-16,0.005
1044,RC NOVA DH MEGAROLLO  1 X 12,2020-09-17,27.170039
1046,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2021-02-06,4.966273
1048,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-08-28,109512.0
1049,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-12-30,155324.0
1050,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-10-01,631440.576
1058,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-08-21,263424.0
1059,PH ELITE DUO  DH 6 x 8  25 METROS,2020-06-12,24.532363
1066,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2019-11-11,0.169928
1067,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2021-06-17,3711455.424
1073,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-01-28,76800.0
1080,PH HIGIENOL DH 4x6 40 METROS,2020-07-20,0.955577
1084,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-06-04,99616.0
1086,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-05-25,38164.0
1088,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-03-12,104997.6
1090,PH ELITE  DH 4 X 12 LA,2020-01-02,9.072011
1091,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-02-20,148399.36
1092, PH ELITE PLUS DH VERTICAL 6 X 8,2019-09-04,1.224572
1096,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-04-27,81744.0
1097,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-05-14,102254.0
1098,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-07-01,254690.496
1099,PH ELITE DH 6 X 8 LA,2020-09-08,7.641368
1101,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-11-12,1379.952
1109,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-09-17,71808.0
1111,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2019-09-28,0.370413
1114,RC NOVA DH MEGAROLLO  2 X 6,2021-03-18,1.967649
1116,PH ELITE DUO  DH 6 x 8  25 METROS,2021-03-08,12.788369
1117,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-10-03,0.904467
1123,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-03-24,173712.0
1136,PH ELITE PLUS DH 24 X 2,2021-06-03,0.783189
1138,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-03-26,42368.0
1140, PH ELITE PLUS DH VERTICAL 6 X 8,2021-05-03,1.909869
1141,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-09-30,205713.792
1146,PH ELITE DH 2 X 10 LA,2021-04-09,9.30362
1149,PH HIGIENOL DH  4 X 12,2021-04-04,0.051666
1150,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-03-14,2429.9676
1151,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-04-05,1276.0
1153,PH NOBLE DH 24 X 2,2020-06-09,1.611588
