,Categoria,Fecha,Toneladas
164,05 Pañales Bebe,2020-06-25,2109225.7966
165,02 Rollos de Cocina,2020-12-26,41.979646
166,03 Servilletas Masivos,2020-08-30,0.011546
167,01 Higiénicos Masivos,2019-11-02,85.24963
168,38 Pañales Adultos,2020-09-08,115742.1248
169,38 Pañales Adultos,2020-03-06,112590.112
170,03 Servilletas Masivos,2021-03-04,7.044326
171,11 Toallas Húmedas,2020-02-02,55870.624
172,11 Toallas Húmedas,2021-03-29,3371422.9464
173,10 Toallas Femeninas,2021-04-09,5853568.2064
174,02 Rollos de Cocina,2020-05-08,33.067964
175,03 Servilletas Masivos,2020-01-11,19.945003
176,02 Rollos de Cocina,2019-11-04,22.280579
177,05 Pañales Bebe,2020-12-31,3737586.014
178,01 Mascarilla ,2021-03-27,95600.0
179,01 Higiénicos Masivos,2019-10-27,5.459967
180,04 Pañuelos Masivos,2020-09-03,0.111716
181,01 Higiénicos Masivos,2021-06-22,5.139001
182,01 Mascotas,2021-02-06,12090.978
183,11 Toallas Húmedas,2020-08-06,2730001.728
184,05 Pañales Bebe,2020-12-25,13265.9706
185,11 Toallas Húmedas,2020-02-08,1491290.208
186,04 Pañuelos Masivos,2020-03-01,0.000662
187,10 Toallas Femeninas,2020-02-19,4739189.9664
188,38 Pañales Adultos,2020-03-09,144609.6064
189,05 Pañales Bebe,2019-11-06,2226391.296
190,38 Pañales Adultos,2020-03-03,136387.1488
191,03 Servilletas Masivos,2020-01-08,24.29985
192,10 Toallas Femeninas,2021-04-12,6381646.536
193,04 Pañuelos Masivos,2020-02-27,0.23406
194,03 Servilletas Masivos,2021-03-01,4.151767
195,38 Pañales Adultos,2020-09-05,148620.416
196,01 Higiénicos Masivos,2019-10-30,219.059942
197,10 Toallas Femeninas,2021-04-06,6700119.2912
198,38 Pañales Adultos,2021-04-28,141813.408
199,02 Rollos de Cocina,2019-11-01,4.393656
200,02 Rollos de Cocina,2019-11-07,25.994078
201,01 Mascarilla ,2021-03-30,134400.0
202,11 Toallas Húmedas,2020-08-09,23580.0
203,04 Pañuelos Masivos,2020-08-31,0.460167
204,01 Mascotas,2021-02-09,14940.0
205,03 Servilletas Masivos,2020-03-03,25.698838
206,38 Pañales Adultos,2020-12-27,6475.712
207,11 Toallas Húmedas,2021-06-01,2701183.9872
208,04 Pañuelos Masivos,2020-03-04,0.21209
209,05 Pañales Bebe,2019-12-31,2672446.9382
210,01 Mascotas,2020-08-10,13291.938
211,02 Rollos de Cocina,2021-01-04,28.320198
212,38 Pañales Adultos,2020-05-09,184113.9712
213,11 Toallas Húmedas,2020-11-27,2440830.3424
214,03 Servilletas Masivos,2020-09-05,5.684376
215,05 Pañales Bebe,2020-07-04,1861684.3978
216,10 Toallas Femeninas,2020-10-11,104197.184
217,01 Higiénicos Masivos,2020-12-27,16.812151
218,02 Rollos de Cocina,2020-12-29,54.222605
219,38 Pañales Adultos,2019-11-05,109076.9408
220,04 Pañuelos Masivos,2021-04-26,0.155746
221,01 Higiénicos Masivos,2020-06-24,166.440156
222,10 Toallas Femeninas,2021-04-15,5273966.8768
223,05 Pañales Bebe,2019-12-28,2473360.8978
224,11 Toallas Húmedas,2019-10-03,1593395.328
225,02 Rollos de Cocina,2020-07-02,30.214715
226,04 Pañuelos Masivos,2021-03-19,0.080642
227,01 Higiénicos Masivos,2020-04-04,135.155829
228,11 Toallas Húmedas,2021-01-31,136123.776
229,04 Pañuelos Masivos,2020-09-14,0.115018
230,10 Toallas Femeninas,2020-09-03,8264167.1104
231,01 Mascarilla ,2020-12-08,14400.0
232,04 Pañuelos Masivos,2020-01-26,0.013712
233,01 Mascotas,2020-11-26,67405.05
234,03 Servilletas Masivos,2019-09-18,18.45336
235,05 Pañales Bebe,2020-08-21,2206917.5246
236,38 Pañales Adultos,2021-04-11,2112.096
237,11 Toallas Húmedas,2019-12-13,1831675.04
238,03 Servilletas Masivos,2020-11-06,8.312206
239,01 Mascotas,2020-05-21,43470.0
240,02 Rollos de Cocina,2019-11-18,21.196783
241,05 Pañales Bebe,2021-02-20,2520351.1138
242,01 Mascotas,2020-05-27,1290.978
243,02 Rollos de Cocina,2020-05-22,40.228074
244,10 Toallas Femeninas,2020-03-01,61791.5744
245,03 Servilletas Masivos,2020-11-12,8.592164
246,38 Pañales Adultos,2020-02-21,159525.2384
247,01 Mascarilla ,2020-12-05,34000.0
248,01 Higiénicos Masivos,2020-10-10,127.983366
249,01 Higiénicos Masivos,2020-04-07,137.6103
250,02 Rollos de Cocina,2020-11-24,38.54793
251,04 Pañuelos Masivos,2021-03-22,0.184375
252,11 Toallas Húmedas,2021-02-03,4397202.4832
253,05 Pañales Bebe,2019-12-30,2467496.3656
254,01 Mascarilla ,2020-12-11,44000.0
255,04 Pañuelos Masivos,2020-09-17,0.113837
256,01 Higiénicos Masivos,2021-05-30,5.714394
257,38 Pañales Adultos,2021-04-14,151057.7216
258,10 Toallas Femeninas,2020-03-04,6669790.8896
259,05 Pañales Bebe,2021-02-23,2203872.7192
260,03 Servilletas Masivos,2020-11-09,7.383779
261,02 Rollos de Cocina,2019-11-21,20.530259
262,10 Toallas Femeninas,2020-09-06,64160.0
263,05 Pañales Bebe,2021-02-17,2165078.8692
264,38 Pañales Adultos,2020-10-10,179004.9728
265,01 Higiénicos Masivos,2020-04-10,0.374234
266,01 Higiénicos Masivos,2020-10-07,157.903205
267,02 Rollos de Cocina,2020-05-25,31.722582
268,03 Servilletas Masivos,2020-05-07,5.635536
269,11 Toallas Húmedas,2020-06-13,1996147.52
270,11 Toallas Húmedas,2019-12-10,2024602.528
271,38 Pañales Adultos,2020-02-18,141647.4624
272,05 Pañales Bebe,2020-08-27,2133623.3698
273,10 Toallas Femeninas,2019-09-06,5456361.064
274,05 Pañales Bebe,2020-02-23,39205.922
275,01 Higiénicos Masivos,2021-06-08,103.232023
276,01 Higiénicos Masivos,2021-06-02,87.336406
277,03 Servilletas Masivos,2020-05-13,7.973244
278,11 Toallas Húmedas,2020-06-07,1200.0
279,10 Toallas Femeninas,2021-04-29,6307407.3632
280,11 Toallas Húmedas,2020-12-10,3120523.3792
281,38 Pañales Adultos,2021-04-08,150075.2096
282,01 Higiénicos Masivos,2019-10-07,153.492476
283,02 Rollos de Cocina,2019-11-24,0.575399
284,04 Pañuelos Masivos,2020-09-20,0.000982
285,03 Servilletas Masivos,2019-11-09,18.125513
286,04 Pañuelos Masivos,2020-09-23,0.140022
287,01 Higiénicos Masivos,2019-10-10,157.687768
288,04 Pañuelos Masivos,2020-03-18,0.247701
289,10 Toallas Femeninas,2021-05-02,5440.6144
290,02 Rollos de Cocina,2020-05-28,41.102512
291,01 Higiénicos Masivos,2020-04-13,187.981519
292,38 Pañales Adultos,2020-08-19,163621.4176
293,38 Pañales Adultos,2020-02-15,127072.4224
294,11 Toallas Húmedas,2019-12-07,1950625.376
295,10 Toallas Femeninas,2020-03-07,6870143.1648
296,02 Rollos de Cocina,2021-01-18,40.311635
297,05 Pañales Bebe,2020-02-20,1531683.6598
298,03 Servilletas Masivos,2020-05-16,5.141163
299,11 Toallas Húmedas,2020-06-10,3757641.44
300,01 Higiénicos Masivos,2021-06-05,91.511042
301,03 Servilletas Masivos,2019-11-12,18.667755
302,10 Toallas Femeninas,2019-09-03,3697582.3888
303,05 Pañales Bebe,2020-08-24,3278924.3562
304,05 Pañales Bebe,2021-02-26,3287878.4328
305,01 Higiénicos Masivos,2019-10-13,2.830438
306,10 Toallas Femeninas,2021-04-26,6851864.544
307,02 Rollos de Cocina,2019-11-27,23.998663
308,04 Pañuelos Masivos,2021-05-13,0.386632
309,04 Pañuelos Masivos,2020-03-21,0.140545
310,10 Toallas Femeninas,2020-03-10,6577419.8896
311,02 Rollos de Cocina,2021-01-15,43.730292
312,38 Pañales Adultos,2020-02-12,148504.064
313,01 Higiénicos Masivos,2020-12-01,88.814218
314,04 Pañuelos Masivos,2019-09-17,0.266115
315,04 Pañuelos Masivos,2020-03-27,0.110138
316,03 Servilletas Masivos,2021-01-06,9.556963
317,11 Toallas Húmedas,2020-02-09,42577.472
318,10 Toallas Femeninas,2020-05-01,1421057.104
319,38 Pañales Adultos,2021-06-08,130994.3872
320,01 Mascotas,2021-01-26,20671.92
321,04 Pañuelos Masivos,2020-11-14,0.065425
322,01 Mascotas,2021-01-20,5701.032
323,03 Servilletas Masivos,2019-11-15,17.661559
324,05 Pañales Bebe,2021-04-22,1641189.2892
325,38 Pañales Adultos,2019-10-16,204506.7776
326,01 Higiénicos Masivos,2020-12-10,163.425467
327,02 Rollos de Cocina,2020-07-16,39.542329
328,01 Mascarilla ,2021-05-31,169248.0
329,38 Pañales Adultos,2019-10-13,671.808
330,10 Toallas Femeninas,2020-10-28,7237113.7424
331,02 Rollos de Cocina,2021-01-24,0.50152
332,38 Pañales Adultos,2020-04-16,174911.904
333,04 Pañuelos Masivos,2021-05-16,0.000545
334,01 Higiénicos Masivos,2020-12-04,146.258889
335,11 Toallas Húmedas,2020-08-10,2530541.2544
336,10 Toallas Femeninas,2020-11-03,6423436.864
337,04 Pañuelos Masivos,2019-09-20,0.276505
338,05 Pañales Bebe,2020-02-29,2128760.2278
339,03 Servilletas Masivos,2021-03-18,6.781432
340,05 Pañales Bebe,2020-11-06,1644375.9692
341,11 Toallas Húmedas,2020-03-28,1870995.68
342,01 Mascotas,2020-09-04,8984.898
343,05 Pañales Bebe,2020-11-12,3589993.7462
344,01 Mascotas,2021-03-09,2554.182
345,38 Pañales Adultos,2019-12-03,115628.0544
346,02 Rollos de Cocina,2021-03-30,58.499278
347,01 Mascarilla ,2021-03-21,4000.0
348,11 Toallas Húmedas,2021-05-17,3941538.888
349,11 Toallas Húmedas,2020-03-22,34239.392
350,01 Higiénicos Masivos,2020-06-26,194.146278
351,38 Pañales Adultos,2020-06-06,178234.1856
352,02 Rollos de Cocina,2020-02-06,26.370095
353,03 Servilletas Masivos,2020-07-29,5.6042
354,10 Toallas Femeninas,2020-12-18,6315824.576
355,05 Pañales Bebe,2021-05-11,1365713.115
356,10 Toallas Femeninas,2020-06-15,6108172.7568
357,01 Higiénicos Masivos,2019-12-23,147.557111
358,04 Pañuelos Masivos,2019-11-10,0.003282
359,04 Pañuelos Masivos,2019-11-04,0.173713
360,03 Servilletas Masivos,2020-01-25,15.817287
361,01 Mascarilla ,2020-09-16,2000.0
362,01 Mascotas,2020-09-07,12913.92
363,04 Pañuelos Masivos,2019-11-07,0.289209
364,02 Rollos de Cocina,2020-02-12,28.234964
365,05 Pañales Bebe,2020-11-09,1529976.5922
366,03 Servilletas Masivos,2020-07-26,0.178353
367,11 Toallas Húmedas,2020-03-25,1086173.568
368,04 Pañuelos Masivos,2020-05-11,0.047131
369,05 Pañales Bebe,2020-05-07,1954327.7438
370,01 Mascotas,2021-03-12,66000.96
371,01 Higiénicos Masivos,2021-02-16,100.436983
372,04 Pañuelos Masivos,2020-12-29,0.199383
373,02 Rollos de Cocina,2021-04-02,0.623249
374,11 Toallas Húmedas,2019-09-21,1446727.744
375,38 Pañales Adultos,2019-11-30,440961.0432
376,10 Toallas Femeninas,2020-12-15,6056304.5872
377,05 Pañales Bebe,2019-09-18,2234900.9282
378,10 Toallas Femeninas,2021-06-19,3798574.6928
379,01 Mascarilla ,2021-03-24,111600.0
380,38 Pañales Adultos,2020-06-03,222322.0704
381,01 Higiénicos Masivos,2019-12-26,159.572999
382,11 Toallas Húmedas,2020-09-27,91031.5456
383,10 Toallas Femeninas,2020-12-21,4759330.6256
384,02 Rollos de Cocina,2020-02-09,0.381013
385,03 Servilletas Masivos,2020-01-22,17.192003
386,01 Mascarilla ,2020-09-19,2000.0
387,04 Pañuelos Masivos,2021-01-07,0.100984
388,10 Toallas Femeninas,2020-06-18,6658698.0672
389,38 Pañales Adultos,2020-11-30,273470.4192
390,02 Rollos de Cocina,2020-10-04,0.454311
391,11 Toallas Húmedas,2021-03-26,4269598.864
392,03 Servilletas Masivos,2021-03-24,8.812947
393,38 Pañales Adultos,2019-10-09,214333.0976
394,02 Rollos de Cocina,2021-04-08,39.44639
395,10 Toallas Femeninas,2019-12-15,260901.7456
396,05 Pañales Bebe,2020-05-10,12896.0
397,05 Pañales Bebe,2019-11-09,1701533.1632
398,01 Higiénicos Masivos,2021-02-22,125.487361
399,03 Servilletas Masivos,2020-01-31,25.856804
400,01 Higiénicos Masivos,2020-08-20,153.837876
401,11 Toallas Húmedas,2020-09-18,2435257.1584
402,01 Higiénicos Masivos,2019-12-29,21.961644
403,01 Mascotas,2020-09-10,122441.058
404,11 Toallas Húmedas,2020-09-24,2864918.1824
405,01 Mascotas,2021-05-03,4800.96
406,04 Pañuelos Masivos,2020-07-02,0.203538
407,38 Pañales Adultos,2020-12-03,124428.0864
408,03 Servilletas Masivos,2021-03-21,0.186765
409,01 Mascarilla ,2020-09-25,24000.0
410,11 Toallas Húmedas,2021-03-23,3325431.9496
411,10 Toallas Femeninas,2019-12-18,5645508.4512
412,04 Pañuelos Masivos,2021-01-04,0.059349
413,02 Rollos de Cocina,2021-04-05,38.165635
414,05 Pañales Bebe,2020-05-16,2314436.7542
415,05 Pañales Bebe,2020-05-13,2568117.8704
416,01 Higiénicos Masivos,2021-02-19,114.894852
417,03 Servilletas Masivos,2020-01-28,18.271632
418,01 Higiénicos Masivos,2020-08-17,147.11937
419,01 Mascotas,2020-03-11,32580.036
420,02 Rollos de Cocina,2020-10-01,23.746757
421,03 Servilletas Masivos,2020-09-19,6.172978
422,38 Pañales Adultos,2020-05-28,231976.6752
423,11 Toallas Húmedas,2020-09-21,2555528.3648
424,10 Toallas Femeninas,2021-02-11,6484436.9824
425,11 Toallas Húmedas,2020-11-21,2865349.8624
426,38 Pañales Adultos,2020-01-30,129920.8288
427,05 Pañales Bebe,2019-11-15,1935118.5068
428,02 Rollos de Cocina,2021-05-30,1.635198
429,01 Higiénicos Masivos,2020-02-22,108.07115
430,01 Mascotas,2021-05-06,6181.902
431,01 Mascarilla ,2021-01-25,632000.0
432,10 Toallas Femeninas,2019-12-21,4754142.8592
433,11 Toallas Húmedas,2020-05-19,2324767.456
434,38 Pañales Adultos,2020-08-03,174805.008
435,05 Pañales Bebe,2021-01-06,2074846.5624
436,03 Servilletas Masivos,2020-09-22,6.707018
437,02 Rollos de Cocina,2019-10-04,20.988452
438,04 Pañuelos Masivos,2020-01-04,0.201277
439,38 Pañales Adultos,2021-02-02,166802.4032
440,03 Servilletas Masivos,2021-03-27,7.712619
441,01 Mascotas,2020-03-14,540.0
442,04 Pañuelos Masivos,2020-07-08,0.256539
443,02 Rollos de Cocina,2020-04-07,36.322609
444,02 Rollos de Cocina,2020-10-10,25.603562
445,01 Mascotas,2020-11-04,68315.706
446,01 Higiénicos Masivos,2020-08-26,141.297733
447,02 Rollos de Cocina,2020-10-07,26.61483
448,01 Higiénicos Masivos,2020-02-19,129.628195
449,38 Pañales Adultos,2020-01-27,191023.5008
450,03 Servilletas Masivos,2020-03-23,4.632841
451,11 Toallas Húmedas,2020-11-24,2128762.688
452,11 Toallas Húmedas,2020-05-22,2289007.584
453,11 Toallas Húmedas,2020-02-11,2214740.8
454,11 Toallas Húmedas,2020-08-15,2002614.342438
455,05 Pañales Bebe,2020-06-19,2050340.3385
456,02 Rollos de Cocina,2021-05-09,1.211368
457,01 Mascotas,2021-01-28,20442.978
458,38 Pañales Adultos,2020-04-27,146517.168
459,04 Pañuelos Masivos,2020-01-12,0.002308
460,02 Rollos de Cocina,2021-05-15,35.35972
461,38 Pañales Adultos,2020-10-27,330381.7632
462,02 Rollos de Cocina,2020-03-20,26.093313
463,10 Toallas Femeninas,2021-02-19,6405910.3936
464,01 Higiénicos Masivos,2020-12-12,134.84526
465,03 Servilletas Masivos,2021-01-14,10.906134
466,03 Servilletas Masivos,2019-11-23,14.655571
467,05 Pañales Bebe,2020-12-19,2272699.847
468,01 Mascarilla ,2021-02-06,630360.0
469,04 Pañuelos Masivos,2020-07-16,0.161938
470,01 Higiénicos Masivos,2021-06-16,140.855724
471,02 Rollos de Cocina,2019-09-16,19.712658
472,01 Mascotas,2020-07-29,31829.058
473,01 Mascarilla ,2021-02-12,958680.0
474,01 Higiénicos Masivos,2019-10-21,135.651447
475,05 Pañales Bebe,2020-06-16,2156924.1475
476,02 Rollos de Cocina,2021-05-12,36.838443
477,01 Mascotas,2021-01-25,65473.902
478,03 Servilletas Masivos,2021-01-11,8.708988
479,11 Toallas Húmedas,2020-08-18,2628474.848
480,10 Toallas Femeninas,2019-12-29,1382370.0656
481,38 Pañales Adultos,2019-10-21,202793.776
482,38 Pañales Adultos,2020-04-24,89904.96
483,11 Toallas Húmedas,2020-02-14,1561005.568
484,02 Rollos de Cocina,2020-11-07,60.682201
485,04 Pañuelos Masivos,2020-07-13,0.141306
486,38 Pañales Adultos,2020-04-21,195732.7392
487,01 Higiénicos Masivos,2020-12-09,140.516295
488,10 Toallas Femeninas,2019-12-26,4304502.9488
489,03 Servilletas Masivos,2019-11-20,17.302656
490,01 Higiénicos Masivos,2020-12-15,143.392404
491,04 Pañuelos Masivos,2020-01-09,0.375524
492,02 Rollos de Cocina,2019-09-19,21.582224
493,01 Mascarilla ,2021-02-09,542000.0
494,05 Pañales Bebe,2020-06-13,1922014.6514
495,10 Toallas Femeninas,2021-02-16,5509569.7936
496,38 Pañales Adultos,2021-06-16,266937.216
497,02 Rollos de Cocina,2019-09-13,24.523919
498,11 Toallas Húmedas,2021-02-17,3874197.1688
499,04 Pañuelos Masivos,2020-01-18,0.141131
500,02 Rollos de Cocina,2019-09-22,0.539824
501,38 Pañales Adultos,2021-04-25,496.0
502,11 Toallas Húmedas,2019-12-21,1886846.624
503,01 Higiénicos Masivos,2020-06-12,187.527131
504,10 Toallas Femeninas,2020-08-26,7496438.8064
505,01 Higiénicos Masivos,2020-06-18,153.085189
506,10 Toallas Femeninas,2020-08-20,7513220.7888
507,03 Servilletas Masivos,2020-07-15,6.195775
508,05 Pañales Bebe,2019-12-16,1678415.3372
509,03 Servilletas Masivos,2020-07-12,0.057321
510,05 Pañales Bebe,2019-12-22,253423.7864
511,02 Rollos de Cocina,2020-11-10,47.695776
512,01 Mascotas,2020-08-04,14102.046
513,11 Toallas Húmedas,2021-02-14,170369.7728
514,04 Pañuelos Masivos,2021-03-08,0.07393
515,10 Toallas Femeninas,2021-02-25,6249168.8304
516,02 Rollos de Cocina,2020-11-16,44.220505
517,38 Pañales Adultos,2020-10-21,199560.448
518,01 Higiénicos Masivos,2019-12-15,12.528999
519,11 Toallas Húmedas,2020-08-12,2430680.2752
520,02 Rollos de Cocina,2020-05-14,42.124747
521,01 Higiénicos Masivos,2020-06-15,157.304007
522,04 Pañuelos Masivos,2020-01-15,0.174591
523,03 Servilletas Masivos,2020-01-14,20.628082
524,01 Higiénicos Masivos,2020-12-18,187.217783
525,05 Pañales Bebe,2020-06-22,2005296.921
526,01 Higiénicos Masivos,2019-12-12,163.573632
527,38 Pañales Adultos,2021-04-22,140255.808
528,10 Toallas Femeninas,2020-08-23,316800.0
529,03 Servilletas Masivos,2020-07-18,4.971602
530,05 Pañales Bebe,2019-12-19,2099806.4631
531,02 Rollos de Cocina,2020-11-13,37.564593
