,Distribuidor,Fecha,Cantidad
144,KONSUMASS,2019-09-06,3194.7
145,LA GENOVESA - MOQUEGUA,2019-09-06,15.25
147,STA APOLONIA - T,2019-09-06,11048.39
148,TAMBOS AQP,2019-09-06,7350.92
149,ESTILOS,2019-09-07,456.08
150,GRUPO SVS,2019-09-07,961.06
152,MYL_HERMANOS,2019-09-07,16185.5
153,P&PJ CHINCHA,2019-09-07,5654.19
154,SIPAN - Y,2019-09-07,6184.87
155,CHUPACA BUSINESS,2019-09-09,6986.81
156,MOLISAC,2019-09-09,4404.84
157,VEGA - NORTE,2019-09-09,5047.61
158,AGA - MOYOBAMBA,2019-09-10,459.15
159,ALMACENES_SEVILLANO,2019-09-10,3007.88
160,CORPORACION_VEGA,2019-09-10,1929.59
161,FERROL,2019-09-10,1847.24
162,JRC - NAZCA,2019-09-10,759.92
163,LIDER - TRUJILLO,2019-09-10,314.5
165,PATITA SAC,2019-09-10,2027.78
166,TCA SAC,2019-09-10,2256.3
167,TEMMY,2019-09-10,1558.11
168,5M DISTRIBUCIONES,2019-09-11,1249.86
169,DIJISA - AYACUCHO,2019-09-11,419.56
172,VEGA - ESTE,2019-09-11,3676.6
173,CALLAYUC,2019-09-12,13945.5
174,CURTIS NORTE,2019-09-12,322.23
175,LANCERO - PUCALLPA,2019-09-12,1335.83
176,AGA - JAEN,2019-09-13,2814.33
177,DIPSA-AYACUCHO,2019-09-13,2704.62
178,GIANELA,2019-09-13,3928.85
179,JRC - ICA,2019-09-13,2151.89
182,STA APOLONIA - CH,2019-09-13,3277.37
183,VEGA - SUR,2019-09-13,1746.54
184,CODIJISA - CHIMBOTE,2019-09-14,1905.58
185,DISTRIBUIDORA CCM,2019-09-14,40871.0
186,DYCART,2019-09-14,582.0
187,LANCERO - HUANUCO,2019-09-14,138.92
188,LYG-CD_SAC,2019-09-14,14625.0
189,CODIJISA - TRUJILLO,2019-09-16,1565.75
190,DACIA - LIMA,2019-09-16,1293.0
192,DIJISA - HUANCAYO,2019-09-16,847.25
193,DIPSA-ANDAHUAYLAS,2019-09-16,2293.25
194,EDUSA,2019-09-16,1161.95
195,LAGUI,2019-09-16,5874.0
196,ARCANGEL,2019-09-17,1425.63
199,CODIFER,2019-09-18,1917.27
200,DICOBELSA - LIMA,2019-09-18,2228.92
201,EDUFARMA MERCADO,2019-09-18,3151.75
202,GUMISA - HUARAZ,2019-09-18,2016.9
203,LA GENOVESA - ILO,2019-09-18,291.51
204,LANCERO - TINGO MARIA,2019-09-18,234.17
205,MELVIN MICHEL AL,2019-09-18,7287.0
207,SAN JUAN,2019-09-18,1392.44
209,TAYMI,2019-09-18,14868.25
210,VEGA - CENTRO,2019-09-18,2299.25
211,ZV,2019-09-18,3106.64
213,RICMAN,2019-09-19,4711.0
214,TAMBOS LIMA,2019-09-19,9250.71
215,DIJISA - ICA,2019-09-20,563.33
216,DROGUERIA SAN MARTIN,2019-09-20,3088.78
217,MARRACHE,2019-09-20,4135.56
218,AGA - TARAPOTO,2019-09-21,991.92
219,DISART,2019-09-21,1933.0
220,EUROVA,2019-09-21,28250.25
221,LANCERO - LA MERCED,2019-09-21,104.25
223,CODIJISA - PIURA,2019-09-23,9669.41
224,CURTIS ESTE,2019-09-23,724.39
225,DIJISA - CHINCHA,2019-09-23,1685.31
227,KONSUMASS,2019-09-23,4180.44
228,LA GENOVESA - MOQUEGUA,2019-09-23,85.25
230,STA APOLONIA - T,2019-09-23,4824.89
231,TAMBOS AQP,2019-09-23,5897.24
232,DIJISA - AYACUCHO,2019-09-24,306.12
233,ESTILOS,2019-09-24,142.83
234,GRUPO SVS,2019-09-24,3224.88
236,MYL_HERMANOS,2019-09-24,15231.75
237,P&PJ CHINCHA,2019-09-24,3633.17
238,SIPAN - Y,2019-09-24,10355.37
239,CASA GRANDE,2019-09-25,4934.76
240,LA GENOVESA - TACNA,2019-09-25,2527.35
241,LIDER - CHEPEN,2019-09-25,446.73
242,PANAM,2019-09-25,508.8
243,CHUPACA BUSINESS,2019-09-26,1419.18
244,MOLISAC,2019-09-26,4713.78
245,VEGA - NORTE,2019-09-26,4807.24
246,AGA - MOYOBAMBA,2019-09-27,345.0
248,AGA - TARAPOTO,2019-09-03,583.58
250,LA GENOVESA - MOQUEGUA,2019-09-03,23.29
251,URBANO,2019-09-03,1946.58
252,CODIJISA - TRUJILLO,2019-09-04,4429.29
253,DIJISA - AYACUCHO,2019-09-04,771.29
254,GRUPO SVS,2019-09-04,3959.92
258,CURTIS NORTE,2019-09-05,277.85
259,JRC - NAZCA,2019-09-05,679.04
260,URBANO,2019-09-05,1254.07
261,CODIJISA - TRUJILLO,2019-09-06,2251.64
262,DIJISA - HUANCAYO,2019-09-06,375.48
263,EDUSA,2019-09-06,1489.18
264,GRUPO SVS,2019-09-06,3820.35
265,LA GENOVESA - ILO,2019-09-06,109.25
266,LANCERO - TINGO MARIA,2019-09-06,469.17
267,MOLISAC,2019-09-06,7220.02
268,SIPAN - Y,2019-09-06,7974.1
269,TAYMI,2019-09-06,21761.03
270,CURTIS NORTE,2019-09-07,339.19
271,FERROL,2019-09-07,1270.27
272,JRC - NAZCA,2019-09-07,415.76
274,STA APOLONIA - T,2019-09-09,4894.27
275,MYG,2019-09-10,832.59
276,URBANO,2019-09-10,1713.93
277,CODIJISA - CHIMBOTE,2019-09-11,1002.95
278,PATITA SAC,2019-09-11,2524.67
279,MYG,2019-09-12,1027.28
280,MYL_HERMANOS,2019-09-12,11650.63
281,SODALES,2019-09-12,15121.7
282,URBANO,2019-09-12,6842.64
283,VEGA - NORTE,2019-09-12,4976.77
284,CASA GRANDE,2019-09-13,13376.61
285,CODIJISA - TRUJILLO,2019-09-13,1304.49
286,DIJISA - HUANCAYO,2019-09-13,534.08
287,EDUSA,2019-09-13,1426.6
288,LA GENOVESA - ILO,2019-09-13,73.25
289,LA GENOVESA - TACNA,2019-09-13,2944.68
292,TCA SAC,2019-09-13,2248.82
294,VEGA - NORTE,2019-09-14,5513.82
295,5M DISTRIBUCIONES,2019-09-16,1593.78
296,AGA - JAEN,2019-09-16,3615.46
297,DIPSA-AYACUCHO,2019-09-16,2528.29
299,STA APOLONIA - T,2019-09-16,7692.18
300,VEGA - SUR,2019-09-16,1866.58
303,MARRACHE,2019-09-17,2366.77
304,MYG,2019-09-17,471.13
306,TEMMY,2019-09-17,2196.29
307,AGA - JAEN,2019-09-18,933.43
308,DISART,2019-09-18,14507.73
310,JRC - ICA,2019-09-18,1462.17
311,SAUL,2019-09-18,2620.6
312,DACIA - LIMA,2019-09-19,1316.28
313,DISTRIBUIDORA CCM,2019-09-19,41832.0
314,GUMISA - HUARAZ,2019-09-19,2336.47
315,LAGUI,2019-09-19,3075.0
316,LANCERO - HUANUCO,2019-09-19,238.13
317,MYG,2019-09-19,542.3
318,CASA GRANDE,2019-09-20,3259.79
319,LA GENOVESA - TACNA,2019-09-20,1960.83
321,RICMAN,2019-09-20,3227.0
322,DACIA - LIMA,2019-09-21,2026.98
323,DIPSA-ANDAHUAYLAS,2019-09-21,1040.91
324,LANCERO - HUANUCO,2019-09-21,213.38
325,VEGA - NORTE,2019-09-21,6189.53
326,5M DISTRIBUCIONES,2019-09-23,1608.22
327,AGA - JAEN,2019-09-23,1568.88
328,DIPSA-ANDAHUAYLAS,2019-09-23,1064.71
329,EDUFARMA MERCADO,2019-09-23,3059.07
330,VEGA - SUR,2019-09-23,1765.6
331,AGA - MOYOBAMBA,2019-09-24,926.5
332,CODIJISA - PIURA,2019-09-24,14817.78
334,KONSUMASS,2019-09-24,2271.27
335,LANCERO - LA MERCED,2019-09-24,71.25
336,TEMMY,2019-09-24,1330.47
337,5M DISTRIBUCIONES,2019-09-25,1067.63
338,AGA - JAEN,2019-09-25,1224.28
339,DIJISA - ICA,2019-09-25,799.73
341,DROGUERIA SAN MARTIN,2019-09-25,6700.71
343,JRC - ICA,2019-09-25,738.54
344,MELVIN MICHEL AL,2019-09-25,5743.07
345,CODIJISA - PIURA,2019-09-26,6812.51
346,DACIA - LIMA,2019-09-26,1401.49
347,DISTRIBUIDORA CCM,2019-09-26,36798.0
348,LA GENOVESA - MOQUEGUA,2019-09-26,60.25
349,LANCERO - HUANUCO,2019-09-26,188.22
350,LIDER - CHEPEN,2019-09-26,371.0
351,TAMBOS AQP,2019-09-26,2809.0
353,DIJISA - ICA,2019-09-27,1040.73
354,ECONOMYSA,2019-09-27,3896.41
355,ESTILOS,2019-09-27,598.5
357,JRC - ICA,2019-09-27,1105.29
358,P&PJ CHINCHA,2019-09-27,3458.71
360,VEGA - ESTE,2019-09-27,1968.78
361,DACIA - LIMA,2019-09-28,1845.21
362,DIJISA - CHINCHA,2019-09-28,1553.77
363,DIPSA-ANDAHUAYLAS,2019-09-28,1651.35
364,DISTRIBUIDORA CCM,2019-09-28,58799.0
365,LANCERO - HUANUCO,2019-09-28,203.13
366,LIDER - CHEPEN,2019-09-28,409.63
367,DIPSA-ANDAHUAYLAS,2019-09-30,740.18
368,EDUFARMA MERCADO,2019-09-30,2807.87
369,ALMACENES_SEVILLANO,2019-09-02,22.5
370,CORPORACION_VEGA,2019-09-02,2483.29
371,DIJISA - AYACUCHO,2019-09-02,321.47
372,FERROL,2019-09-02,1618.88
373,MYL_HERMANOS,2019-09-02,23273.5
374,PATITA SAC,2019-09-02,3473.29
375,SIPAN - Y,2019-09-02,9824.47
376,TCA SAC,2019-09-02,1693.63
377,CALLAYUC,2019-09-03,9274.73
378,AGA - JAEN,2019-09-04,1363.13
379,CURTIS NORTE,2019-09-04,292.09
382,AGA - JAEN,2019-09-05,986.65
383,ALMACENES_SEVILLANO,2019-09-05,674.0
384,GIANELA,2019-09-05,2219.99
387,STA APOLONIA - CH,2019-09-05,2847.94
388,CODIJISA - CHIMBOTE,2019-09-06,1927.28
389,LYG-CD_SAC,2019-09-06,16733.0
390,RODAMEOS,2019-09-06,9057.0
391,URBANO,2019-09-06,2007.09
392,DACIA - LIMA,2019-09-07,1749.29
393,DIPSA-ABANCAY,2019-09-07,614.54
395,RICMAN,2019-09-07,8545.0
396,SODALES,2019-09-07,12384.52
397,ARCANGEL,2019-09-09,6001.55
398,CODIFER,2019-09-09,2457.5
399,DICOBELSA - LIMA,2019-09-09,2377.5
400,GUMISA - HUARAZ,2019-09-09,4804.95
401,LA GENOVESA - ILO,2019-09-09,59.75
403,VEGA - CENTRO,2019-09-09,3924.94
406,CODIFER,2019-09-10,2341.78
407,DICOBELSA - LIMA,2019-09-10,2352.86
408,GUMISA - HUARAZ,2019-09-10,5570.28
409,LANCERO - TINGO MARIA,2019-09-10,207.5
411,RICMAN,2019-09-10,7810.0
413,TAYMI,2019-09-10,25424.55
414,VEGA - CENTRO,2019-09-10,4176.73
415,ZV,2019-09-10,4938.43
416,CODIJISA - TRUJILLO,2019-09-11,4669.52
418,TAMBOS AQP,2019-09-11,7162.35
419,EUROVA,2019-09-12,29752.08
420,LANCERO - LA MERCED,2019-09-12,123.5
421,MARRACHE,2019-09-12,5786.58
422,DISART,2019-09-13,1872.21
423,EUROVA,2019-09-13,33131.75
424,LANCERO - LA MERCED,2019-09-13,67.35
425,MYG,2019-09-13,1538.38
427,STA APOLONIA - T,2019-09-14,5448.49
428,TAMBOS AQP,2019-09-14,9729.98
429,CASA GRANDE,2019-09-16,11385.57
430,DIJISA - AYACUCHO,2019-09-16,609.61
431,ESTILOS,2019-09-16,150.13
432,LA GENOVESA - TACNA,2019-09-16,1907.77
433,MYL_HERMANOS,2019-09-16,19514.88
435,P&PJ CHINCHA,2019-09-16,7687.23
436,SIPAN - Y,2019-09-16,9033.92
437,CHUPACA BUSINESS,2019-09-17,6433.77
438,AGA - MOYOBAMBA,2019-09-18,310.75
439,CHUPACA BUSINESS,2019-09-18,3162.79
440,JRC - NAZCA,2019-09-18,187.06
441,LIDER - TRUJILLO,2019-09-18,242.5
443,TEMMY,2019-09-18,2511.17
444,VEGA - NORTE,2019-09-18,5091.9
445,5M DISTRIBUCIONES,2019-09-19,1387.92
446,ALMACENES_SEVILLANO,2019-09-19,1794.0
447,DIJISA - AYACUCHO,2019-09-19,378.39
450,JRC - NAZCA,2019-09-19,401.92
452,PATITA SAC,2019-09-19,3711.04
453,TCA SAC,2019-09-19,2277.46
454,VEGA - ESTE,2019-09-19,1544.25
455,CALLAYUC,2019-09-20,8095.64
456,LANCERO - PUCALLPA,2019-09-20,3825.71
457,CALLAYUC,2019-09-21,4261.54
458,DIPSA-AYACUCHO,2019-09-21,1216.67
459,JRC - ICA,2019-09-21,1443.62
460,VEGA - SUR,2019-09-21,2057.98
462,ECONOMYSA,2019-09-23,6289.51
463,GUMISA - HUARAZ,2019-09-23,2552.58
464,RODAMEOS,2019-09-23,4914.0
465,SAUL,2019-09-23,1760.67
466,URBANO,2019-09-23,1102.44
467,CODIJISA - TRUJILLO,2019-09-24,1332.7
468,DIPSA-ANDAHUAYLAS,2019-09-24,635.18
469,LAGUI,2019-09-24,3692.0
470,RICMAN,2019-09-24,5622.0
471,RODAMEOS,2019-09-24,10818.0
472,URBANO,2019-09-24,1362.48
473,CODIJISA - TRUJILLO,2019-09-25,1775.71
474,DACIA - LIMA,2019-09-25,1497.94
475,EDUFARMA MERCADO,2019-09-26,3465.12
476,LA GENOVESA - ILO,2019-09-26,220.63
477,LANCERO - LA MERCED,2019-09-26,113.4
478,MELVIN MICHEL AL,2019-09-26,5434.63
481,CODIFER,2019-09-27,2148.0
482,DICOBELSA - LIMA,2019-09-27,2443.67
483,GUMISA - HUARAZ,2019-09-27,4872.07
484,LA GENOVESA - ILO,2019-09-27,233.38
485,TAMBOS LIMA,2019-09-27,10326.93
486,VEGA - CENTRO,2019-09-27,3236.98
488,DIJISA - ICA,2019-09-28,569.71
489,DROGUERIA SAN MARTIN,2019-09-28,1531.72
490,TAMBOS AQP,2019-09-28,2305.67
492,DIJISA - LIMA,2019-09-30,1073.39
494,ECONOMYSA,2019-09-02,5374.38
496,SAUL,2019-09-02,2303.67
497,STA APOLONIA - T,2019-09-02,5006.37
498,VEGA - ESTE,2019-09-02,1865.31
499,DACIA - LIMA,2019-09-03,729.21
501,DIPSA-ANDAHUAYLAS,2019-09-03,660.92
502,LAGUI,2019-09-03,10078.0
503,MYL_HERMANOS,2019-09-03,11004.13
504,CASA GRANDE,2019-09-04,6675.97
505,LA GENOVESA - TACNA,2019-09-04,1516.5
508,CODIFER,2019-09-05,3522.9
509,DICOBELSA - LIMA,2019-09-05,2437.06
510,EDUFARMA MERCADO,2019-09-05,3701.73
511,GUMISA - HUARAZ,2019-09-05,2017.39
512,MELVIN MICHEL AL,2019-09-05,7404.0
513,VEGA - CENTRO,2019-09-05,2715.59
514,VEGA - NORTE,2019-09-05,6045.0
515,AGA - MOYOBAMBA,2019-09-06,934.4
516,ALMACENES_SEVILLANO,2019-09-06,466.5
517,LIDER - TRUJILLO,2019-09-06,338.25
518,PATITA SAC,2019-09-06,3357.51
519,RICMAN,2019-09-06,5057.0
520,TAMBOS LIMA,2019-09-06,7337.25
521,TCA SAC,2019-09-06,1612.12
522,TEMMY,2019-09-06,1915.18
523,5M DISTRIBUCIONES,2019-09-07,661.67
524,DIJISA - ICA,2019-09-07,578.88
526,DROGUERIA SAN MARTIN,2019-09-07,1221.75
527,VEGA - ESTE,2019-09-07,3421.93
528,AGA - JAEN,2019-09-09,3371.38
530,DIJISA - LIMA,2019-09-09,1058.07
531,DIPSA-AYACUCHO,2019-09-09,4634.19
532,JRC - ICA,2019-09-09,2053.04
535,SAN JUAN,2019-09-09,4551.18
536,VEGA - SUR,2019-09-09,1893.83
538,CODIJISA - PIURA,2019-09-10,12934.49
539,CURTIS ESTE,2019-09-10,268.66
540,DIJISA - CHINCHA,2019-09-10,1920.11
541,DISTRIBUIDORA CCM,2019-09-10,42919.0
543,DYCART,2019-09-10,1980.0
544,KONSUMASS,2019-09-10,4776.88
545,LA GENOVESA - MOQUEGUA,2019-09-10,25.25
546,LANCERO - HUANUCO,2019-09-10,179.83
547,TAMBOS AQP,2019-09-10,4069.77
548,ECONOMYSA,2019-09-11,3698.47
549,ESTILOS,2019-09-11,257.0
550,GRUPO SVS,2019-09-11,6601.56
552,P&PJ CHINCHA,2019-09-11,4482.46
553,RICMAN,2019-09-11,7453.0
554,SAUL,2019-09-11,2768.3
555,SIPAN - Y,2019-09-11,7652.01
556,DACIA - LIMA,2019-09-12,1611.53
558,DIPSA-ANDAHUAYLAS,2019-09-12,845.83
559,LAGUI,2019-09-12,1692.0
560,LIDER - CHEPEN,2019-09-12,162.13
561,PANAM,2019-09-12,394.76
562,CHUPACA BUSINESS,2019-09-13,4276.04
563,MOLISAC,2019-09-13,5670.73
566,CODIFER,2019-09-14,2176.32
567,CORPORACION_VEGA,2019-09-14,1625.04
568,DICOBELSA - LIMA,2019-09-14,2513.69
569,EDUFARMA MERCADO,2019-09-14,2693.77
570,FERROL,2019-09-14,1168.15
571,GUMISA - HUARAZ,2019-09-14,3505.0
572,JRC - NAZCA,2019-09-14,578.31
573,MELVIN MICHEL AL,2019-09-14,9.0
575,SAN JUAN,2019-09-14,514.2
576,VEGA - CENTRO,2019-09-14,2718.54
577,CALLAYUC,2019-09-16,13112.13
578,CURTIS NORTE,2019-09-16,217.28
579,DIJISA - ICA,2019-09-16,787.72
580,DROGUERIA SAN MARTIN,2019-09-16,2515.54
582,AGA - TARAPOTO,2019-09-17,657.48
583,EUROVA,2019-09-17,7912.63
584,GIANELA,2019-09-17,1709.2
585,LANCERO - LA MERCED,2019-09-17,44.0
586,STA APOLONIA - CH,2019-09-17,3689.47
587,CODIJISA - CHIMBOTE,2019-09-18,1571.39
589,DIJISA - LIMA,2019-09-18,717.81
590,LYG-CD_SAC,2019-09-18,10543.0
592,CODIJISA - PIURA,2019-09-19,7780.7
593,CURTIS ESTE,2019-09-19,457.31
594,DIJISA - CHINCHA,2019-09-19,914.19
595,DIPSA-ABANCAY,2019-09-19,173.38
597,KONSUMASS,2019-09-19,3994.46
598,LA GENOVESA - MOQUEGUA,2019-09-19,22.17
599,RODAMEOS,2019-09-19,2857.0
600,SODALES,2019-09-19,3489.33
601,TAMBOS AQP,2019-09-19,1949.71
602,URBANO,2019-09-19,2338.31
603,CODIJISA - TRUJILLO,2019-09-20,2655.99
604,DIJISA - AYACUCHO,2019-09-20,362.21
605,DIJISA - HUANCAYO,2019-09-20,771.81
606,EDUSA,2019-09-20,1551.1
607,ESTILOS,2019-09-20,164.18
608,GRUPO SVS,2019-09-20,5634.83
610,P&PJ CHINCHA,2019-09-20,3808.45
611,SIPAN - Y,2019-09-20,10141.46
612,ARCANGEL,2019-09-21,5313.4
613,LIDER - CHEPEN,2019-09-21,243.5
614,PANAM,2019-09-21,886.83
616,CORPORACION_VEGA,2019-09-23,2053.08
618,DIPSA-ANDAHUAYLAS,2019-09-02,1089.3
619,EDUFARMA MERCADO,2019-09-02,4176.24
620,MARRACHE,2019-09-02,766.02
622,ZV,2019-09-02,5745.13
624,CODIJISA - PIURA,2019-09-03,8286.68
625,DISART,2019-09-03,1973.66
627,KONSUMASS,2019-09-03,4331.64
628,LANCERO - LA MERCED,2019-09-03,63.75
629,CODIFER,2019-09-04,2329.05
630,DIJISA - ICA,2019-09-04,1082.74
631,DROGUERIA SAN MARTIN,2019-09-04,9020.67
632,EDUFARMA MERCADO,2019-09-04,1583.85
634,LANCERO - TINGO MARIA,2019-09-04,369.5
635,MARRACHE,2019-09-04,1469.82
636,MELVIN MICHEL AL,2019-09-04,5615.13
637,TAYMI,2019-09-04,12736.48
638,CODIJISA - PIURA,2019-09-05,8064.89
639,DISART,2019-09-05,17082.15
640,LA GENOVESA - MOQUEGUA,2019-09-05,133.88
641,LIDER - CHEPEN,2019-09-05,663.58
642,TAMBOS AQP,2019-09-05,2051.6
644,DIJISA - ICA,2019-09-06,898.73
645,ESTILOS,2019-09-06,319.5
647,P&PJ CHINCHA,2019-09-06,4836.98
648,CASA GRANDE,2019-09-07,11046.08
649,CURTIS ESTE,2019-09-07,430.12
650,DIJISA - CHINCHA,2019-09-07,1532.16
651,LA GENOVESA - TACNA,2019-09-07,1611.01
652,LIDER - CHEPEN,2019-09-07,143.75
654,STA APOLONIA - T,2019-09-07,6253.08
655,AGA - MOYOBAMBA,2019-09-09,1029.25
656,DIJISA - CHINCHA,2019-09-09,1290.36
657,FERROL,2019-09-09,1777.7
659,PANAM,2019-09-09,344.7
660,PATITA SAC,2019-09-09,5124.85
661,5M DISTRIBUCIONES,2019-09-10,2090.38
662,CHUPACA BUSINESS,2019-09-10,3560.9
663,DIJISA - AYACUCHO,2019-09-10,246.63
664,MYL_HERMANOS,2019-09-10,9566.75
665,CALLAYUC,2019-09-11,6513.08
666,CORPORACION_VEGA,2019-09-11,1763.08
667,LIDER - TRUJILLO,2019-09-11,264.5
668,LYG-CD_SAC,2019-09-11,6860.0
670,PANAM,2019-09-11,416.47
671,DIPSA-ABANCAY,2019-09-12,207.38
673,ECONOMYSA,2019-09-12,3554.08
674,JRC - ICA,2019-09-12,3519.76
677,VEGA - ESTE,2019-09-12,1744.03
678,ALMACENES_SEVILLANO,2019-09-13,368.0
679,CALLAYUC,2019-09-13,12449.43
680,CODIJISA - CHIMBOTE,2019-09-13,783.26
681,CORPORACION_VEGA,2019-09-13,1918.14
682,CURTIS NORTE,2019-09-13,307.0
683,DISTRIBUIDORA CCM,2019-09-13,32833.0
684,LANCERO - HUANUCO,2019-09-13,159.67
685,LANCERO - PUCALLPA,2019-09-13,639.29
686,LIDER - TRUJILLO,2019-09-13,149.5
687,LYG-CD_SAC,2019-09-13,10075.0
688,ARCANGEL,2019-09-14,4225.03
689,DIPSA-ABANCAY,2019-09-14,116.5
690,DIPSA-AYACUCHO,2019-09-14,1602.11
691,ECONOMYSA,2019-09-14,4232.81
692,GIANELA,2019-09-14,2468.0
695,RODAMEOS,2019-09-14,3265.0
696,SODALES,2019-09-14,12227.29
697,STA APOLONIA - CH,2019-09-14,4195.23
698,VEGA - ESTE,2019-09-14,3023.69
699,VEGA - SUR,2019-09-14,2304.22
700,ARCANGEL,2019-09-16,3105.95
