,Categoria,Fecha,Cantidad
137,01 Mascotas,2020-07-23,19.04
138,38 Pañales Adultos,2021-06-13,6.13
139,04 Pañuelos Masivos,2020-06-26,117.63
140,05 Pañales Bebe,2020-03-22,86.77
141,02 Rollos de Cocina,2020-09-22,77171.91
142,03 Servilletas Masivos,2021-03-15,21156.6
143,02 Rollos de Cocina,2020-09-25,74088.87
144,05 Pañales Bebe,2020-03-28,28621.51
145,11 Toallas Húmedas,2020-11-09,821.3
146,38 Pañales Adultos,2020-12-12,667.58
147,01 Mascarilla ,2021-05-06,3.04
148,01 Higiénicos Masivos,2020-06-29,356921.28
149,11 Toallas Húmedas,2021-05-14,1277.25
150,10 Toallas Femeninas,2020-06-12,5899.94
151,02 Rollos de Cocina,2020-03-23,57379.23
152,05 Pañales Bebe,2021-05-14,26055.34
153,38 Pañales Adultos,2020-12-06,16.79
154,01 Higiénicos Masivos,2020-01-01,2466.0
155,02 Rollos de Cocina,2020-04-01,50477.54
156,10 Toallas Femeninas,2020-08-03,4359.99
157,03 Servilletas Masivos,2020-09-13,597.0
158,02 Rollos de Cocina,2019-09-28,48812.83
159,38 Pañales Adultos,2021-06-10,735.78
160,04 Pañuelos Masivos,2020-06-29,127.63
161,38 Pañales Adultos,2021-06-04,708.2
162,04 Pañuelos Masivos,2021-02-16,59.36
163,11 Toallas Húmedas,2021-05-05,1133.98
164,05 Pañales Bebe,2020-11-18,52135.07
165,11 Toallas Húmedas,2020-03-16,740.38
166,11 Toallas Húmedas,2019-09-12,607.75
167,01 Mascarilla ,2021-05-09,1.0
168,38 Pañales Adultos,2020-04-18,921.11
169,10 Toallas Femeninas,2021-02-05,5152.38
170,03 Servilletas Masivos,2020-09-16,18989.93
171,02 Rollos de Cocina,2020-03-26,66680.36
172,01 Mascarilla ,2020-11-04,2.35
173,05 Pañales Bebe,2019-09-27,41022.94
174,05 Pañales Bebe,2021-05-23,1631.67
175,01 Mascotas,2020-09-16,14.71
176,03 Servilletas Masivos,2020-03-14,62004.93
177,04 Pañuelos Masivos,2019-12-29,12.6
178,01 Higiénicos Masivos,2020-07-08,289979.71
179,03 Servilletas Masivos,2021-05-06,18742.16
180,11 Toallas Húmedas,2021-05-08,1134.0
181,04 Pañuelos Masivos,2019-12-23,207.31
182,01 Higiénicos Masivos,2020-01-04,280792.65
183,38 Pañales Adultos,2021-06-07,811.46
184,02 Rollos de Cocina,2019-09-25,39460.62
185,01 Mascotas,2021-03-18,1.17
186,11 Toallas Húmedas,2019-09-15,19.72
187,02 Rollos de Cocina,2021-05-18,78491.25
188,38 Pañales Adultos,2019-10-15,697.1
189,02 Rollos de Cocina,2021-05-21,72817.63
190,38 Pañales Adultos,2019-10-12,1064.04
191,11 Toallas Húmedas,2020-03-19,388.71
192,10 Toallas Femeninas,2021-02-02,4772.17
193,05 Pañales Bebe,2020-11-15,713.83
194,05 Pañales Bebe,2019-09-24,45309.0
195,01 Mascarilla ,2021-05-12,2.97
196,38 Pañales Adultos,2020-04-15,1356.9
197,10 Toallas Femeninas,2021-02-08,4828.42
198,01 Higiénicos Masivos,2020-07-05,2783.59
199,05 Pañales Bebe,2021-05-20,37878.53
200,04 Pañuelos Masivos,2019-12-26,125.01
201,11 Toallas Húmedas,2020-03-13,862.54
202,01 Mascarilla ,2020-11-07,2.23
203,02 Rollos de Cocina,2020-03-29,647.2
204,03 Servilletas Masivos,2020-03-11,69266.3
205,02 Rollos de Cocina,2020-11-25,58290.14
206,04 Pañuelos Masivos,2021-02-22,50.24
207,11 Toallas Húmedas,2021-01-06,1048.39
208,38 Pañales Adultos,2019-12-15,42.3
209,01 Higiénicos Masivos,2021-02-28,69955.59
210,04 Pañuelos Masivos,2020-08-20,102.52
211,02 Rollos de Cocina,2020-11-19,61527.37
212,10 Toallas Femeninas,2020-08-09,42.5
213,01 Higiénicos Masivos,2020-01-07,437311.52
214,03 Servilletas Masivos,2019-09-16,49658.02
215,05 Pañales Bebe,2020-05-19,41536.8
216,03 Servilletas Masivos,2021-05-09,486.83
217,11 Toallas Húmedas,2019-11-15,605.57
218,01 Mascarilla ,2021-03-06,5.28
219,02 Rollos de Cocina,2021-05-24,81733.2
220,10 Toallas Femeninas,2020-02-05,4498.47
221,01 Higiénicos Masivos,2020-01-10,369316.58
222,01 Mascotas,2020-09-22,16.0
223,03 Servilletas Masivos,2020-03-20,13668.9
224,38 Pañales Adultos,2019-12-18,1143.1
225,01 Higiénicos Masivos,2021-03-03,235292.11
226,05 Pañales Bebe,2019-11-18,39122.89
227,04 Pañuelos Masivos,2021-03-19,30.08
228,01 Higiénicos Masivos,2020-04-04,337835.98
229,11 Toallas Húmedas,2021-01-31,25.14
230,04 Pañuelos Masivos,2020-09-14,76.94
231,10 Toallas Femeninas,2020-09-03,6510.53
232,01 Mascarilla ,2020-12-08,0.98
233,04 Pañuelos Masivos,2020-01-26,8.39
234,01 Mascotas,2020-11-26,26.4
235,03 Servilletas Masivos,2019-09-18,59512.98
236,05 Pañales Bebe,2020-08-21,45412.74
237,38 Pañales Adultos,2021-04-11,0.75
238,11 Toallas Húmedas,2019-12-13,658.15
239,03 Servilletas Masivos,2020-11-06,26032.44
240,01 Mascotas,2020-05-21,9.75
241,02 Rollos de Cocina,2019-11-18,37941.33
242,05 Pañales Bebe,2021-02-20,47968.34
243,01 Mascotas,2020-05-27,0.29
244,02 Rollos de Cocina,2020-05-22,76336.97
245,10 Toallas Femeninas,2020-03-01,21.41
246,03 Servilletas Masivos,2020-11-12,29047.24
247,38 Pañales Adultos,2020-02-21,645.19
248,01 Mascarilla ,2020-12-05,1.38
249,01 Higiénicos Masivos,2020-10-10,303307.89
250,01 Higiénicos Masivos,2020-04-07,288890.98
251,02 Rollos de Cocina,2020-11-24,61939.52
252,04 Pañuelos Masivos,2021-03-22,92.93
253,11 Toallas Húmedas,2021-02-03,1303.41
254,05 Pañales Bebe,2019-12-30,49221.71
255,01 Mascarilla ,2020-12-11,1.55
256,01 Higiénicos Masivos,2021-05-30,6326.8
257,04 Pañuelos Masivos,2020-09-17,73.48
258,38 Pañales Adultos,2021-04-14,800.25
259,10 Toallas Femeninas,2020-03-04,6173.02
260,05 Pañales Bebe,2021-02-23,39289.88
261,03 Servilletas Masivos,2020-11-09,20568.35
262,02 Rollos de Cocina,2019-11-21,40958.62
263,10 Toallas Femeninas,2020-09-06,137.05
264,05 Pañales Bebe,2021-02-17,45075.5
265,38 Pañales Adultos,2020-10-10,778.12
266,01 Higiénicos Masivos,2020-04-10,322.07
267,01 Higiénicos Masivos,2020-10-07,339657.48
268,11 Toallas Húmedas,2020-06-13,779.88
269,02 Rollos de Cocina,2020-05-25,60889.89
270,03 Servilletas Masivos,2020-05-07,16435.48
271,11 Toallas Húmedas,2019-12-10,621.02
272,38 Pañales Adultos,2020-02-18,477.65
273,05 Pañales Bebe,2020-08-27,45209.92
274,10 Toallas Femeninas,2019-09-06,4736.62
275,05 Pañales Bebe,2020-02-23,240.07
276,01 Higiénicos Masivos,2021-06-08,215588.98
277,01 Higiénicos Masivos,2021-06-02,170274.55
278,03 Servilletas Masivos,2020-05-13,22546.93
279,11 Toallas Húmedas,2020-06-07,1.25
280,10 Toallas Femeninas,2021-04-29,5376.98
281,11 Toallas Húmedas,2020-12-10,867.23
282,01 Higiénicos Masivos,2019-10-07,346692.61
283,38 Pañales Adultos,2021-04-08,723.14
284,02 Rollos de Cocina,2019-11-24,1460.62
285,04 Pañuelos Masivos,2020-09-20,0.21
286,04 Pañuelos Masivos,2020-09-23,91.04
287,03 Servilletas Masivos,2019-11-09,51018.42
288,01 Higiénicos Masivos,2019-10-10,348526.14
289,04 Pañuelos Masivos,2020-03-18,153.27
290,10 Toallas Femeninas,2021-05-02,2.38
291,02 Rollos de Cocina,2020-05-28,68903.62
292,38 Pañales Adultos,2020-08-19,905.59
293,01 Higiénicos Masivos,2020-04-13,419776.96
294,38 Pañales Adultos,2020-02-15,691.72
295,11 Toallas Húmedas,2019-12-07,841.53
296,10 Toallas Femeninas,2020-03-07,5381.52
297,02 Rollos de Cocina,2021-01-18,71513.27
298,05 Pañales Bebe,2020-02-20,29078.0
299,11 Toallas Húmedas,2020-06-10,998.18
300,03 Servilletas Masivos,2020-05-16,14378.89
301,01 Higiénicos Masivos,2021-06-05,241424.92
302,10 Toallas Femeninas,2019-09-03,2968.65
303,03 Servilletas Masivos,2019-11-12,61148.35
304,05 Pañales Bebe,2020-08-24,45205.14
305,05 Pañales Bebe,2021-02-26,57859.75
306,10 Toallas Femeninas,2021-04-26,4569.47
307,01 Higiénicos Masivos,2019-10-13,5574.58
308,02 Rollos de Cocina,2019-11-27,45425.95
309,04 Pañuelos Masivos,2021-05-13,241.65
310,04 Pañuelos Masivos,2020-03-21,168.29
311,10 Toallas Femeninas,2020-03-10,5055.98
312,02 Rollos de Cocina,2021-01-15,74470.63
313,38 Pañales Adultos,2020-02-12,920.97
314,01 Higiénicos Masivos,2020-12-01,168670.07
315,04 Pañuelos Masivos,2019-09-17,143.92
316,04 Pañuelos Masivos,2020-03-27,45.0
317,03 Servilletas Masivos,2021-01-06,29277.09
318,11 Toallas Húmedas,2020-02-09,4.27
319,38 Pañales Adultos,2021-06-08,1042.43
320,10 Toallas Femeninas,2020-05-01,1601.65
321,01 Mascotas,2021-01-26,3.21
322,04 Pañuelos Masivos,2020-11-14,44.47
323,01 Mascotas,2021-01-20,6.58
324,03 Servilletas Masivos,2019-11-15,58352.91
325,38 Pañales Adultos,2019-10-16,705.31
326,05 Pañales Bebe,2021-04-22,47152.48
327,01 Higiénicos Masivos,2020-12-10,319819.76
328,02 Rollos de Cocina,2020-07-16,77636.77
329,01 Mascarilla ,2021-05-31,13.43
330,38 Pañales Adultos,2019-10-13,1.17
331,10 Toallas Femeninas,2020-10-28,5340.0
332,02 Rollos de Cocina,2021-01-24,504.41
333,38 Pañales Adultos,2020-04-16,709.22
334,04 Pañuelos Masivos,2021-05-16,0.11
335,01 Higiénicos Masivos,2020-12-04,310604.4
336,11 Toallas Húmedas,2020-08-10,885.34
337,05 Pañales Bebe,2020-02-29,37016.74
338,10 Toallas Femeninas,2020-11-03,4293.69
339,04 Pañuelos Masivos,2019-09-20,160.37
340,03 Servilletas Masivos,2020-02-11,62248.59
341,03 Servilletas Masivos,2020-08-15,15039.39
342,05 Pañales Bebe,2020-10-20,32586.89
343,01 Higiénicos Masivos,2019-12-03,337267.11
344,04 Pañuelos Masivos,2019-11-27,137.98
345,01 Mascarilla ,2020-10-09,0.73
346,01 Mascotas,2020-08-18,13.5
347,05 Pañales Bebe,2021-04-24,36753.77
348,03 Servilletas Masivos,2020-02-17,65254.07
349,10 Toallas Femeninas,2020-07-05,22.22
350,01 Mascarilla ,2020-10-06,1.36
351,10 Toallas Femeninas,2021-01-07,5225.69
352,04 Pañuelos Masivos,2021-01-18,70.12
353,38 Pañales Adultos,2020-05-11,843.94
354,38 Pañales Adultos,2020-05-17,182.0
355,11 Toallas Húmedas,2020-04-14,820.75
356,38 Pañales Adultos,2019-11-13,748.68
357,11 Toallas Húmedas,2021-06-06,169.58
358,02 Rollos de Cocina,2021-04-22,59891.68
359,11 Toallas Húmedas,2019-10-11,767.33
360,01 Mascarilla ,2021-04-10,5.41
361,04 Pañuelos Masivos,2019-11-30,403.69
362,01 Higiénicos Masivos,2019-12-06,313625.44
363,01 Mascotas,2021-02-17,18.0
364,05 Pañales Bebe,2020-10-17,48991.1
365,11 Toallas Húmedas,2020-04-17,1115.35
366,03 Servilletas Masivos,2020-08-18,23089.28
367,01 Higiénicos Masivos,2020-06-09,450357.17
368,02 Rollos de Cocina,2020-02-29,59486.65
369,05 Pañales Bebe,2021-04-21,36836.88
370,10 Toallas Femeninas,2020-07-02,4213.88
371,03 Servilletas Masivos,2020-02-14,52143.05
372,38 Pañales Adultos,2020-05-14,1258.62
373,01 Mascarilla ,2021-04-13,8.72
374,11 Toallas Húmedas,2020-04-11,519.95
375,01 Higiénicos Masivos,2020-06-06,359568.71
376,04 Pañuelos Masivos,2021-01-15,91.93
377,10 Toallas Femeninas,2021-01-04,4386.23
378,02 Rollos de Cocina,2021-04-19,58497.97
379,05 Pañales Bebe,2020-04-17,48843.64
380,04 Pañuelos Masivos,2021-01-21,256.35
381,11 Toallas Húmedas,2019-10-14,637.63
382,03 Servilletas Masivos,2021-04-07,17601.78
383,02 Rollos de Cocina,2021-04-25,590.0
384,38 Pañales Adultos,2019-11-10,6.38
385,01 Higiénicos Masivos,2019-12-09,361051.56
386,10 Toallas Femeninas,2020-07-11,4081.68
387,10 Toallas Femeninas,2020-01-07,5051.48
388,38 Pañales Adultos,2020-11-07,750.1
389,11 Toallas Húmedas,2020-10-08,964.16
390,04 Pañuelos Masivos,2020-07-22,144.81
391,02 Rollos de Cocina,2020-10-27,74339.05
392,05 Pañales Bebe,2021-06-15,28175.04
393,10 Toallas Femeninas,2021-02-28,216.98
394,11 Toallas Húmedas,2020-10-14,942.35
395,01 Mascarilla ,2020-10-15,3.4
396,01 Mascotas,2020-08-24,3.08
397,38 Pañales Adultos,2020-11-13,1015.14
398,05 Pañales Bebe,2020-04-20,31248.32
399,38 Pañales Adultos,2019-09-19,539.37
400,05 Pañales Bebe,2020-10-23,56755.91
401,01 Higiénicos Masivos,2021-01-30,842620.47
402,02 Rollos de Cocina,2020-10-24,51087.54
403,01 Mascarilla ,2021-06-04,2.56
404,10 Toallas Femeninas,2020-01-10,5203.03
405,03 Servilletas Masivos,2021-04-16,21493.34
406,03 Servilletas Masivos,2021-04-10,21288.97
407,02 Rollos de Cocina,2021-04-28,59733.26
408,04 Pañuelos Masivos,2021-01-24,2.43
409,04 Pañuelos Masivos,2020-07-25,143.47
410,10 Toallas Femeninas,2020-01-04,4450.68
411,03 Servilletas Masivos,2021-04-13,22879.73
412,11 Toallas Húmedas,2021-04-15,1546.96
413,38 Pañales Adultos,2021-05-15,661.1
414,01 Higiénicos Masivos,2021-02-02,329660.19
415,02 Rollos de Cocina,2019-09-02,33941.21
416,38 Pañales Adultos,2020-05-08,827.83
417,11 Toallas Húmedas,2020-10-11,19.52
418,01 Mascarilla ,2020-10-12,2.23
419,03 Servilletas Masivos,2020-10-09,22656.46
420,05 Pañales Bebe,2019-10-20,6670.83
421,10 Toallas Femeninas,2020-07-08,5534.45
422,02 Rollos de Cocina,2020-04-21,67249.58
423,38 Pañales Adultos,2020-11-10,1140.16
424,11 Toallas Húmedas,2020-04-08,644.64
425,01 Higiénicos Masivos,2020-07-31,533005.2
426,01 Mascotas,2020-08-21,1.82
427,01 Higiénicos Masivos,2021-01-27,423683.04
428,02 Rollos de Cocina,2020-10-21,61625.78
429,04 Pañuelos Masivos,2020-07-19,1.88
430,05 Pañales Bebe,2020-04-23,50838.81
431,02 Rollos de Cocina,2020-04-24,55229.11
432,11 Toallas Húmedas,2020-12-14,1056.89
433,05 Pañales Bebe,2019-10-23,33745.5
434,11 Toallas Húmedas,2020-06-11,1185.69
435,10 Toallas Femeninas,2020-09-01,4971.75
436,04 Pañuelos Masivos,2020-07-28,9.43
437,01 Higiénicos Masivos,2021-02-05,275945.85
438,01 Mascotas,2021-04-13,15.75
439,38 Pañales Adultos,2021-01-13,1032.72
440,01 Higiénicos Masivos,2020-01-30,305136.71
441,02 Rollos de Cocina,2020-04-30,93096.63
442,04 Pañuelos Masivos,2020-01-24,154.25
443,03 Servilletas Masivos,2020-10-12,22448.67
444,01 Higiénicos Masivos,2020-08-03,302559.83
445,10 Toallas Femeninas,2021-03-06,4110.45
446,05 Pañales Bebe,2019-10-29,37711.5
447,05 Pañales Bebe,2021-06-21,39282.53
448,04 Pañuelos Masivos,2020-01-27,197.46
449,01 Mascotas,2020-10-15,6.67
450,01 Higiénicos Masivos,2020-02-02,6319.11
451,11 Toallas Húmedas,2020-06-14,69.0
452,05 Pañales Bebe,2020-12-17,34772.42
453,02 Rollos de Cocina,2021-06-01,39061.02
454,11 Toallas Húmedas,2020-03-05,707.19
455,03 Servilletas Masivos,2021-01-31,904.53
456,01 Higiénicos Masivos,2019-10-01,210920.18
457,05 Pañales Bebe,2020-05-27,54979.94
458,01 Mascotas,2021-01-05,10.67
459,10 Toallas Femeninas,2021-03-14,91.32
460,01 Mascotas,2021-01-11,0.5
461,11 Toallas Húmedas,2020-09-07,869.54
462,01 Mascarilla ,2021-03-04,59.21
463,01 Higiénicos Masivos,2021-05-27,212507.62
464,05 Pañales Bebe,2020-11-29,711.9
465,10 Toallas Femeninas,2021-03-08,4772.28
466,01 Higiénicos Masivos,2021-05-24,291437.46
467,02 Rollos de Cocina,2019-10-09,38412.37
468,04 Pañuelos Masivos,2020-08-05,98.16
469,04 Pañuelos Masivos,2020-01-29,138.95
470,02 Rollos de Cocina,2019-10-06,596.37
471,03 Servilletas Masivos,2019-12-13,56152.87
472,10 Toallas Femeninas,2020-01-18,4564.66
473,02 Rollos de Cocina,2020-04-09,5411.75
474,38 Pañales Adultos,2020-10-07,1116.77
475,01 Mascarilla ,2021-02-26,9.63
476,01 Higiénicos Masivos,2020-11-22,3010.22
477,38 Pañales Adultos,2020-04-04,681.36
478,02 Rollos de Cocina,2020-11-30,161229.7
479,02 Rollos de Cocina,2021-06-04,61365.26
480,02 Rollos de Cocina,2021-05-29,71551.54
481,01 Higiénicos Masivos,2020-11-25,328136.39
482,11 Toallas Húmedas,2020-03-02,433.07
483,03 Servilletas Masivos,2021-02-03,25039.95
484,05 Pañales Bebe,2020-05-24,105.0
485,01 Higiénicos Masivos,2019-10-04,355517.19
486,10 Toallas Femeninas,2021-03-11,4407.27
487,11 Toallas Húmedas,2020-09-04,934.66
488,01 Mascotas,2021-01-08,1.04
489,04 Pañuelos Masivos,2020-08-02,11.81
490,38 Pañales Adultos,2021-05-27,732.43
491,05 Pañales Bebe,2020-11-26,33956.59
492,38 Pañales Adultos,2020-10-04,6.25
493,11 Toallas Húmedas,2021-04-27,867.81
494,03 Servilletas Masivos,2019-12-10,67139.87
495,01 Higiénicos Masivos,2020-11-19,268830.25
496,04 Pañuelos Masivos,2020-02-01,96.86
497,01 Mascarilla ,2021-03-01,7.23
498,10 Toallas Femeninas,2020-01-21,4076.3
499,05 Pañales Bebe,2020-05-30,50570.27
500,03 Servilletas Masivos,2020-08-01,14095.26
501,38 Pañales Adultos,2020-04-01,546.88
502,02 Rollos de Cocina,2020-11-27,65958.35
503,38 Pañales Adultos,2020-04-07,715.78
504,01 Higiénicos Masivos,2020-11-28,338658.68
505,05 Pañales Bebe,2021-01-20,45400.75
506,38 Pañales Adultos,2021-04-02,59.58
507,38 Pañales Adultos,2020-09-28,771.1
508,02 Rollos de Cocina,2020-06-03,79964.96
509,11 Toallas Húmedas,2020-09-01,659.48
510,11 Toallas Húmedas,2020-08-29,924.99
511,10 Toallas Femeninas,2020-09-09,4052.58
512,05 Pañales Bebe,2019-11-29,48324.83
513,38 Pañales Adultos,2020-10-01,720.82
514,02 Rollos de Cocina,2020-12-06,4284.83
515,01 Mascotas,2020-07-09,0.38
516,04 Pañuelos Masivos,2021-03-28,1.61
517,11 Toallas Húmedas,2021-03-06,1071.26
518,03 Servilletas Masivos,2021-02-06,21673.25
519,01 Mascotas,2020-07-15,3.33
520,04 Pañuelos Masivos,2020-02-04,151.79
521,05 Pañales Bebe,2020-06-02,38264.78
522,01 Higiénicos Masivos,2020-05-26,412766.77
523,03 Servilletas Masivos,2020-08-04,18894.64
524,10 Toallas Femeninas,2020-09-15,5069.34
525,01 Higiénicos Masivos,2020-05-23,257614.41
526,04 Pañuelos Masivos,2020-02-07,123.9
527,38 Pañales Adultos,2021-04-05,513.92
528,04 Pañuelos Masivos,2020-09-26,99.35
529,01 Mascarilla ,2021-03-07,0.45
530,01 Mascotas,2021-01-14,3.13
531,04 Pañuelos Masivos,2021-03-31,252.81
532,05 Pañales Bebe,2019-12-02,27084.46
533,10 Toallas Femeninas,2021-03-17,3900.55
534,02 Rollos de Cocina,2020-05-31,540.0
535,11 Toallas Húmedas,2021-03-03,1222.77
536,03 Servilletas Masivos,2020-02-03,56012.19
537,04 Pañuelos Masivos,2021-03-25,59.37
538,01 Higiénicos Masivos,2020-05-29,443745.41
539,02 Rollos de Cocina,2020-12-03,63877.06
540,05 Pañales Bebe,2019-11-26,38044.02
541,10 Toallas Femeninas,2020-09-12,4762.83
542,03 Servilletas Masivos,2020-08-07,21115.03
543,10 Toallas Femeninas,2020-03-16,3737.29
544,03 Servilletas Masivos,2020-02-09,120.47
545,02 Rollos de Cocina,2019-12-06,48661.1
546,01 Mascotas,2020-07-18,2.17
547,04 Pañuelos Masivos,2020-09-29,143.54
548,04 Pañuelos Masivos,2021-04-03,31.81
549,02 Rollos de Cocina,2019-11-30,49474.61
550,01 Higiénicos Masivos,2019-12-01,1184.42
551,10 Toallas Femeninas,2019-09-12,3080.86
552,05 Pañales Bebe,2021-01-29,68733.67
