,SKU,Fecha,Cantidad
148,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-10-23,47.22
151,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-08-29,3215.24
156,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-03-18,2536.0
159,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-08-07,72.63
160,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-04-06,9.0
169,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2019-10-02,179.9
174,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2021-04-08,32.84
175,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-10-06,12229.2
176,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2021-04-28,717.0
177,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2021-05-24,1130.0
179,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2019-10-21,1371.25
182,PH ELITE DH 24 X 2 LA,2019-10-02,11287.5
185,PH ELITE DUO  DH 4x12 25 METROS,2019-11-01,1520.25
186,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-06-11,37.31
189,PH ELITE PLUS DH 24 X 2,2020-09-30,2005.0
208,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-01-15,1552.25
210,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-11-01,1.63
216,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-12-04,5690.0
219,PH ELITE CLÁSICO DH 2 X 10 CO,2019-09-21,9399.2
222,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-06-03,838.0
230,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2019-11-22,32.55
235,RC NOVA DH MEGAROLLO  1 X 12,2020-08-25,50534.65
236,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2021-05-18,10.71
238,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2019-09-23,182.28
240,PH ELITE DH 2 X 10 LA,2020-12-30,58453.8
242,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-09-21,935.5
249,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-10-05,69.28
250,PH ELITE DH 24 X 2 LA,2020-05-12,19606.5
252,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-03-08,8.0
253,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-02-02,336.0
256,PH ELITE CLÁSICO DH 2 X 10 CO,2020-11-09,2202.8
257,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2021-01-22,5807.0
261,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-02-18,792.0
264,PH ELITE DH 6 X 8 LA,2021-02-24,2536.4
268,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-10-29,4057.5
272,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2019-12-10,3859.5
273,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2019-10-13,30.5
276,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-03-21,5.83
280,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-03-15,2.67
284,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-10-28,3489.0
285,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-01-18,665.0
288,PH ELITE DH 6 X 8 LA,2021-02-01,3776.91
289,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-02-07,7.5
295,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-01-11,17521.66
303,PH ELITE PLUS DH 24 X 2,2021-01-31,10.5
308,PH ELITE DUO  DH 6 x 8  25 METROS,2019-11-10,54.0
314, PH ELITE PLUS DH VERTICAL 6 X 8,2020-08-07,894.88
320,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-01-22,1539.5
329,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-08-01,422.5
331,PH ELITE CLÁSICO DH 2 X 10 CO,2021-02-17,1739.6
333,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2019-09-13,117.01
339,RC NOVA DH MEGAROLLO  2 X 6,2020-05-30,2682.34
342,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-06-15,20.0
343,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-02-22,166.02
345,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-01-07,124.7
347,PH HIGIENOL DH 4x6 40 METROS,2021-04-15,9756.66
349,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-06-04,40.35
350,PH ELITE  DH 4 X 12 LA,2019-09-01,93.83
353,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-03-24,162.53
354,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-07-13,48.57
355,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-08-05,2479.5
358,PH NOBLE DH 2 X 10,2020-09-21,133186.1
359,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-12-31,4.0
363,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2019-09-05,37.45
364,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2019-12-04,1264.0
365,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-06-02,3342.17
373,PH ELITE  DH 4 X 12 LA,2020-05-27,18852.88
374,PH ELITE CLÁSICO DH 2 X 10 CO,2019-12-30,6456.8
379,PH ELITE DH 24 X 2 LA,2021-03-23,9894.0
381,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-06-13,18.5
387,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2019-09-29,4.6
390,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-02-09,197.74
397,PH ELITE DH 2 X 10 LA,2020-02-19,39263.7
402,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-12-07,1080.5
403,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-06-06,10.0
407,PH HIGIENOL DH 4x6 40 METROS,2020-02-25,5898.24
411,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-04-24,677.5
414,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-06-19,11.67
415,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2021-03-18,68.21
420,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2021-04-03,36.25
425,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-03-13,4512.0
426,PH ELITE DH 6 X 8 LA,2020-05-08,12126.0
433,TH TOALLITAS HUMEDAS PREMIUM 184x8,2021-06-25,257.44
435,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-09-27,38.75
441,PH NOBLE DH 2 X 10,2021-05-08,36629.5
443,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-07-11,154.92
451,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-07-31,7.32
454,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-01-03,4.57
456,PH ELITE DH 6 X 8 LA,2020-11-16,5703.05
458,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2021-05-08,4129.5
465,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2019-12-14,50.54
466,PH ELITE DH 2 X 10 LA,2019-09-26,46428.8
477,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-07-30,847.25
484,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2019-11-26,14150.47
498,PH ELITE  DH 4 X 12 LA,2020-10-20,14799.45
504, PH ELITE PLUS DH VERTICAL 6 X 8,2020-06-22,594.75
506,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-10-19,5023.5
507,PH ELITE PLUS DH 24 X 2,2021-03-18,848.5
509,PH ELITE DUO  DH 6 x 8  25 METROS,2020-05-20,13564.88
515,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-01-11,4044.33
518,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-09-16,1503.5
526,RC NOVA DH MEGAROLLO  2 X 6,2020-12-08,4466.18
529,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2021-03-15,3949.5
530,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-06-10,7.37
533,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2021-02-13,2135.0
537,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-02-11,176.3
544,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-07-14,818.5
548,PH ELITE DUO  DH 4x12 25 METROS,2020-08-19,7507.96
551,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2021-01-14,14586.17
552,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2019-11-23,6216.0
555,PH HIGIENOL DH  4 X 12,2019-11-23,7631.59
565,PH HIGIENOL DH 4x6 40 METROS,2020-06-04,6557.99
570,PH ELITE DUO  DH 6 x 8  25 METROS,2020-08-28,10954.75
573,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2019-09-02,15.15
574,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-08-18,2962.5
575,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2019-10-22,47.1
577,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2019-10-18,2828.5
578,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-07-20,2633.5
583,PH ELITE PLUS DH 24 X 2,2020-04-14,3934.5
600,PH ELITE DH 6 X 8 LA,2020-10-24,5008.25
601,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2019-12-22,6.25
606,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2021-06-05,222.16
607,PH ELITE DUO  DH 4x12 25 METROS,2019-10-09,7931.04
611,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-03-09,324.0
615,SE ELITE CORTADA 1000 X 12,2019-10-17,318.68
618,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-05-04,8.0
619,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-08-06,1807.6
622,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-09-22,3.5
624,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-09-21,3335.0
625,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-10-21,8.7
626,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2019-12-15,2.41
627,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-04-10,3656.0
639,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-02-14,2405.5
641, PH ELITE PLUS DH VERTICAL 6 X 8,2020-10-23,2020.13
643,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2021-03-23,51.65
644,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-01-02,148.13
645,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-05-18,437.75
647,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2021-01-15,88.62
651,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-06-12,1584.5
652,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2019-09-25,1.87
659,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-09-10,4287.5
665,PH ELITE  DH 4 X 12 LA,2019-12-10,20667.42
670,PH ELITE DH 24 X 2 LA,2020-10-05,11182.0
672,PH ELITE DH 2 X 10 LA,2020-01-27,57399.1
673,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-04-21,2329.25
677,PH ELITE PLUS DH 24 X 2,2020-03-22,1.0
681, PH ELITE PLUS DH VERTICAL 6 X 8,2019-09-27,1015.83
684,PH NOBLE DH 2 X 10,2019-12-04,116786.8
685,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-03-28,22441.16
695,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2019-09-10,2994.5
701,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-04-18,1625.0
705,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-03-07,42.0
706,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2021-04-20,8866.94
710,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-04-11,120.1
713,PH HIGIENOL DH  4 X 12,2021-04-27,2037.83
714, PH ELITE PLUS DH VERTICAL 6 X 8,2020-11-15,1.0
719,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2021-04-15,89.85
720,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-03-13,1241.0
723,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-11-17,84.9
731,PH ELITE CLÁSICO DH 2 X 10 CO,2020-05-01,912.0
732,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-07-08,61.14
737,PH ELITE DUO  DH 6 x 8  25 METROS,2021-03-31,23260.66
741,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-03-08,4.33
750,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-12-13,28.0
760,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-03-27,266.16
763,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-02-18,369.5
766,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-09-14,898.75
771,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-02-06,4109.0
775,PH ELITE DUO  DH 6 x 8  25 METROS,2019-12-26,6950.0
777, PH ELITE PLUS DH VERTICAL 6 X 8,2020-12-31,1512.13
778,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2021-01-31,2.42
779,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-06-17,882.5
784,PH HIGIENOL DH 4x6 40 METROS,2020-01-10,8533.46
786,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-03-08,17.0
793,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2019-10-15,923.0
796,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2021-01-16,337.13
797,PH ELITE DUO  DH 4x12 25 METROS,2020-02-09,5.75
801,PH ELITE DH 24 X 2 LA,2020-02-02,133.5
805,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2019-10-01,31162.39
807,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-01-29,922.08
808,PH ELITE PLUS DH 24 X 2,2021-06-26,496.5
812,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-12-19,71.95
813,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-03-05,4744.0
817,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-04-10,16.0
820,PH NOBLE DH 24 X 2,2021-03-05,3303.0
825,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-02-08,180.18
829,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-04-07,785.44
832,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2019-10-06,12.75
833,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-10-28,5412.5
835,PH ELITE DH 24 X 2 LA,2021-02-28,180.0
840,PH ELITE CLÁSICO DH 2 X 10 CO,2019-12-07,6647.5
841,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-05-12,2139.0
842,PH ELITE  DH 4 X 12 LA,2020-05-04,18619.75
851,PH ELITE PLUS DH 24 X 2,2020-05-30,690.5
852,PH ELITE DH 2 X 10 LA,2020-03-13,89949.9
855,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-10-07,647.25
862,RC NOVA DH MEGAROLLO  1 X 12,2021-06-13,2113.33
863,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-03-04,209.92
867,TH TOALLITAS HUMEDAS PREMIUM 184x8,2019-10-13,1.25
875,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2021-02-05,30.17
876,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-03-25,2301.0
878,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2019-11-03,1766.83
879,PH ELITE DUO  DH 6 x 8  25 METROS,2021-01-21,12982.25
882,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2019-12-04,1619.93
888,SE ELITE CORTADA 1000 X 12,2019-12-02,46.92
891,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-02-03,2629.0
895,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2019-11-07,1360.0
899,PH NOBLE DH 2 X 10,2020-04-05,3494.0
905,RC NOVA DH MEGAROLLO  1 X 12,2019-10-24,14476.9
906,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-05-17,11.0
908,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-04-05,41.0
915,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2019-10-25,174.0
930, PH ELITE PLUS DH VERTICAL 6 X 8,2020-03-14,1866.0
936,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-05-19,124.13
941,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-05-16,142.69
942,PH ELITE DUO  DH 6 x 8  25 METROS,2020-04-04,27340.31
945,PH ELITE PLUS DH 24 X 2,2020-09-07,1525.0
946,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-12-23,633.75
947,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2021-03-29,19.67
950,PH ELITE  DH 4 X 12 LA,2020-02-17,17674.83
962,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-03-12,1501.0
963,RC NOVA DH MEGAROLLO  2 X 6,2020-10-23,2590.5
964,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2019-11-04,948.5
966,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-02-25,1944.5
967,PH ELITE DUO  DH 4x12 25 METROS,2019-11-24,14.25
968,PH HIGIENOL DH 4x6 40 METROS,2020-10-28,7725.96
971,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-12-25,1.0
974,SE ELITE CORTADA 1000 X 12,2020-03-11,294.93
977,PH ELITE DH 6 X 8 LA,2021-03-19,4143.38
979,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-09-27,0.67
982,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-03-13,2975.44
984,PH NOBLE DH 24 X 2,2020-12-18,3423.5
986,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-03-30,186.32
989,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-02-02,18.1
992,PH HIGIENOL DH  4 X 12,2020-12-25,32.0
994,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2019-09-24,4.67
995,PH NOBLE DH 24 X 2,2019-10-24,3377.0
999,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-03-30,592.35
1000,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2021-05-23,64.5
1003,RC NOVA DH MEGAROLLO  1 X 12,2020-02-01,11895.74
1005,SE ELITE CORTADA 1000 X 12,2021-05-06,107.83
1012,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-01-14,66.5
1013,RC NOVA DH MEGAROLLO  2 X 6,2019-10-20,35.84
1014,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2021-02-10,10937.06
1016,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2019-12-22,12.0
1018,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2019-11-26,516.88
1019,PH NOBLE DH 24 X 2,2019-10-30,3595.0
1021,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-10-09,284.43
1025,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-02-10,351.5
1026,PH ELITE CLÁSICO DH 2 X 10 CO,2020-01-22,12027.4
1031, PH ELITE PLUS DH VERTICAL 6 X 8,2020-01-05,121.0
1034,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-03-02,792.0
1037,PH ELITE  DH 4 X 12 LA,2020-09-27,450.33
1041,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2019-12-05,14.0
1043,PH ELITE DH 2 X 10 LA,2019-10-19,41022.2
1051,PH ELITE PLUS DH 24 X 2,2020-01-05,42.0
1054,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-04-28,3442.43
1055,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-06-26,1247.0
1061,PH NOBLE DH 24 X 2,2021-05-13,2502.5
1074,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2021-04-26,280.17
1075,PH ELITE DH 2 X 10 LA,2020-12-07,64348.04
1077,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2019-10-02,1829.5
1081,PH ELITE DH 24 X 2 LA,2020-07-20,13441.0
1084,PH HIGIENOL DH  4 X 12,2019-12-16,11420.88
1089,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-07-16,15.0
1090,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-10-20,713.36
1091,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-05-23,46.5
1092,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-01-30,38.3
1093,RC NOVA DH MEGAROLLO  1 X 12,2020-09-17,52215.26
1096,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-08-28,1919.0
1097,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2021-02-06,7645.91
1098,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-12-30,2926.5
1101,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-10-01,128.5
1109,PH ELITE DUO  DH 6 x 8  25 METROS,2020-06-12,14246.5
1112,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-08-21,6938.5
1118,PH ELITE DUO  DH 6 x 8  25 METROS,2020-10-13,11292.06
1119,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2019-10-18,14.5
1124,PH ELITE PLUS DH 24 X 2,2020-10-23,2448.5
1125,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-04-07,1.67
1134,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-11-24,247.47
1135, PH ELITE PLUS DH VERTICAL 6 X 8,2020-01-28,2742.49
1144,PH ELITE  DH 4 X 12 LA,2021-04-07,11570.91
1145,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-01-10,2502.5
1148,PH ELITE CLÁSICO DH 2 X 10 CO,2020-10-17,1792.0
1150,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-02-09,1514.5
1154,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2021-06-26,48.8
1158,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-08-02,56.0
1159,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2021-01-23,113.63
1161,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-02-26,2456.71
1162,RC NOVA DH MEGAROLLO  2 X 6,2021-05-03,3362.34
1168,RC NOVA DH MEGAROLLO  1 X 12,2021-03-28,1093.58
1169,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-02-13,30.5
1172,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-07-12,74.75
1174,SE ELITE CORTADA 1000 X 12,2020-09-19,69.25
1178,PH ELITE DH 2 X 10 LA,2020-05-29,62343.8
1179,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-09-12,64.52
1180,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2019-12-20,1297.5
1186,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2019-10-06,5.33
1187,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-07-17,43.4
1190,PH NOBLE DH 2 X 10,2019-12-27,216635.1
1195,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-10-25,0.88
1203,PH ELITE DH 6 X 8 LA,2020-01-29,12967.75
1204,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2021-02-28,255.0
