,Marca,Fecha,Cantidad
183,037 Cotidian,2020-08-31,1815.66
184,008 Babysec,2020-05-13,45665.56
185,037 Cotidian,2021-03-05,374.77
186,001 Elite,2020-01-05,8000.5
187,003 Noble,2021-03-16,166866.72
188,006 Nova,2021-03-12,71310.5
189,012 Higienol,2021-06-16,14312.44
190,038 Ok Pet,2020-07-16,9.83
191,006 Nova,2020-07-23,47857.92
192,001 Elite,2020-07-09,149067.6
193,036 Ladysoft,2019-11-25,3963.51
194,003 Noble,2020-09-11,141675.21
195,038 Ok Pet,2020-07-10,1.33
196,003 Noble,2021-03-19,136655.67
197,006 Nova,2020-01-19,528.71
198,037 Cotidian,2021-03-02,970.54
199,008 Babysec,2019-11-09,35652.39
200,012 Higienol,2019-10-21,21567.38
201,037 Cotidian,2020-08-28,1443.11
202,037 Cotidian,2020-05-01,420.5
203,008 Babysec,2020-01-12,1079.16
204,006 Nova,2020-05-23,30493.38
205,036 Ladysoft,2021-01-25,4461.35
206,001 Elite,2021-05-04,106728.5
207,037 Cotidian,2020-11-03,945.79
208,038 Ok Pet,2021-03-08,17.67
209,008 Babysec,2021-03-02,27501.22
210,003 Noble,2020-09-17,145097.19
211,012 Higienol,2021-06-19,13512.76
212,036 Ladysoft,2020-07-23,4822.32
213,006 Nova,2019-11-19,26543.2
214,001 Elite,2020-03-09,210289.05
215,003 Noble,2021-05-10,136159.21
216,006 Nova,2020-05-17,785.0
217,037 Cotidian,2021-05-05,976.65
218,037 Cotidian,2020-10-31,2601.51
219,036 Ladysoft,2019-12-01,35.75
220,012 Higienol,2020-12-18,17897.73
221,001 Elite,2020-09-11,131435.18
222,012 Higienol,2020-06-15,14205.07
223,037 Cotidian,2019-09-09,765.11
224,036 Ladysoft,2021-01-22,4858.55
225,003 Noble,2019-09-14,137753.23
226,003 Noble,2020-03-18,179626.93
227,001 Elite,2019-09-08,4990.15
228,003 Noble,2020-09-20,2797.94
229,001 Elite,2021-05-01,632.0
230,006 Nova,2019-11-16,17860.25
231,008 Babysec,2021-03-05,35123.43
232,037 Cotidian,2020-10-28,855.19
233,012 Higienol,2020-12-15,14756.09
234,001 Elite,2020-03-12,318867.48
235,038 Ok Pet,2021-03-05,3.72
236,006 Nova,2020-05-20,37974.82
237,036 Ladysoft,2019-12-04,3215.6
238,008 Babysec,2020-01-09,51202.4
239,003 Noble,2020-03-15,8553.2
240,012 Higienol,2020-06-12,20056.46
241,006 Nova,2020-11-22,858.83
242,003 Noble,2020-03-21,219740.99
243,001 Elite,2020-09-02,148680.7
244,012 Higienol,2021-02-08,15836.38
245,037 Cotidian,2019-09-06,1397.88
246,038 Ok Pet,2020-09-09,1.0
247,012 Higienol,2019-12-18,19171.03
248,037 Cotidian,2020-03-10,888.27
249,036 Ladysoft,2020-08-01,3860.68
250,006 Nova,2019-11-25,22484.8
251,003 Noble,2021-05-13,145248.64
252,008 Babysec,2021-01-09,50205.11
253,008 Babysec,2020-07-10,36579.17
254,036 Ladysoft,2020-07-29,3423.5
255,036 Ladysoft,2020-01-25,5456.28
256,008 Babysec,2020-02-06,36548.75
257,036 Ladysoft,2020-09-03,6494.16
258,001 Elite,2020-04-09,19102.81
259,036 Ladysoft,2020-03-01,21.41
260,003 Noble,2019-11-21,182230.3
261,008 Babysec,2021-03-30,44164.76
262,001 Elite,2020-04-03,191584.13
263,003 Noble,2020-05-22,143391.11
264,006 Nova,2020-04-25,38655.05
265,038 Ok Pet,2021-05-15,0.97
266,012 Higienol,2020-08-19,16686.02
267,006 Nova,2021-06-17,56872.45
268,006 Nova,2019-10-22,19829.13
269,037 Cotidian,2019-10-30,909.72
270,012 Higienol,2021-02-21,40.83
271,038 Ok Pet,2020-11-10,9.33
272,036 Ladysoft,2021-04-26,4566.1
273,037 Cotidian,2019-10-27,22.79
274,006 Nova,2021-06-14,57339.86
275,008 Babysec,2020-02-09,162.33
276,012 Higienol,2020-08-22,10894.71
277,001 Elite,2020-04-06,168681.95
278,008 Babysec,2020-02-03,32603.66
279,008 Babysec,2020-08-07,53338.95
280,003 Noble,2019-11-18,206942.03
281,037 Cotidian,2020-04-30,1291.12
282,036 Ladysoft,2020-03-04,6171.73
283,012 Higienol,2020-02-18,20077.89
284,006 Nova,2020-10-25,1632.25
285,037 Cotidian,2021-06-22,99.33
286,006 Nova,2020-04-22,36656.99
287,038 Ok Pet,2021-05-12,15.5
288,008 Babysec,2021-03-27,40222.32
289,001 Elite,2020-10-06,125312.38
290,006 Nova,2020-04-28,31087.79
291,003 Noble,2020-05-25,210574.42
292,001 Elite,2021-05-29,82933.32
293,001 Elite,2019-10-03,199348.14
294,038 Ok Pet,2020-11-07,24.58
295,012 Higienol,2020-02-21,15723.25
296,036 Ladysoft,2021-04-29,5374.89
297,037 Cotidian,2020-04-27,1075.69
298,001 Elite,2020-10-03,99614.34
299,012 Higienol,2020-08-25,11224.92
300,036 Ladysoft,2020-10-25,206.3
301,003 Noble,2019-11-27,200880.6
302,008 Babysec,2020-01-31,44047.23
303,001 Elite,2020-03-31,306599.22
304,006 Nova,2020-12-16,125960.65
305,003 Noble,2021-01-12,238010.51
306,008 Babysec,2020-08-01,31547.49
307,037 Cotidian,2020-10-27,1027.96
308,008 Babysec,2021-02-03,32778.63
309,036 Ladysoft,2021-05-02,2.38
310,012 Higienol,2021-04-17,14903.3
311,036 Ladysoft,2019-09-06,4733.62
312,003 Noble,2021-01-18,255664.04
313,001 Elite,2021-04-07,138210.46
314,037 Cotidian,2021-05-01,12.13
315,001 Elite,2021-04-04,6013.66
316,006 Nova,2019-10-28,20282.61
317,038 Ok Pet,2020-11-16,12.63
318,012 Higienol,2020-02-24,15567.61
319,001 Elite,2020-09-30,223323.96
320,038 Ok Pet,2020-05-14,1.0
321,037 Cotidian,2020-11-02,478.93
322,006 Nova,2020-12-19,99156.11
323,036 Ladysoft,2020-10-28,5336.99
324,003 Noble,2019-11-24,2804.27
325,036 Ladysoft,2020-03-07,5378.39
326,008 Babysec,2020-08-04,39650.18
327,006 Nova,2021-06-20,1719.75
328,037 Cotidian,2020-10-30,1189.86
329,036 Ladysoft,2019-09-03,2964.77
330,006 Nova,2019-10-31,37545.57
331,012 Higienol,2021-04-14,11892.67
332,038 Ok Pet,2020-11-13,67.66
333,003 Noble,2021-01-15,168706.2
334,006 Nova,2019-10-25,22695.81
335,008 Babysec,2021-05-27,49099.84
336,012 Higienol,2020-10-16,12879.77
337,012 Higienol,2021-04-20,19940.88
338,036 Ladysoft,2020-05-01,1600.94
339,003 Noble,2020-07-16,218296.34
340,006 Nova,2020-10-16,39506.91
341,003 Noble,2020-07-22,249271.13
342,008 Babysec,2020-10-07,49153.28
343,003 Noble,2020-01-18,173916.0
344,001 Elite,2020-12-03,127765.94
345,036 Ladysoft,2020-11-03,4287.9
346,006 Nova,2020-02-27,24254.75
347,037 Cotidian,2020-06-27,739.69
348,036 Ladysoft,2020-04-28,5273.2
349,008 Babysec,2020-04-01,31325.19
350,006 Nova,2021-04-17,51302.23
351,012 Higienol,2021-04-23,12375.98
352,003 Noble,2020-07-19,2811.0
353,001 Elite,2020-12-06,3159.17
354,003 Noble,2021-01-21,173284.71
355,001 Elite,2020-06-03,244989.37
356,008 Babysec,2020-10-04,678.24
357,037 Cotidian,2020-12-30,1497.78
358,006 Nova,2020-02-24,28663.86
359,038 Ok Pet,2020-05-20,0.96
360,036 Ladysoft,2020-10-31,9240.32
361,012 Higienol,2020-10-19,11647.39
362,008 Babysec,2019-10-01,21945.65
363,037 Cotidian,2020-06-30,1341.97
364,008 Babysec,2020-04-04,34287.48
365,038 Ok Pet,2021-01-07,11.58
366,037 Cotidian,2019-12-27,718.19
367,006 Nova,2021-04-20,48038.75
368,036 Ladysoft,2019-09-09,3631.09
369,001 Elite,2019-10-06,4922.74
370,036 Ladysoft,2020-05-07,7092.82
371,008 Babysec,2021-04-05,36410.35
372,037 Cotidian,2020-06-24,903.27
373,003 Noble,2021-03-17,169258.74
374,012 Higienol,2020-10-22,14760.42
375,006 Nova,2020-10-22,42102.15
376,038 Ok Pet,2020-07-11,5.42
377,006 Nova,2020-04-19,5625.0
378,001 Elite,2020-11-27,118396.18
379,008 Babysec,2020-10-01,19870.5
380,037 Cotidian,2020-12-27,27.13
381,003 Noble,2020-01-21,186194.07
382,001 Elite,2021-06-01,58989.31
383,012 Higienol,2020-04-19,300.0
384,037 Cotidian,2021-03-08,702.75
385,012 Higienol,2020-12-03,12034.23
386,008 Babysec,2020-05-16,51159.98
387,012 Higienol,2021-06-07,10260.11
388,001 Elite,2020-07-18,104470.0
389,003 Noble,2020-09-02,204810.94
390,003 Noble,2020-09-08,207258.87
391,036 Ladysoft,2019-11-16,4451.63
392,038 Ok Pet,2020-07-04,4.17
393,001 Elite,2021-01-20,160064.19
394,006 Nova,2020-01-10,24267.43
395,037 Cotidian,2020-01-18,1370.53
396,036 Ladysoft,2019-11-22,3528.33
397,036 Ladysoft,2021-01-10,422.56
398,012 Higienol,2019-10-12,17818.7
399,008 Babysec,2020-05-22,37087.4
400,006 Nova,2021-03-03,50207.03
401,037 Cotidian,2021-03-11,958.06
402,012 Higienol,2020-11-30,16308.51
403,006 Nova,2021-03-06,51185.37
404,001 Elite,2020-07-15,139209.52
405,001 Elite,2020-07-21,168920.57
406,003 Noble,2020-09-05,177698.71
407,003 Noble,2020-03-03,154519.87
408,006 Nova,2020-01-13,23868.3
409,008 Babysec,2020-11-21,39915.14
410,036 Ladysoft,2019-11-19,4187.48
411,037 Cotidian,2020-01-21,640.19
412,008 Babysec,2020-05-19,42083.25
413,012 Higienol,2019-10-09,17842.14
414,012 Higienol,2021-06-04,11958.58
415,001 Elite,2020-01-17,227121.51
416,008 Babysec,2019-11-15,35183.22
417,003 Noble,2021-03-07,1519.0
418,001 Elite,2019-11-23,170801.32
419,008 Babysec,2020-11-18,52903.27
420,003 Noble,2021-04-28,170117.97
421,006 Nova,2021-03-09,58062.05
422,036 Ladysoft,2020-07-11,4077.26
423,008 Babysec,2020-11-12,69408.97
424,006 Nova,2020-09-04,50930.04
425,001 Elite,2021-01-14,165875.56
426,003 Noble,2020-03-06,167854.92
427,037 Cotidian,2020-01-15,797.81
428,001 Elite,2021-01-11,152154.84
429,038 Ok Pet,2021-03-02,4.54
430,003 Noble,2020-03-12,261663.92
431,012 Higienol,2020-06-03,15061.45
432,012 Higienol,2020-06-09,14888.93
433,008 Babysec,2019-09-24,45946.41
434,037 Cotidian,2020-07-19,5.0
435,038 Ok Pet,2021-02-24,2.67
436,008 Babysec,2021-05-20,38761.91
437,036 Ladysoft,2021-01-16,4397.78
438,001 Elite,2019-11-26,205955.74
439,006 Nova,2020-09-01,42206.49
440,037 Cotidian,2020-07-16,959.17
441,003 Noble,2021-05-01,1707.67
442,036 Ladysoft,2020-07-14,3781.94
443,001 Elite,2021-01-17,1682.01
444,037 Cotidian,2020-01-12,24.38
445,008 Babysec,2020-11-15,741.98
446,012 Higienol,2020-12-06,970.33
447,006 Nova,2020-09-07,43341.16
448,003 Noble,2020-03-09,198076.63
449,038 Ok Pet,2020-08-25,11.89
450,038 Ok Pet,2021-02-27,7.46
451,012 Higienol,2020-06-06,14537.83
452,003 Noble,2019-09-05,228978.1
453,012 Higienol,2019-12-03,19129.27
454,036 Ladysoft,2021-01-13,5172.27
455,012 Higienol,2019-12-12,17389.57
456,037 Cotidian,2020-03-16,498.15
457,036 Ladysoft,2020-07-17,3865.26
458,038 Ok Pet,2020-09-03,17.41
459,036 Ladysoft,2020-01-13,5293.44
460,006 Nova,2019-11-13,25078.33
461,003 Noble,2020-10-30,465454.14
462,037 Cotidian,2020-09-18,561.64
463,003 Noble,2020-11-02,122843.08
464,038 Ok Pet,2020-08-28,2.94
465,012 Higienol,2021-01-30,32874.32
466,006 Nova,2021-01-07,79404.66
467,036 Ladysoft,2020-01-19,121.24
468,006 Nova,2020-07-05,2480.54
469,008 Babysec,2021-01-18,41221.13
470,001 Elite,2021-03-22,127378.34
471,001 Elite,2020-01-26,6497.98
472,037 Cotidian,2021-05-11,1226.81
473,012 Higienol,2019-12-06,15224.19
474,037 Cotidian,2019-09-15,7.79
475,003 Noble,2021-05-04,195308.72
476,003 Noble,2019-09-08,5140.0
477,008 Babysec,2020-07-16,40604.18
478,001 Elite,2020-09-17,129197.3
479,036 Ladysoft,2021-03-09,4374.01
480,038 Ok Pet,2020-02-27,2.92
481,037 Cotidian,2020-03-19,427.87
482,038 Ok Pet,2020-08-31,9.56
483,036 Ladysoft,2020-07-20,4361.13
484,036 Ladysoft,2020-01-16,4359.36
485,012 Higienol,2021-01-27,11542.28
486,001 Elite,2020-09-14,170589.67
487,008 Babysec,2020-07-13,38019.71
488,003 Noble,2021-05-07,196776.04
489,037 Cotidian,2021-05-08,1863.66
490,001 Elite,2021-03-19,90273.08
491,008 Babysec,2021-01-21,42514.39
492,006 Nova,2021-01-04,32521.57
493,037 Cotidian,2019-09-12,682.3
494,012 Higienol,2019-12-09,14691.99
495,008 Babysec,2020-07-19,510.38
496,003 Noble,2019-09-11,201045.98
497,001 Elite,2021-03-13,91612.41
498,003 Noble,2020-05-06,211786.41
499,036 Ladysoft,2021-03-12,5213.62
500,038 Ok Pet,2021-04-23,16.08
501,003 Noble,2020-11-08,2279.13
502,006 Nova,2020-01-04,19487.43
503,038 Ok Pet,2021-04-29,7.57
504,001 Elite,2020-01-20,215125.36
505,037 Cotidian,2020-09-12,610.73
506,037 Cotidian,2021-03-17,596.71
507,036 Ladysoft,2021-03-18,4830.65
508,008 Babysec,2019-11-24,794.07
509,038 Ok Pet,2020-03-04,0.38
510,001 Elite,2020-07-24,168182.55
511,012 Higienol,2020-08-03,17359.34
512,037 Cotidian,2020-04-10,2.0
513,008 Babysec,2021-05-29,39318.16
514,012 Higienol,2019-11-21,19843.98
515,006 Nova,2020-08-29,44652.24
516,036 Ladysoft,2020-10-19,4391.9
517,008 Babysec,2020-11-24,44232.64
518,038 Ok Pet,2020-11-30,24.17
519,036 Ladysoft,2020-04-16,5191.86
520,001 Elite,2020-10-12,115420.18
521,012 Higienol,2020-05-25,15944.71
522,006 Nova,2020-02-25,24958.9
523,008 Babysec,2019-09-30,76073.65
524,001 Elite,2020-10-09,106795.09
525,038 Ok Pet,2021-06-04,1.17
526,003 Noble,2020-06-14,1099.0
527,001 Elite,2021-04-13,108126.79
528,036 Ladysoft,2021-04-20,4105.52
529,012 Higienol,2019-11-24,677.33
530,008 Babysec,2019-10-06,379.92
531,003 Noble,2019-12-11,233566.17
532,037 Cotidian,2020-10-13,579.78
533,008 Babysec,2021-05-26,49329.66
534,006 Nova,2020-02-22,23022.56
535,036 Ladysoft,2020-10-16,4568.98
536,006 Nova,2020-08-26,45153.12
537,037 Cotidian,2020-04-13,659.32
538,037 Cotidian,2021-06-05,723.14
539,001 Elite,2020-02-20,182601.43
540,008 Babysec,2021-06-01,20091.56
541,012 Higienol,2020-05-28,19962.37
542,037 Cotidian,2019-10-10,953.68
543,001 Elite,2021-04-16,104709.84
544,038 Ok Pet,2020-11-27,23.41
545,003 Noble,2020-06-11,220919.81
546,012 Higienol,2019-11-27,20622.45
547,003 Noble,2019-12-08,2292.53
548,037 Cotidian,2021-06-02,966.06
549,036 Ladysoft,2020-10-13,5211.48
550,038 Ok Pet,2021-06-01,24.29
551,008 Babysec,2019-10-03,32044.08
552,036 Ladysoft,2021-04-23,4030.2
553,006 Nova,2021-02-28,22814.33
554,012 Higienol,2021-01-18,10925.63
555,036 Ladysoft,2021-06-14,3853.03
556,006 Nova,2021-04-24,59347.57
557,038 Ok Pet,2020-06-03,0.33
558,008 Babysec,2021-05-23,1690.02
559,008 Babysec,2020-03-31,46430.98
560,012 Higienol,2021-01-24,205.08
561,001 Elite,2020-08-18,161071.9
562,006 Nova,2020-03-02,21055.55
563,008 Babysec,2020-10-03,29917.01
564,001 Elite,2020-02-14,213545.64
565,012 Higienol,2019-11-30,20654.63
566,036 Ladysoft,2020-04-22,5199.87
567,037 Cotidian,2021-04-11,0.75
568,037 Cotidian,2020-10-07,1098.77
569,003 Noble,2021-02-01,165918.97
570,008 Babysec,2020-04-03,35380.46
571,036 Ladysoft,2019-10-19,3913.65
572,006 Nova,2021-04-21,51352.46
573,037 Cotidian,2020-04-07,715.66
574,036 Ladysoft,2020-10-22,4170.58
575,008 Babysec,2020-03-28,29112.81
576,038 Ok Pet,2020-12-03,26.33
577,003 Noble,2020-08-05,206965.95
578,006 Nova,2020-02-28,28533.09
579,012 Higienol,2020-07-19,115.5
580,003 Noble,2021-02-07,3986.93
581,012 Higienol,2021-01-21,11411.18
582,036 Ladysoft,2020-04-19,6.0
583,003 Noble,2021-02-04,163100.8
584,001 Elite,2020-02-17,181784.57
585,001 Elite,2021-04-10,94457.55
586,037 Cotidian,2020-10-10,778.12
587,008 Babysec,2019-09-27,41691.93
588,003 Noble,2019-12-14,230157.72
589,038 Ok Pet,2021-01-27,0.17
590,001 Elite,2020-12-09,129631.68
591,008 Babysec,2019-11-27,45974.3
592,003 Noble,2020-08-08,159966.8
593,037 Cotidian,2019-12-07,761.84
594,003 Noble,2021-02-10,123867.59
595,008 Babysec,2019-12-03,33011.84
596,037 Cotidian,2020-06-10,1316.91
597,001 Elite,2021-06-13,3446.6
598,036 Ladysoft,2020-12-16,4490.0
599,001 Elite,2019-10-18,205175.69
600,012 Higienol,2020-07-22,7969.64
601,012 Higienol,2020-07-28,3354.83
602,037 Cotidian,2020-12-13,26.58
603,036 Ladysoft,2021-06-20,198.21
604,006 Nova,2019-12-26,20843.12
605,006 Nova,2020-06-29,22841.04
606,036 Ladysoft,2019-10-25,3493.01
607,008 Babysec,2020-06-03,29828.76
608,001 Elite,2020-04-21,188741.28
609,003 Noble,2020-02-04,159849.53
610,003 Noble,2020-08-11,200542.95
611,038 Ok Pet,2020-06-06,0.67
612,008 Babysec,2019-11-30,61857.56
613,001 Elite,2021-06-10,117716.16
614,036 Ladysoft,2020-12-13,597.96
615,006 Nova,2020-07-02,44272.8
616,036 Ladysoft,2020-04-25,7462.52
617,006 Nova,2019-12-29,6413.79
618,012 Higienol,2020-07-25,13795.74
619,036 Ladysoft,2021-06-17,5180.42
620,037 Cotidian,2020-12-10,919.94
621,001 Elite,2020-04-18,152831.11
622,036 Ladysoft,2019-10-22,3958.31
623,001 Elite,2019-10-15,219394.29
624,003 Noble,2020-02-07,209692.13
625,012 Higienol,2020-01-21,18873.06
626,001 Elite,2020-04-15,264685.41
627,012 Higienol,2020-01-27,17058.67
628,003 Noble,2021-04-03,54462.09
629,001 Elite,2020-10-18,1798.86
630,037 Cotidian,2021-06-08,1031.05
631,036 Ladysoft,2020-06-16,5135.45
632,037 Cotidian,2020-04-16,708.59
633,001 Elite,2021-06-07,80927.8
634,037 Cotidian,2019-10-13,1.17
635,012 Higienol,2021-03-17,12416.17
636,036 Ladysoft,2020-12-19,4596.24
637,008 Babysec,2020-11-30,91899.76
638,038 Ok Pet,2020-07-31,6.33
639,006 Nova,2021-02-25,60136.96
640,038 Ok Pet,2020-10-21,20.44
641,037 Cotidian,2019-11-22,1382.74
642,037 Cotidian,2019-11-16,712.74
643,003 Noble,2020-05-02,125557.87
644,006 Nova,2020-04-05,540.0
645,003 Noble,2020-11-04,143250.41
646,008 Babysec,2021-04-19,25837.04
647,006 Nova,2019-10-02,16992.85
648,001 Elite,2021-06-15,105111.08
649,006 Nova,2020-10-05,51727.85
650,036 Ladysoft,2020-02-10,4739.42
651,012 Higienol,2021-02-01,15989.0
652,038 Ok Pet,2021-04-22,5.71
653,006 Nova,2021-05-28,78890.84
654,006 Nova,2020-04-02,24787.69
655,036 Ladysoft,2020-08-14,5990.48
656,012 Higienol,2020-07-30,21845.5
657,008 Babysec,2020-02-26,40221.62
658,001 Elite,2020-04-29,185621.93
659,037 Cotidian,2020-05-23,533.65
660,003 Noble,2019-10-29,248759.95
661,001 Elite,2020-04-23,178074.47
662,037 Cotidian,2019-11-19,606.03
663,038 Ok Pet,2020-02-29,0.83
664,003 Noble,2020-05-05,213495.51
665,001 Elite,2021-06-18,107732.5
666,008 Babysec,2021-04-16,28867.44
