,SKU,Fecha,Soles
187,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-07-14,51196.41
188,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2021-01-14,280290.66
194,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2019-11-23,76962.03
196,PH ELITE DUO  DH 4x12 25 METROS,2020-08-19,279876.04
197,PH HIGIENOL DH  4 X 12,2019-11-23,232560.45
207,PH HIGIENOL DH 4x6 40 METROS,2020-10-05,215621.12
209,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2019-12-17,51124.71
212,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2019-12-13,3605.57
218,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-06-12,52085.53
220,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2019-09-25,138.92
226,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-09-10,61253.45
231,PH ELITE  DH 4 X 12 LA,2019-12-10,594340.97
238,PH ELITE DH 24 X 2 LA,2020-10-05,309238.56
239,PH ELITE DH 2 X 10 LA,2020-01-27,835678.01
240,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-04-21,176939.49
243,PH ELITE PLUS DH 24 X 2,2020-03-22,33.9
248, PH ELITE PLUS DH VERTICAL 6 X 8,2019-09-27,28136.68
250,PH NOBLE DH 2 X 10,2019-12-04,1227396.83
252,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-03-28,394036.01
262,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2019-09-10,160644.84
270,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-04-18,90705.32
272,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-03-07,4760.65
276,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2021-04-20,157855.64
277,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-04-11,9354.36
280,PH HIGIENOL DH  4 X 12,2021-04-27,71376.39
282, PH ELITE PLUS DH VERTICAL 6 X 8,2020-11-15,27.05
286,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2021-04-15,6250.0
287,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-03-13,84947.63
288,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-11-17,3706.11
297,PH ELITE CLÁSICO DH 2 X 10 CO,2020-05-01,10349.2
299,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-07-08,2849.95
303,PH ELITE DUO  DH 6 x 8  25 METROS,2021-03-31,740680.31
311,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-03-08,343.87
315,SE ELITE CORTADA 1000 X 12,2020-11-18,4654.82
317,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2019-10-11,653.77
319,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-04-11,6329.09
321,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2021-05-23,7728.19
326,PH ELITE DUO  DH 6 x 8  25 METROS,2020-10-13,387495.86
328,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2019-10-18,1016.05
333,PH ELITE PLUS DH 24 X 2,2020-10-23,74675.61
336,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-04-07,140.25
343,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-11-24,12988.13
344, PH ELITE PLUS DH VERTICAL 6 X 8,2020-01-28,71302.22
352,PH ELITE  DH 4 X 12 LA,2021-04-07,318569.23
353,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-01-10,148412.64
355,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-02-09,50315.31
358,PH ELITE CLÁSICO DH 2 X 10 CO,2020-10-17,21109.51
365,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2021-06-26,4124.03
367,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2021-01-23,10163.38
368,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-08-02,4078.48
369,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-02-26,37195.35
370,RC NOVA DH MEGAROLLO  2 X 6,2021-05-03,60434.13
377,RC NOVA DH MEGAROLLO  1 X 12,2021-03-28,20789.19
379,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-02-13,2874.55
381,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-07-12,2773.12
383,SE ELITE CORTADA 1000 X 12,2020-09-19,3890.06
386,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-09-12,4762.81
389,PH ELITE DH 2 X 10 LA,2020-05-29,906341.21
390,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2019-12-20,77790.68
395,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2019-10-06,347.6
396,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-07-17,1492.18
400,PH NOBLE DH 2 X 10,2019-12-27,2290994.68
402,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-10-25,88.98
412,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2021-02-28,13574.62
413,PH ELITE DH 6 X 8 LA,2020-01-29,370864.81
415,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2019-10-03,174128.16
420,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-09-30,281416.98
421,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2021-03-22,395718.96
429,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2019-09-10,157375.43
440,PH HIGIENOL DH 4x6 40 METROS,2020-06-04,147320.33
441,PH ELITE DUO  DH 6 x 8  25 METROS,2020-08-28,357334.44
445,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2019-09-02,1117.78
446,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-08-18,43085.18
447,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2019-10-22,2008.22
449,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2019-10-18,161910.48
450,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-07-20,164865.47
455,PH ELITE PLUS DH 24 X 2,2020-04-14,109990.4
472,PH ELITE DH 6 X 8 LA,2020-10-24,143109.15
473,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2019-12-22,388.64
475,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2021-06-05,20761.81
479,PH ELITE DUO  DH 4x12 25 METROS,2019-10-09,282726.52
484,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-03-09,20671.68
487,SE ELITE CORTADA 1000 X 12,2019-10-17,17900.93
489,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-05-04,593.92
492,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-08-06,86303.06
494,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-09-22,254.5
496,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2019-12-15,149.59
497,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-10-21,668.23
498,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-09-21,211419.93
503,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-04-10,198659.5
511,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-02-14,130129.02
512, PH ELITE PLUS DH VERTICAL 6 X 8,2020-10-23,54610.25
514,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2021-03-23,4260.37
516,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-05-18,29803.97
517,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-01-02,4775.48
518,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2021-01-15,3694.5
521,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-04-20,314329.52
530,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-04-16,22030.76
532,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2021-04-10,6914.98
535,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2021-06-11,1685.25
537,PH ELITE  DH 4 X 12 LA,2020-05-27,542331.92
538,PH ELITE CLÁSICO DH 2 X 10 CO,2019-12-30,73878.59
544,PH ELITE DH 24 X 2 LA,2021-03-23,263126.35
545,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-06-13,1477.75
551,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2019-09-29,210.08
557,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-02-09,11760.95
562,PH ELITE DH 2 X 10 LA,2020-02-19,570330.54
563,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-12-07,71661.91
565,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-06-06,153.56
571,PH HIGIENOL DH 4x6 40 METROS,2020-02-25,134031.61
576,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-04-24,46029.32
578,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-06-19,825.68
579,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2021-03-18,5179.1
584,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2021-04-03,1747.02
588,PH ELITE DH 6 X 8 LA,2020-05-08,347946.68
590,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-03-13,290797.42
598,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-09-27,1431.4
599,TH TOALLITAS HUMEDAS PREMIUM 184x8,2021-06-25,19195.02
605,PH NOBLE DH 2 X 10,2021-05-08,387045.41
606,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2020-07-11,13002.84
612,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-07-31,284.6
617,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-01-03,324.86
620,PH ELITE DH 6 X 8 LA,2020-11-16,163097.01
623,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2021-05-08,202150.14
626,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2019-12-14,2887.88
631,PH ELITE DUO  DH 4x12 25 METROS,2021-05-15,325134.85
633,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-11-21,843.29
634,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2021-02-27,2652.05
635,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-06-22,172634.46
636,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-05-06,3924.44
637,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2021-01-17,4321.5
639,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2019-10-17,91297.66
645,PH HIGIENOL DH 4x6 40 METROS,2020-07-20,37308.24
648,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-06-04,122840.37
651,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-05-25,51054.27
653,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-03-12,1747.03
655,PH ELITE  DH 4 X 12 LA,2020-01-02,250833.94
656,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-02-20,19127.22
657, PH ELITE PLUS DH VERTICAL 6 X 8,2019-09-04,35154.66
661,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-05-14,127022.0
662,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-04-27,90732.53
663,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-07-01,11492.5
665,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-11-12,406.9
666,PH ELITE DH 6 X 8 LA,2020-09-08,274009.8
675,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2019-09-28,24360.2
678,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-09-17,57719.75
680,RC NOVA DH MEGAROLLO  2 X 6,2021-03-18,39870.29
681,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-10-03,48251.33
683,PH ELITE DUO  DH 6 x 8  25 METROS,2021-03-08,278902.17
689,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2021-03-24,261332.58
702,PH ELITE PLUS DH 24 X 2,2021-06-03,44628.18
703,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-09-30,3436.0
706, PH ELITE PLUS DH VERTICAL 6 X 8,2021-05-03,39141.35
707,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-03-26,38820.73
712,PH HIGIENOL DH  4 X 12,2021-04-04,1833.53
713,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-04-05,4039.35
714,PH ELITE DH 2 X 10 LA,2021-04-09,427570.04
716,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-03-14,615.77
718,PH NOBLE DH 24 X 2,2020-06-09,62920.5
725,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-08-24,249136.33
727,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-11-16,7567.91
729,PH ELITE DH 24 X 2 LA,2020-10-28,407193.83
730,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-06-24,17734.3
732,PH ELITE DUO  DH 4x12 25 METROS,2020-11-27,144293.65
736,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2021-05-09,62.37
737,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2021-03-23,103244.4
741,RC NOVA DH MEGAROLLO  2 X 6,2020-01-28,14993.08
742,RC NOVA DH MEGAROLLO  1 X 12,2020-08-11,1124084.95
744,SE ELITE CORTADA 1000 X 12,2021-04-30,10928.05
748,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2ND2,2020-01-28,194257.22
754,PH ELITE DH 24 X 2 LA,2021-02-28,4600.25
757,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-05-12,129934.57
759,PH ELITE CLÁSICO DH 2 X 10 CO,2019-12-07,76639.96
760,PH ELITE  DH 4 X 12 LA,2020-05-04,537680.96
769,PH ELITE PLUS DH 24 X 2,2020-05-30,20872.13
770,PH ELITE DH 2 X 10 LA,2020-03-13,1299749.7
776,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-10-07,41213.14
780,RC NOVA DH MEGAROLLO  1 X 12,2021-06-13,48096.06
781,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2021-03-04,12973.16
787,TH TOALLITAS HUMEDAS PREMIUM 184x8,2019-10-13,150.59
790,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2021-02-05,2271.67
794,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-03-25,28917.96
796,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2019-11-03,32306.46
798,PH ELITE DUO  DH 6 x 8  25 METROS,2021-01-21,433601.68
799,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2019-12-04,91358.61
804,SE ELITE CORTADA 1000 X 12,2019-12-02,2688.52
809,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-02-03,142449.86
815,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2019-11-07,83995.55
818,PH NOBLE DH 2 X 10,2020-04-05,43931.48
823,RC NOVA DH MEGAROLLO  1 X 12,2019-10-24,250011.24
824,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-04-05,3124.43
825,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-05-17,633.9
831,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2019-10-25,13245.61
845,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2021-05-05,2381.5
848,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2019-11-17,12.54
849,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2020-04-29,5321.67
851,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2019-12-18,5581.08
853,SE ELITE CORTADA 1000 X 12,2021-01-20,6785.46
855,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-09-27,1089.16
856,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-10-09,56821.49
857,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-11-02,125142.23
860,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2020-08-22,23255.04
863,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-05-20,59689.67
865,PH ELITE DH 24 X 2 LA,2021-04-15,261425.03
868,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-11-20,125778.46
877,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-03-29,1714.07
878,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2019-12-03,119373.66
885,PH ELITE PLUS DH 24 X 2,2019-11-20,146315.22
887,PH ELITE  DH 4 X 12 LA,2020-06-19,568150.35
888,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2019-10-20,3051.95
890,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-05-13,346934.57
891,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-04-30,43601.01
896,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-01-26,30.61
899,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-05-21,41156.71
903,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2019-12-19,181797.21
908,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-01-06,4862.46
916,PH ELITE DUO  DH 4x12 25 METROS,2020-04-18,226395.42
919,PH ELITE CLÁSICO DH 2 X 10 CO,2021-01-25,20001.57
920,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-06-27,3084.11
923,PH HIGIENOL DH 4x6 40 METROS,2021-03-23,279033.58
924,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-12-06,149.58
925,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-01-14,11671.6
927,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-03-18,177285.43
928,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-10-25,77.54
930,PH NOBLE DH 2 X 10,2020-10-14,1297981.73
933,PH ELITE  DH 4 X 12 LA,2021-06-23,231753.75
935,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-12-01,2266.67
938,PH ELITE DUO  DH 6 x 8  25 METROS,2019-12-03,209408.93
939,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-09-09,5244.29
943,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2021-02-12,204083.82
945,PH ELITE DH 6 X 8 LA,2019-10-15,358640.97
946,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-06-22,116722.34
952,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2021-02-02,20834.2
957,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-03-31,51412.42
961,PH ELITE DUO  DH 4x12 25 METROS,2021-04-22,136359.84
962,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-12-14,235.17
970,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2021-03-15,216.95
974,PH ELITE DH 6 X 8 LA,2021-02-01,108070.88
975,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-01-18,44844.83
977,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-10-28,208477.38
979,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-02-07,453.82
984,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-01-11,305461.25
994,PH ELITE PLUS DH 24 X 2,2021-01-31,318.56
997,PH ELITE DUO  DH 6 x 8  25 METROS,2019-11-10,2151.37
1004, PH ELITE PLUS DH VERTICAL 6 X 8,2020-08-07,24065.01
1011,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2021-01-22,101179.34
1018,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-08-01,14177.95
1020,PH ELITE CLÁSICO DH 2 X 10 CO,2021-02-17,22224.65
1022,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2019-09-13,6872.22
1029,RC NOVA DH MEGAROLLO  2 X 6,2020-05-30,48837.08
1031,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-01-07,3694.03
1032,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-06-15,2225.43
1034,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2020-02-22,11022.06
1035,PH HIGIENOL DH 4x6 40 METROS,2021-04-15,213340.61
1039,PH ELITE  DH 4 X 12 LA,2019-09-01,2693.56
1040,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-06-04,2958.57
1042,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-03-24,9099.16
1043,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-07-13,3538.84
1044,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-08-05,146055.6
1047,PH NOBLE DH 2 X 10,2020-09-21,1360796.87
1051,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-12-31,350.76
1052,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2019-09-05,2076.63
1054,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2019-12-04,82088.06
1059,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2020-06-02,41192.44
1063,PH HIGIENOL DH  4 X 12,2020-07-09,201387.11
1064,TH TOALLAS HUMEDAS BABYSEC PREMIUM 80x12,2020-06-22,6227.4
1069,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2021-03-03,2331.59
1079, PH ELITE PLUS DH VERTICAL 6 X 8,2020-03-14,50075.3
1085,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-05-19,5273.34
1087,PH ELITE PLUS DH 24 X 2,2020-09-07,46704.53
1090,PH ELITE DUO  DH 6 x 8  25 METROS,2020-04-04,928332.06
1091,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-05-16,8806.75
1094,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-12-23,43662.47
1095,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2021-03-29,776.51
1098,PH ELITE  DH 4 X 12 LA,2020-02-17,504486.32
1110,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-03-12,88445.37
1111,RC NOVA DH MEGAROLLO  2 X 6,2020-10-23,45860.56
1112,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2019-11-04,58814.35
1114,PH HIGIENOL DH 4x6 40 METROS,2020-10-28,170372.39
1116,PH ELITE DUO  DH 4x12 25 METROS,2019-11-24,454.83
1117,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-02-25,118092.26
1121,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-12-25,34.75
1122,SE ELITE CORTADA 1000 X 12,2020-03-11,16686.37
1123,PH ELITE DH 6 X 8 LA,2021-03-19,118018.36
1127,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-09-27,56.78
1131,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-03-13,149627.23
1133,PH NOBLE DH 24 X 2,2020-12-18,77339.79
1134,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-03-30,11414.04
1137,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2020-02-02,1606.2
