,Distribuidor,Fecha,Soles
335,DIJISA - CHINCHA,2019-09-07,27970.35
336,LA GENOVESA - TACNA,2019-09-07,31990.61
337,LIDER - CHEPEN,2019-09-07,1948.18
339,STA APOLONIA - T,2019-09-07,118624.95
340,AGA - MOYOBAMBA,2019-09-09,22820.41
341,DIJISA - CHINCHA,2019-09-09,20622.93
342,FERROL,2019-09-09,30118.97
344,PANAM,2019-09-09,20991.24
345,PATITA SAC,2019-09-09,76714.31
346,5M DISTRIBUCIONES,2019-09-10,56746.59
347,CHUPACA BUSINESS,2019-09-10,81991.4
348,DIJISA - AYACUCHO,2019-09-10,7233.0
349,MYL_HERMANOS,2019-09-10,202930.09
350,CALLAYUC,2019-09-11,126501.27
351,CORPORACION_VEGA,2019-09-11,37917.1
352,LIDER - TRUJILLO,2019-09-11,6879.69
353,LYG-CD_SAC,2019-09-11,115776.3
355,PANAM,2019-09-11,25286.35
356,DIPSA-ABANCAY,2019-09-12,6982.32
358,ECONOMYSA,2019-09-12,76808.48
359,JRC - ICA,2019-09-12,59615.47
362,VEGA - ESTE,2019-09-12,32792.2
363,ALMACENES_SEVILLANO,2019-09-13,14515.3
364,CALLAYUC,2019-09-13,304552.88
365,CODIJISA - CHIMBOTE,2019-09-13,15516.78
366,CORPORACION_VEGA,2019-09-13,39956.07
367,CURTIS NORTE,2019-09-13,7881.76
368,DISTRIBUIDORA CCM,2019-09-13,520954.57
369,LANCERO - HUANUCO,2019-09-13,3215.64
370,LANCERO - PUCALLPA,2019-09-13,8680.38
371,LIDER - TRUJILLO,2019-09-13,3522.14
372,LYG-CD_SAC,2019-09-13,173413.3
373,ARCANGEL,2019-09-14,99549.21
374,DIPSA-ABANCAY,2019-09-14,4473.02
375,DIPSA-AYACUCHO,2019-09-14,42239.44
376,ECONOMYSA,2019-09-14,102153.87
377,GIANELA,2019-09-14,47082.8
380,RODAMEOS,2019-09-14,58627.89
381,SODALES,2019-09-14,193484.71
382,STA APOLONIA - CH,2019-09-14,84887.59
383,VEGA - ESTE,2019-09-14,50681.67
384,VEGA - SUR,2019-09-14,38219.41
385,ARCANGEL,2019-09-16,113248.96
386,RODAMEOS,2019-09-16,76964.8
387,SAUL,2019-09-16,42638.73
388,CODIFER,2019-09-17,38155.6
389,DICOBELSA - LIMA,2019-09-17,52961.5
390,EDUFARMA MERCADO,2019-09-17,64105.07
391,GUMISA - HUARAZ,2019-09-17,82233.31
392,LAGUI,2019-09-17,119979.66
393,VEGA - CENTRO,2019-09-17,121831.56
394,ZV,2019-09-17,112488.31
396,LANCERO - LA MERCED,2019-09-18,3081.11
397,RICMAN,2019-09-18,65833.61
398,CODIFER,2019-09-19,42805.26
399,CODIJISA - TRUJILLO,2019-09-19,48048.02
400,DICOBELSA - LIMA,2019-09-19,47162.64
401,DIJISA - LIMA,2019-09-19,13799.69
402,DROGUERIA SAN MARTIN,2019-09-19,65655.4
403,LANCERO - TINGO MARIA,2019-09-19,6074.12
404,MARRACHE,2019-09-19,95558.81
406,SAN JUAN,2019-09-19,41988.86
407,TAYMI,2019-09-19,252606.23
408,VEGA - CENTRO,2019-09-19,40579.9
410,CURTIS ESTE,2019-09-20,17930.61
411,DISART,2019-09-20,32550.17
412,EUROVA,2019-09-20,634460.38
413,TAMBOS AQP,2019-09-20,78254.53
414,TAMBOS LIMA,2019-09-20,153568.35
416,DIJISA - LIMA,2019-09-21,18936.85
417,LANCERO - TINGO MARIA,2019-09-21,3114.84
418,SAN JUAN,2019-09-21,40856.75
419,TAYMI,2019-09-21,176558.2
420,CASA GRANDE,2019-09-22,150040.19
421,AGA - TARAPOTO,2019-09-24,31717.38
423,LA GENOVESA - MOQUEGUA,2019-09-24,969.73
425,PATITA SAC,2019-09-24,32165.3
426,STA APOLONIA - T,2019-09-24,142530.34
427,DIJISA - AYACUCHO,2019-09-25,11037.03
428,GRUPO SVS,2019-09-25,116044.48
429,MYG,2019-09-25,7217.71
430,MYL_HERMANOS,2019-09-25,324541.97
432,CURTIS NORTE,2019-09-26,7976.36
433,JRC - NAZCA,2019-09-26,18805.13
434,LIDER - TRUJILLO,2019-09-26,7745.9
435,PATITA SAC,2019-09-26,85371.16
437,GRUPO SVS,2019-09-27,161509.31
439,MOLISAC,2019-09-27,111709.55
440,MYL_HERMANOS,2019-09-27,395398.02
441,SIPAN - Y,2019-09-27,166453.62
442,VEGA - NORTE,2019-09-27,94732.67
443,ALMACENES_SEVILLANO,2019-09-28,51856.75
444,CURTIS NORTE,2019-09-28,7028.13
445,FERROL,2019-09-28,32893.84
446,JRC - NAZCA,2019-09-28,8638.32
447,LANCERO - PUCALLPA,2019-09-28,8315.46
448,LIDER - TRUJILLO,2019-09-28,5180.77
449,TCA SAC,2019-09-28,47821.57
450,ALMACENES_SEVILLANO,2019-09-30,41951.5
452,DYCART,2019-09-30,82045.23
453,LANCERO - PUCALLPA,2019-09-30,18406.69
454,LANCERO - LA MERCED,2019-09-02,887.93
457,CODIFER,2019-09-03,43399.54
459,DICOBELSA - LIMA,2019-09-03,62250.64
460,DIJISA - LIMA,2019-09-03,15146.37
461,EDUFARMA MERCADO,2019-09-03,75116.97
462,LANCERO - TINGO MARIA,2019-09-03,5260.04
463,MELVIN MICHEL AL,2019-09-03,116717.36
465,SAN JUAN,2019-09-03,61754.04
467,TAYMI,2019-09-03,298633.67
468,VEGA - CENTRO,2019-09-03,80243.7
469,ZV,2019-09-03,111229.67
470,CODIJISA - PIURA,2019-09-04,143271.95
471,CURTIS ESTE,2019-09-04,18649.48
473,KONSUMASS,2019-09-04,193798.26
474,STA APOLONIA - T,2019-09-04,111643.62
475,TAMBOS AQP,2019-09-04,34546.11
476,TAMBOS LIMA,2019-09-04,237213.57
477,DIJISA - ICA,2019-09-05,9089.82
478,DROGUERIA SAN MARTIN,2019-09-05,70858.3
480,MARRACHE,2019-09-05,140233.68
481,P&PJ CHINCHA,2019-09-05,125461.09
482,AGA - TARAPOTO,2019-09-06,11924.99
483,CASA GRANDE,2019-09-06,142839.51
484,DISART,2019-09-06,186360.8
485,EUROVA,2019-09-06,558976.41
486,LA GENOVESA - TACNA,2019-09-06,37293.82
487,LIDER - CHEPEN,2019-09-06,11965.85
488,CHUPACA BUSINESS,2019-09-07,52810.97
489,MYG,2019-09-07,11950.97
490,DIJISA - AYACUCHO,2019-09-09,11949.46
491,ESTILOS,2019-09-09,8417.46
492,GRUPO SVS,2019-09-09,167246.51
493,MYL_HERMANOS,2019-09-09,375894.76
494,P&PJ CHINCHA,2019-09-09,160134.01
495,SIPAN - Y,2019-09-09,230459.05
496,CURTIS NORTE,2019-09-10,4540.52
497,LANCERO - PUCALLPA,2019-09-10,22426.63
499,PANAM,2019-09-10,19261.73
500,AGA - JAEN,2019-09-11,27474.45
501,GIANELA,2019-09-11,99682.22
503,MOLISAC,2019-09-11,99091.27
504,STA APOLONIA - CH,2019-09-11,93530.18
505,VEGA - NORTE,2019-09-11,116389.32
506,VEGA - SUR,2019-09-11,27584.93
507,AGA - MOYOBAMBA,2019-09-12,12154.69
508,ALMACENES_SEVILLANO,2019-09-12,6983.3
509,CODIJISA - CHIMBOTE,2019-09-12,36728.9
510,CORPORACION_VEGA,2019-09-12,32403.97
511,FERROL,2019-09-12,37091.25
512,LIDER - TRUJILLO,2019-09-12,5484.78
513,LYG-CD_SAC,2019-09-12,281510.29
514,TCA SAC,2019-09-12,56642.31
515,TEMMY,2019-09-12,41502.32
516,5M DISTRIBUCIONES,2019-09-13,27467.92
517,DIPSA-ABANCAY,2019-09-13,8986.59
520,ECONOMYSA,2019-09-13,96036.47
521,RODAMEOS,2019-09-13,92333.81
522,SODALES,2019-09-13,77336.43
523,VEGA - ESTE,2019-09-13,41636.53
524,CALLAYUC,2019-09-14,197971.06
525,DACIA - LIMA,2019-09-14,25694.88
526,LAGUI,2019-09-14,50964.83
527,CODIJISA - CHIMBOTE,2019-09-16,34466.92
528,DISTRIBUIDORA CCM,2019-09-16,540150.51
529,DYCART,2019-09-16,15360.74
530,GUMISA - HUARAZ,2019-09-16,90600.8
531,LA GENOVESA - ILO,2019-09-16,1143.58
532,LANCERO - HUANUCO,2019-09-16,4391.23
534,RICMAN,2019-09-17,106564.21
535,SAUL,2019-09-17,152933.54
536,URBANO,2019-09-17,56883.79
537,CODIJISA - TRUJILLO,2019-09-18,30317.27
538,DIJISA - HUANCAYO,2019-09-18,9541.68
539,DIPSA-ANDAHUAYLAS,2019-09-18,18634.33
540,EDUSA,2019-09-18,38082.26
541,MARRACHE,2019-09-18,50833.38
542,LANCERO - LA MERCED,2019-09-19,2543.23
545,CODIFER,2019-09-20,38918.43
547,DICOBELSA - LIMA,2019-09-20,53959.36
548,DIJISA - LIMA,2019-09-20,14139.66
549,EDUFARMA MERCADO,2019-09-20,47556.58
550,LANCERO - TINGO MARIA,2019-09-20,4792.97
551,MELVIN MICHEL AL,2019-09-20,288780.92
553,SAN JUAN,2019-09-20,54875.73
555,TAYMI,2019-09-20,228505.34
556,VEGA - CENTRO,2019-09-20,51717.65
557,ZV,2019-09-20,81620.6
558,CODIJISA - PIURA,2019-09-21,165787.95
559,CURTIS ESTE,2019-09-21,18261.54
560,KONSUMASS,2019-09-21,168894.41
561,LA GENOVESA - MOQUEGUA,2019-09-21,1642.91
562,STA APOLONIA - T,2019-09-21,191820.76
563,TAMBOS AQP,2019-09-21,48295.63
564,TAMBOS LIMA,2019-09-21,304412.32
565,AGA - TARAPOTO,2019-09-23,41930.27
566,CASA GRANDE,2019-09-23,361643.06
567,DISART,2019-09-23,50560.38
568,EUROVA,2019-09-23,90669.39
569,LA GENOVESA - TACNA,2019-09-23,13910.18
570,LIDER - CHEPEN,2019-09-23,4553.74
571,CHUPACA BUSINESS,2019-09-24,165547.72
572,MYG,2019-09-24,15797.35
573,VEGA - NORTE,2019-09-24,101197.05
574,AGA - MOYOBAMBA,2019-09-25,11963.52
576,DIJISA - CHINCHA,2019-09-25,16203.29
577,FERROL,2019-09-25,46531.48
578,JRC - NAZCA,2019-09-25,4460.64
579,LA GENOVESA - MOQUEGUA,2019-09-25,5095.05
582,PATITA SAC,2019-09-25,70605.63
583,TCA SAC,2019-09-25,42239.93
584,DIJISA - AYACUCHO,2019-09-26,8176.95
585,ESTILOS,2019-09-26,27050.48
586,GRUPO SVS,2019-09-26,33190.96
587,MYL_HERMANOS,2019-09-26,224185.55
588,SIPAN - Y,2019-09-26,167673.61
589,CURTIS NORTE,2019-09-27,4576.33
590,LANCERO - PUCALLPA,2019-09-27,18273.53
592,PANAM,2019-09-27,42748.68
593,AGA - JAEN,2019-09-28,68580.0
594,GIANELA,2019-09-28,92594.99
595,JRC - ICA,2019-09-28,46069.55
597,MOLISAC,2019-09-28,88287.36
598,STA APOLONIA - CH,2019-09-28,38811.27
599,CORPORACION_VEGA,2019-09-29,40094.78
600,LIDER - TRUJILLO,2019-09-29,112.28
601,5M DISTRIBUCIONES,2019-09-30,38319.71
602,DIPSA-ABANCAY,2019-09-30,4890.2
606,RICMAN,2019-09-02,22396.95
607,DIJISA - ICA,2019-09-03,22355.18
608,DROGUERIA SAN MARTIN,2019-09-03,94298.65
609,MARRACHE,2019-09-03,43525.87
610,AGA - TARAPOTO,2019-09-04,13100.9
611,DISART,2019-09-04,256829.66
612,EUROVA,2019-09-04,409508.31
613,LANCERO - LA MERCED,2019-09-04,2046.54
616,DIJISA - LIMA,2019-09-05,16156.94
617,MYG,2019-09-05,11378.49
618,SAN JUAN,2019-09-05,47858.19
619,TAYMI,2019-09-05,429648.99
621,CODIJISA - PIURA,2019-09-06,152988.92
622,CURTIS ESTE,2019-09-06,16106.31
623,DIJISA - CHINCHA,2019-09-06,18814.57
625,KONSUMASS,2019-09-06,93731.82
626,LA GENOVESA - MOQUEGUA,2019-09-06,328.54
628,STA APOLONIA - T,2019-09-06,181283.53
629,TAMBOS AQP,2019-09-06,150483.02
630,ESTILOS,2019-09-07,17253.81
631,GRUPO SVS,2019-09-07,25482.63
633,MYL_HERMANOS,2019-09-07,355759.31
634,P&PJ CHINCHA,2019-09-07,125357.7
635,SIPAN - Y,2019-09-07,123115.13
636,CHUPACA BUSINESS,2019-09-09,192044.96
637,MOLISAC,2019-09-09,98104.24
638,VEGA - NORTE,2019-09-09,92664.36
639,AGA - MOYOBAMBA,2019-09-10,10261.57
640,ALMACENES_SEVILLANO,2019-09-10,56730.4
641,CORPORACION_VEGA,2019-09-10,37670.43
642,FERROL,2019-09-10,39363.1
643,JRC - NAZCA,2019-09-10,12796.88
644,LIDER - TRUJILLO,2019-09-10,6693.68
646,PATITA SAC,2019-09-10,39747.29
647,TCA SAC,2019-09-10,49137.17
648,TEMMY,2019-09-10,36932.96
649,5M DISTRIBUCIONES,2019-09-11,27374.67
650,DIJISA - AYACUCHO,2019-09-11,10253.27
653,VEGA - ESTE,2019-09-11,69086.59
654,CALLAYUC,2019-09-12,227021.02
655,CURTIS NORTE,2019-09-12,7777.69
656,LANCERO - PUCALLPA,2019-09-12,20465.64
657,AGA - JAEN,2019-09-13,50103.99
658,DIPSA-AYACUCHO,2019-09-13,75067.13
659,GIANELA,2019-09-13,78371.3
660,JRC - ICA,2019-09-13,54938.64
663,STA APOLONIA - CH,2019-09-13,63759.41
664,VEGA - SUR,2019-09-13,29972.29
665,CODIJISA - CHIMBOTE,2019-09-14,47634.69
666,DISTRIBUIDORA CCM,2019-09-14,684845.93
667,DYCART,2019-09-14,12885.62
668,LANCERO - HUANUCO,2019-09-14,2717.43
669,LYG-CD_SAC,2019-09-14,293114.69
670,CODIJISA - TRUJILLO,2019-09-16,35867.65
671,DACIA - LIMA,2019-09-16,25042.93
673,DIJISA - HUANCAYO,2019-09-16,16728.95
674,DIPSA-ANDAHUAYLAS,2019-09-16,104275.14
675,EDUSA,2019-09-16,28475.77
676,LAGUI,2019-09-16,193282.54
677,ARCANGEL,2019-09-17,33279.98
680,CODIFER,2019-09-18,35607.57
681,DICOBELSA - LIMA,2019-09-18,48077.18
682,EDUFARMA MERCADO,2019-09-18,85760.52
683,GUMISA - HUARAZ,2019-09-18,54311.09
684,LA GENOVESA - ILO,2019-09-18,6679.43
685,LANCERO - TINGO MARIA,2019-09-18,6100.5
686,MELVIN MICHEL AL,2019-09-18,238029.08
688,SAN JUAN,2019-09-18,28369.61
