,Marca,Fecha,Soles
65,036 Ladysoft,2020-02-19,185740.84
66,006 Nova,2019-12-30,518136.67
67,001 Elite,2021-06-12,2099829.14
68,038 Ok Pet,2021-05-04,382.28
69,012 Higienol,2021-05-01,2628.63
70,012 Higienol,2020-10-27,320279.1
71,001 Elite,2019-10-17,3884393.66
72,036 Ladysoft,2021-02-25,215798.64
73,001 Elite,2021-06-06,64676.66
74,006 Nova,2020-07-06,800334.85
75,006 Nova,2019-12-27,464338.72
76,038 Ok Pet,2020-09-11,589.69
77,012 Higienol,2020-04-24,391338.9
78,037 Cotidian,2019-11-10,724.7
79,036 Ladysoft,2020-08-23,186.43
80,003 Noble,2020-05-11,2516108.99
81,006 Nova,2020-06-30,1013290.33
82,001 Elite,2019-10-11,4297803.15
83,038 Ok Pet,2020-03-09,115.12
84,037 Cotidian,2021-03-06,46534.27
85,037 Cotidian,2020-09-01,49362.87
86,036 Ladysoft,2020-02-22,164180.09
87,006 Nova,2020-04-30,950231.65
88,012 Higienol,2019-10-27,38048.49
89,006 Nova,2020-11-02,564734.08
90,037 Cotidian,2020-01-13,62688.42
91,038 Ok Pet,2021-05-07,923.11
92,008 Babysec,2020-01-29,1651913.7
93,036 Ladysoft,2020-02-28,267712.38
94,012 Higienol,2021-06-22,579565.84
95,038 Ok Pet,2020-11-02,3795.5
96,003 Noble,2019-11-10,56954.54
97,006 Nova,2020-04-27,611905.49
98,037 Cotidian,2021-03-03,42473.4
99,001 Elite,2021-02-07,59652.12
100,036 Ladysoft,2021-04-18,12007.34
101,037 Cotidian,2021-03-09,60880.79
102,008 Babysec,2021-03-22,3306032.43
103,001 Elite,2019-12-17,5657796.43
104,036 Ladysoft,2020-02-25,260141.6
105,012 Higienol,2019-10-30,581682.51
106,012 Higienol,2020-12-21,462183.65
107,008 Babysec,2020-02-01,1247761.48
108,003 Noble,2019-11-16,2229495.26
109,012 Higienol,2021-06-25,380056.52
110,001 Elite,2021-02-04,2899145.69
111,006 Nova,2021-06-22,869768.07
112,038 Ok Pet,2020-11-05,2477.15
113,038 Ok Pet,2021-05-10,298.5
114,003 Noble,2019-11-13,1990939.64
115,001 Elite,2021-02-10,2846787.75
116,008 Babysec,2021-03-25,2851686.24
117,008 Babysec,2021-03-19,2309647.44
118,003 Noble,2020-05-17,73493.93
119,012 Higienol,2020-04-30,470930.85
120,012 Higienol,2020-12-24,149637.36
121,001 Elite,2019-12-14,4274012.72
122,006 Nova,2020-12-24,585726.15
123,037 Cotidian,2020-01-07,87172.51
124,036 Ladysoft,2020-10-17,197059.17
125,006 Nova,2021-06-28,157402.11
126,003 Noble,2019-11-19,2108822.06
127,036 Ladysoft,2020-10-23,281267.44
128,012 Higienol,2019-11-02,286985.86
129,012 Higienol,2021-06-28,74794.05
130,008 Babysec,2020-01-26,53086.59
131,012 Higienol,2019-11-05,498573.38
132,003 Noble,2021-01-10,91877.24
133,006 Nova,2021-06-25,1073317.19
134,003 Noble,2020-07-08,2156689.53
135,006 Nova,2019-11-05,326484.97
136,008 Babysec,2020-07-30,2547955.23
137,001 Elite,2020-06-17,3565402.0
138,006 Nova,2019-10-30,375804.38
139,037 Cotidian,2020-07-11,85167.25
140,036 Ladysoft,2021-04-24,170790.6
141,001 Elite,2020-06-11,3796187.68
142,012 Higienol,2020-12-27,21646.1
143,038 Ok Pet,2020-05-06,974.1
144,037 Cotidian,2020-01-04,99684.66
145,036 Ladysoft,2020-10-20,201216.58
146,001 Elite,2019-12-11,5314973.68
147,037 Cotidian,2020-01-10,57657.7
148,008 Babysec,2020-01-23,2984000.29
149,036 Ladysoft,2019-09-01,1077.12
150,037 Cotidian,2021-02-28,693.73
151,006 Nova,2019-11-02,267760.89
152,008 Babysec,2020-07-27,2063935.71
153,003 Noble,2021-01-07,2303267.89
154,012 Higienol,2020-06-24,356531.47
155,001 Elite,2020-06-14,42697.8
156,006 Nova,2020-05-06,628012.74
157,003 Noble,2021-01-13,2316305.41
158,006 Nova,2020-07-14,825104.3
159,008 Babysec,2021-01-03,22171.19
160,003 Noble,2021-03-13,1834041.36
161,036 Ladysoft,2020-05-26,252120.84
162,006 Nova,2020-07-20,1040957.91
163,012 Higienol,2020-04-15,405269.39
164,012 Higienol,2020-10-18,2485.23
165,001 Elite,2021-03-07,42427.62
166,037 Cotidian,2020-03-04,56919.64
167,001 Elite,2021-03-01,1405151.48
168,003 Noble,2020-01-23,1949170.13
169,037 Cotidian,2020-09-06,1567.79
170,038 Ok Pet,2021-01-12,1305.73
171,036 Ladysoft,2020-11-28,273453.5
172,008 Babysec,2019-11-12,2108745.01
173,038 Ok Pet,2021-01-06,355.61
174,001 Elite,2020-01-14,4478986.69
175,006 Nova,2021-01-19,1289165.31
176,001 Elite,2020-01-11,4442504.98
177,003 Noble,2021-03-10,1540625.81
178,012 Higienol,2021-06-10,403777.97
179,001 Elite,2021-03-04,2372610.2
180,008 Babysec,2020-12-31,5142065.16
181,003 Noble,2020-01-17,1700147.57
182,003 Noble,2020-07-21,2092658.63
183,006 Nova,2020-07-17,821483.41
184,008 Babysec,2021-01-06,2222921.26
185,038 Ok Pet,2020-07-07,146.92
186,003 Noble,2020-01-20,1661239.28
187,038 Ok Pet,2021-01-09,1422.84
188,036 Ladysoft,2021-05-30,7205.49
189,012 Higienol,2020-04-18,358288.09
190,036 Ladysoft,2020-05-23,206556.98
191,037 Cotidian,2020-09-03,86755.14
192,012 Higienol,2019-10-15,496643.27
193,036 Ladysoft,2020-11-25,215132.62
194,001 Elite,2020-01-08,5507747.99
195,036 Ladysoft,2021-01-19,221463.13
196,037 Cotidian,2020-01-09,55408.87
197,012 Higienol,2021-06-13,8752.95
198,008 Babysec,2019-11-06,2406809.37
199,038 Ok Pet,2020-07-13,11.16
200,001 Elite,2020-07-12,72347.27
201,036 Ladysoft,2019-11-28,206446.61
202,036 Ladysoft,2020-06-01,175032.3
203,008 Babysec,2020-05-10,6391.56
204,012 Higienol,2020-12-09,285913.88
205,003 Noble,2020-09-14,2095022.65
206,012 Higienol,2020-04-21,294175.86
207,012 Higienol,2020-12-12,387604.65
208,006 Nova,2020-01-22,474224.74
209,006 Nova,2020-01-16,399760.23
210,012 Higienol,2019-10-18,485325.34
211,036 Ladysoft,2020-05-29,311826.92
212,037 Cotidian,2020-08-31,144722.1
213,012 Higienol,2019-10-24,501569.49
214,008 Babysec,2020-05-13,2691029.77
215,037 Cotidian,2021-03-05,30958.24
216,001 Elite,2020-01-05,169906.38
217,003 Noble,2021-03-16,1475147.19
218,006 Nova,2021-03-12,1163798.56
219,012 Higienol,2021-06-16,334005.06
220,038 Ok Pet,2020-07-16,1195.96
221,006 Nova,2020-07-23,794131.1
222,001 Elite,2020-07-09,3304614.38
223,036 Ladysoft,2019-11-25,212344.99
224,003 Noble,2020-09-11,1779630.64
225,038 Ok Pet,2020-07-10,193.19
226,003 Noble,2021-03-19,1462682.11
227,006 Nova,2020-01-19,9343.56
228,037 Cotidian,2021-03-02,76701.75
229,008 Babysec,2019-11-09,2091385.9
230,012 Higienol,2019-10-21,545801.98
231,037 Cotidian,2020-08-28,150957.47
232,037 Cotidian,2020-05-01,51211.78
233,008 Babysec,2020-01-12,60544.22
234,006 Nova,2020-05-23,532902.91
235,036 Ladysoft,2021-01-25,199598.69
236,037 Cotidian,2020-11-03,76285.3
237,038 Ok Pet,2021-03-08,2128.72
238,001 Elite,2021-05-04,2272299.3
239,008 Babysec,2021-03-02,1570083.14
240,003 Noble,2020-09-17,1959699.07
241,012 Higienol,2021-06-19,339997.91
242,036 Ladysoft,2020-07-23,227776.6
243,006 Nova,2019-11-19,438996.39
244,001 Elite,2020-03-09,4165705.31
245,003 Noble,2021-05-10,1572787.66
246,006 Nova,2020-05-17,12341.1
247,037 Cotidian,2021-05-05,72998.3
248,037 Cotidian,2020-10-31,167995.75
249,036 Ladysoft,2019-12-01,1703.82
250,012 Higienol,2020-12-18,465636.8
251,001 Elite,2020-09-11,2804474.98
252,012 Higienol,2020-06-15,383173.95
253,037 Cotidian,2019-09-09,70553.9
254,036 Ladysoft,2021-01-22,235146.74
255,003 Noble,2019-09-14,1440486.62
256,003 Noble,2020-03-18,2029447.37
257,001 Elite,2019-09-08,114863.96
258,003 Noble,2020-09-20,28047.24
259,001 Elite,2021-05-01,22836.18
260,006 Nova,2019-11-16,294734.76
261,008 Babysec,2021-03-05,2053848.09
262,037 Cotidian,2020-10-28,69933.15
263,012 Higienol,2020-12-15,368276.96
264,001 Elite,2020-03-12,6584980.41
265,038 Ok Pet,2021-03-05,472.32
266,006 Nova,2020-05-20,656838.07
267,036 Ladysoft,2019-12-04,177488.27
268,008 Babysec,2020-01-09,2923976.51
269,003 Noble,2020-03-15,139520.96
270,012 Higienol,2020-06-12,548395.22
271,006 Nova,2020-11-22,16859.44
272,003 Noble,2020-03-21,2370661.39
273,001 Elite,2020-09-02,3303852.47
274,012 Higienol,2021-02-08,391814.19
275,037 Cotidian,2019-09-06,137327.32
276,038 Ok Pet,2020-09-09,122.03
277,012 Higienol,2019-12-18,491391.85
278,037 Cotidian,2020-03-10,69230.2
279,036 Ladysoft,2020-08-01,170480.9
280,006 Nova,2019-11-25,379257.51
281,003 Noble,2021-05-13,1950885.7
282,008 Babysec,2021-01-09,2948923.45
283,008 Babysec,2020-07-10,2152770.16
284,036 Ladysoft,2020-07-29,156345.63
285,036 Ladysoft,2020-01-25,260033.74
286,003 Noble,2019-09-20,2827684.51
287,006 Nova,2021-01-13,1087825.3
288,038 Ok Pet,2020-09-12,761.0
289,008 Babysec,2020-01-06,2541728.53
290,012 Higienol,2020-06-21,502.97
291,037 Cotidian,2021-04-29,97208.74
292,012 Higienol,2019-12-15,67373.11
293,003 Noble,2020-11-11,2768048.15
294,001 Elite,2020-09-05,2958049.11
295,037 Cotidian,2019-09-03,95042.4
296,003 Noble,2021-05-16,39470.49
297,008 Babysec,2020-07-04,1888826.33
298,036 Ladysoft,2021-01-28,199310.43
299,038 Ok Pet,2021-03-11,274.21
300,006 Nova,2019-11-22,323705.44
301,001 Elite,2021-03-10,2293755.41
302,036 Ladysoft,2020-07-26,11288.64
303,037 Cotidian,2020-03-07,56368.11
304,008 Babysec,2020-01-03,1657948.01
305,008 Babysec,2020-07-07,2057664.94
306,003 Noble,2019-09-23,2227263.39
307,001 Elite,2020-09-08,3606350.16
308,003 Noble,2019-09-17,1926839.72
309,006 Nova,2021-01-16,1151404.07
310,001 Elite,2020-03-06,3852936.98
311,037 Cotidian,2021-04-26,55621.88
312,038 Ok Pet,2020-03-07,2767.67
313,012 Higienol,2020-06-18,380028.81
314,001 Elite,2020-05-06,3859695.81
315,008 Babysec,2020-03-04,1942554.64
316,006 Nova,2019-09-09,317910.54
317,036 Ladysoft,2021-03-08,214915.77
318,012 Higienol,2020-01-06,644226.3
319,038 Ok Pet,2020-09-28,499.86
320,038 Ok Pet,2020-03-26,5.76
321,036 Ladysoft,2021-03-14,5627.31
322,001 Elite,2020-11-18,2804806.94
323,008 Babysec,2020-09-25,2072944.33
324,037 Cotidian,2020-12-21,95094.42
325,036 Ladysoft,2020-09-09,190921.29
326,006 Nova,2020-10-31,1603639.11
327,006 Nova,2020-10-28,919163.87
328,003 Noble,2019-10-06,28637.18
329,003 Noble,2020-11-24,2381284.17
330,006 Nova,2021-05-05,946006.87
331,001 Elite,2020-11-21,2137262.44
332,003 Noble,2021-05-29,1557139.36
333,008 Babysec,2020-09-19,2213967.93
334,037 Cotidian,2020-12-15,43683.11
335,001 Elite,2019-09-30,8582759.13
336,003 Noble,2020-11-30,9038741.13
337,001 Elite,2021-05-26,2312384.47
338,012 Higienol,2021-02-27,593321.99
339,008 Babysec,2021-03-24,5165522.83
340,038 Ok Pet,2020-03-23,40.64
341,036 Ladysoft,2021-03-11,205472.07
342,012 Higienol,2020-01-03,355101.65
343,006 Nova,2019-09-12,324213.88
344,008 Babysec,2020-03-20,1426516.34
345,036 Ladysoft,2020-09-06,7574.8
346,012 Higienol,2020-07-07,239972.75
347,003 Noble,2019-10-09,2293540.36
348,037 Cotidian,2020-06-15,76110.84
349,001 Elite,2020-05-19,4045655.12
350,036 Ladysoft,2020-01-18,219244.06
351,012 Higienol,2021-02-24,267022.11
352,001 Elite,2020-11-24,2743936.16
353,008 Babysec,2020-09-22,2498306.43
354,037 Cotidian,2020-12-18,51593.21
355,006 Nova,2020-03-10,709629.06
356,003 Noble,2021-06-01,766436.84
357,006 Nova,2021-05-02,3200.17
358,038 Ok Pet,2020-09-25,706.9
359,001 Elite,2021-05-23,46845.29
360,003 Noble,2020-11-27,2371888.57
361,006 Nova,2019-09-06,394547.34
362,006 Nova,2020-05-04,702578.35
363,038 Ok Pet,2021-05-24,1007.23
364,006 Nova,2020-11-06,1290866.6
365,012 Higienol,2021-03-05,242309.29
366,037 Cotidian,2019-10-24,57497.93
367,001 Elite,2020-03-25,3178924.5
368,001 Elite,2019-09-21,3718628.55
369,037 Cotidian,2019-10-18,78778.63
370,006 Nova,2021-06-26,811054.23
371,038 Ok Pet,2020-04-01,11.17
372,012 Higienol,2020-08-31,432955.33
373,001 Elite,2019-09-24,4509855.39
374,036 Ladysoft,2020-03-10,213663.81
375,037 Cotidian,2021-06-13,250.93
376,037 Cotidian,2021-06-19,112693.87
377,038 Ok Pet,2021-05-21,1604.02
378,001 Elite,2021-05-20,2577280.04
379,012 Higienol,2020-08-28,326396.71
380,008 Babysec,2021-03-18,2489187.52
381,003 Noble,2020-05-28,1791101.1
382,006 Nova,2020-05-01,219773.48
383,012 Higienol,2021-03-02,257965.9
384,037 Cotidian,2019-10-21,66265.17
385,006 Nova,2020-11-03,812503.07
386,037 Cotidian,2020-04-24,42524.72
387,003 Noble,2020-06-03,2602697.63
388,036 Ladysoft,2020-09-15,235168.67
389,001 Elite,2020-03-28,4380453.45
390,008 Babysec,2020-01-28,2413096.26
391,036 Ladysoft,2020-09-12,204330.47
392,008 Babysec,2020-01-25,2437815.64
393,008 Babysec,2020-09-16,1950218.49
394,037 Cotidian,2020-12-12,56202.73
395,001 Elite,2019-09-27,4397326.79
396,036 Ladysoft,2020-03-13,238324.61
397,038 Ok Pet,2021-05-18,437.98
398,037 Cotidian,2021-06-16,154818.99
399,001 Elite,2021-05-17,2324259.48
400,003 Noble,2020-12-03,2245779.24
401,008 Babysec,2021-03-21,97286.59
402,036 Ladysoft,2019-09-12,163662.7
403,037 Cotidian,2021-02-11,82225.43
404,003 Noble,2021-01-24,42613.95
405,006 Nova,2020-08-31,1047162.09
406,036 Ladysoft,2020-03-16,170035.85
407,038 Ok Pet,2020-11-19,1118.31
408,003 Noble,2020-06-06,2642850.62
409,012 Higienol,2020-02-27,343741.0
410,008 Babysec,2020-11-16,3455865.47
411,001 Elite,2021-01-18,2970193.07
412,036 Ladysoft,2021-05-08,218157.02
413,012 Higienol,2020-03-01,1804.91
414,003 Noble,2019-12-03,1857987.16
415,001 Elite,2019-11-30,6246032.0
416,006 Nova,2021-03-05,883140.82
417,038 Ok Pet,2021-05-27,378.33
418,008 Babysec,2019-09-28,2412296.66
419,037 Cotidian,2019-12-24,53145.33
420,036 Ladysoft,2020-03-19,173133.35
421,001 Elite,2019-11-24,57047.32
422,008 Babysec,2021-05-24,2169250.6
423,037 Cotidian,2020-08-12,74841.91
424,012 Higienol,2020-09-03,543388.19
425,006 Nova,2020-03-01,3990.49
426,003 Noble,2019-11-30,4890568.53
427,006 Nova,2020-09-03,979647.02
428,036 Ladysoft,2021-05-11,163894.17
429,001 Elite,2021-01-15,2981488.14
430,038 Ok Pet,2020-05-23,576.43
431,008 Babysec,2020-11-19,1906058.03
432,037 Cotidian,2021-02-14,294.66
433,012 Higienol,2020-03-04,355246.87
434,036 Ladysoft,2021-05-05,189640.89
435,038 Ok Pet,2020-11-25,1308.0
436,003 Noble,2019-12-06,1992189.41
437,008 Babysec,2021-05-21,2946182.11
438,008 Babysec,2019-09-25,2405333.49
439,036 Ladysoft,2019-09-15,4134.02
440,037 Cotidian,2019-12-21,77432.8
441,001 Elite,2019-11-27,4323995.64
442,037 Cotidian,2020-06-18,100251.45
443,006 Nova,2021-04-26,691946.76
444,001 Elite,2019-11-21,4818564.88
445,012 Higienol,2021-04-26,443481.6
446,008 Babysec,2020-03-29,51169.18
447,036 Ladysoft,2020-11-09,204457.55
448,037 Cotidian,2019-12-15,4639.85
449,036 Ladysoft,2021-05-14,189552.5
450,001 Elite,2020-05-25,3830805.27
451,003 Noble,2021-01-30,7045913.73
452,006 Nova,2020-09-06,7470.1
453,038 Ok Pet,2020-05-26,885.32
454,008 Babysec,2020-03-23,1047379.07
455,012 Higienol,2021-05-02,247.46
456,003 Noble,2020-07-28,912565.13
457,003 Noble,2020-07-31,4322345.38
458,038 Ok Pet,2020-11-28,774.19
459,008 Babysec,2021-05-18,1345831.97
460,003 Noble,2019-12-09,2431095.16
461,006 Nova,2020-03-07,547030.3
462,006 Nova,2019-09-03,435319.32
463,036 Ladysoft,2019-09-18,185439.86
464,012 Higienol,2019-09-03,783852.0
465,037 Cotidian,2019-12-18,98851.92
466,008 Babysec,2019-09-22,44226.48
467,012 Higienol,2020-03-07,272563.65
468,008 Babysec,2020-03-26,1333090.99
469,001 Elite,2020-05-28,4460279.57
470,012 Higienol,2019-09-06,569665.81
471,006 Nova,2021-04-29,1185670.34
472,036 Ladysoft,2020-11-12,193825.94
473,003 Noble,2021-01-27,3091014.92
474,037 Cotidian,2020-05-26,87492.99
475,008 Babysec,2020-02-29,2252331.81
476,036 Ladysoft,2020-09-26,176058.56
477,001 Elite,2019-09-07,4218165.1
478,006 Nova,2019-09-26,384418.82
479,037 Cotidian,2019-10-07,143472.61
480,036 Ladysoft,2021-03-31,451420.07
481,003 Noble,2020-12-20,61741.42
482,038 Ok Pet,2020-10-15,510.69
483,001 Elite,2020-11-01,70428.37
484,008 Babysec,2021-03-04,1726737.7
485,037 Cotidian,2021-05-30,401.27
486,008 Babysec,2020-08-30,21802.9
487,001 Elite,2021-05-06,2260119.71
488,037 Cotidian,2020-11-25,81079.45
489,006 Nova,2020-11-17,960065.57
490,012 Higienol,2020-01-26,30647.17
491,037 Cotidian,2019-10-04,69872.46
492,036 Ladysoft,2021-04-03,77409.12
493,006 Nova,2021-05-22,1165892.89
494,003 Noble,2020-12-14,2435916.15
495,001 Elite,2021-05-03,1389827.36
496,001 Elite,2019-09-10,5799354.1
497,006 Nova,2019-09-29,7659.57
498,012 Higienol,2021-03-16,301108.7
499,012 Higienol,2021-03-19,367688.61
500,003 Noble,2020-12-17,2218067.79
501,001 Elite,2020-10-29,3958324.55
502,008 Babysec,2021-03-07,75410.97
503,006 Nova,2021-05-25,1159240.85
504,038 Ok Pet,2021-06-07,341.19
505,008 Babysec,2020-09-02,2377889.39
506,036 Ladysoft,2020-02-07,228219.79
507,003 Noble,2021-06-21,2230269.05
508,037 Cotidian,2020-11-28,182196.38
509,036 Ladysoft,2020-09-29,218448.14
510,003 Noble,2019-10-26,2112759.96
511,006 Nova,2020-11-20,689878.8
512,012 Higienol,2020-01-23,382651.5
513,003 Noble,2020-06-23,2170975.3
514,037 Cotidian,2019-10-01,46891.15
515,036 Ladysoft,2019-09-29,7480.45
516,003 Noble,2020-06-17,2421019.29
517,038 Ok Pet,2021-06-10,4067.36
518,012 Higienol,2021-03-22,306800.62
519,001 Elite,2021-04-30,7677495.05
520,008 Babysec,2021-02-26,3301974.62
521,037 Cotidian,2021-05-24,68574.09
522,001 Elite,2020-03-11,4636991.53
523,036 Ladysoft,2020-03-30,238066.31
524,006 Nova,2020-05-21,464625.42
525,008 Babysec,2020-01-08,3205588.88
526,037 Cotidian,2020-04-04,56476.01
527,036 Ladysoft,2020-10-02,182540.22
528,012 Higienol,2020-09-17,324920.34
529,006 Nova,2020-11-23,794627.0
530,001 Elite,2020-03-05,3998808.89
531,006 Nova,2019-11-20,509192.17
532,003 Noble,2019-12-17,2388217.08
533,038 Ok Pet,2020-12-09,1463.9
534,012 Higienol,2020-09-20,11073.16
535,012 Higienol,2020-03-18,297848.81
536,006 Nova,2020-05-24,6440.68
537,037 Cotidian,2019-09-28,85144.49
538,003 Noble,2020-06-20,2033141.58
539,008 Babysec,2021-03-01,1043624.31
540,037 Cotidian,2021-05-27,49727.3
541,003 Noble,2020-12-23,2510038.61
542,001 Elite,2021-04-27,2572852.17
543,001 Elite,2020-03-08,58964.01
544,001 Elite,2019-09-04,4586291.59
545,036 Ladysoft,2020-04-02,266972.43
546,037 Cotidian,2020-11-22,410.7
547,012 Higienol,2020-09-14,314944.26
548,006 Nova,2020-11-26,791382.42
549,003 Noble,2019-12-20,2146975.41
550,036 Ladysoft,2020-10-05,202655.54
551,008 Babysec,2020-01-05,42105.07
552,037 Cotidian,2020-04-01,42613.98
553,036 Ladysoft,2019-10-05,176736.19
554,003 Noble,2021-02-16,1297955.49
555,006 Nova,2020-09-23,949146.89
556,001 Elite,2020-05-08,3389571.01
557,038 Ok Pet,2021-06-16,2629.81
558,008 Babysec,2021-05-04,1363009.83
559,038 Ok Pet,2020-12-12,1277.2
560,012 Higienol,2021-05-13,253882.52
561,008 Babysec,2019-09-11,2142428.23
562,001 Elite,2019-11-04,3834761.42
563,036 Ladysoft,2021-05-31,266322.4
564,008 Babysec,2019-09-08,28159.89
565,001 Elite,2019-11-10,41449.03
566,036 Ladysoft,2020-04-05,6494.53
567,037 Cotidian,2021-01-25,116732.19
568,003 Noble,2019-12-23,2324821.11
569,012 Higienol,2020-03-21,190622.5
570,008 Babysec,2020-10-30,3022057.93
571,036 Ladysoft,2020-11-26,356542.03
572,038 Ok Pet,2020-06-12,218.28
573,012 Higienol,2020-09-23,285360.27
574,006 Nova,2020-03-21,231760.93
575,001 Elite,2020-12-29,4087702.77
576,003 Noble,2020-06-26,2010502.46
577,006 Nova,2020-09-20,21887.64
578,006 Nova,2020-09-26,761391.8
579,008 Babysec,2021-05-01,16294.8
580,012 Higienol,2021-05-16,6902.81
581,038 Ok Pet,2020-12-15,3115.32
582,036 Ladysoft,2021-05-25,208767.04
583,008 Babysec,2020-03-09,1468778.97
584,001 Elite,2019-11-07,4614763.28
585,001 Elite,2020-05-11,4889403.49
586,037 Cotidian,2019-12-04,77213.46
587,003 Noble,2021-02-13,1691430.48
588,036 Ladysoft,2019-10-02,155053.94
589,008 Babysec,2019-09-05,2239988.8
590,006 Nova,2021-03-25,1174258.64
591,037 Cotidian,2019-12-01,171.36
592,012 Higienol,2019-09-20,532539.31
593,003 Noble,2019-12-26,2683571.64
594,036 Ladysoft,2021-05-28,207775.07
595,012 Higienol,2020-03-24,240157.27
596,038 Ok Pet,2020-06-09,445.97
597,037 Cotidian,2021-01-22,72292.12
598,008 Babysec,2020-10-27,3010854.37
599,036 Ladysoft,2020-05-30,275213.28
600,006 Nova,2021-05-19,866403.46
601,036 Ladysoft,2020-12-02,224794.72
602,012 Higienol,2021-05-19,281165.83
603,037 Cotidian,2020-06-01,84900.18
604,008 Babysec,2021-04-28,2967927.83
605,008 Babysec,2020-03-06,1682768.8
606,012 Higienol,2019-09-26,482739.05
607,037 Cotidian,2019-11-28,69079.55
608,008 Babysec,2019-09-02,1827606.08
609,012 Higienol,2020-03-27,306594.45
610,006 Nova,2019-09-23,312068.95
611,006 Nova,2020-03-27,741377.19
612,037 Cotidian,2020-06-04,55707.76
613,001 Elite,2020-11-07,2471651.32
614,003 Noble,2021-02-22,1882992.07
615,012 Higienol,2021-05-22,220421.26
616,008 Babysec,2020-09-05,2431612.19
617,012 Higienol,2020-11-17,279532.7
618,038 Ok Pet,2020-06-18,39.84
619,037 Cotidian,2020-12-01,34465.32
620,003 Noble,2020-08-20,3040229.32
621,008 Babysec,2020-03-03,1443821.91
622,003 Noble,2021-02-19,1551859.77
623,037 Cotidian,2020-05-29,73234.06
624,036 Ladysoft,2020-05-27,274481.34
625,001 Elite,2020-05-05,4179291.65
626,012 Higienol,2019-09-23,549047.45
627,036 Ladysoft,2019-10-08,125326.27
628,006 Nova,2021-05-16,18693.49
629,001 Elite,2019-11-01,1089545.89
630,006 Nova,2020-03-30,767954.77
631,036 Ladysoft,2021-06-03,147815.71
632,037 Cotidian,2021-03-08,53892.06
633,012 Higienol,2020-12-03,302978.19
634,008 Babysec,2020-05-16,3022723.55
635,012 Higienol,2021-06-07,267698.05
636,001 Elite,2020-07-18,2326683.96
637,003 Noble,2020-09-02,2568932.49
638,036 Ladysoft,2019-11-16,234388.17
639,003 Noble,2020-09-08,2464170.56
640,038 Ok Pet,2020-07-04,481.52
641,001 Elite,2021-01-20,3482359.15
642,006 Nova,2020-01-10,409972.25
643,036 Ladysoft,2019-11-22,186252.32
644,037 Cotidian,2020-01-18,78911.22
645,036 Ladysoft,2021-01-10,15708.92
646,012 Higienol,2019-10-12,454116.17
647,008 Babysec,2020-05-22,2159709.25
648,006 Nova,2021-03-03,785862.7
649,037 Cotidian,2021-03-11,75003.8
650,012 Higienol,2020-11-30,424527.85
