,Categoria,Fecha,Soles
81,01 Mascarilla ,2021-05-12,1600.41
82,38 Pañales Adultos,2020-04-15,122166.77
83,10 Toallas Femeninas,2021-02-08,227014.98
84,05 Pañales Bebe,2021-05-20,1826352.83
85,01 Higiénicos Masivos,2020-07-05,63160.75
86,11 Toallas Húmedas,2020-03-13,52639.22
87,04 Pañuelos Masivos,2019-12-26,9272.46
88,02 Rollos de Cocina,2020-03-29,12377.54
89,03 Servilletas Masivos,2020-03-11,818244.17
90,01 Mascarilla ,2020-11-07,2058.87
91,02 Rollos de Cocina,2020-11-25,1061478.56
92,04 Pañuelos Masivos,2021-02-22,3842.03
93,11 Toallas Húmedas,2021-01-06,70184.29
94,01 Higiénicos Masivos,2021-02-28,964812.72
95,38 Pañales Adultos,2019-12-15,4639.85
96,04 Pañuelos Masivos,2020-08-20,7059.56
97,02 Rollos de Cocina,2020-11-19,1122373.86
98,10 Toallas Femeninas,2020-08-09,2806.97
99,01 Higiénicos Masivos,2020-01-07,7270420.2
100,03 Servilletas Masivos,2019-09-16,581843.64
101,05 Pañales Bebe,2020-05-19,2452059.15
102,03 Servilletas Masivos,2021-05-09,7946.0
103,11 Toallas Húmedas,2019-11-15,42510.3
104,01 Mascarilla ,2021-03-06,2944.85
105,02 Rollos de Cocina,2021-05-24,1515260.37
106,10 Toallas Femeninas,2020-02-05,202754.68
107,01 Higiénicos Masivos,2020-01-10,5995193.54
108,01 Mascotas,2020-09-22,600.23
109,03 Servilletas Masivos,2020-03-20,165311.7
110,38 Pañales Adultos,2019-12-18,98851.92
111,05 Pañales Bebe,2019-11-18,2275707.21
112,01 Higiénicos Masivos,2021-03-03,3604416.56
113,01 Mascarilla ,2021-03-09,4306.2
114,10 Toallas Femeninas,2020-08-06,194213.73
115,04 Pañuelos Masivos,2021-02-25,5353.49
116,02 Rollos de Cocina,2020-11-22,23428.82
117,38 Pañales Adultos,2021-02-08,61983.06
118,05 Pañales Bebe,2020-05-22,2107812.02
119,01 Higiénicos Masivos,2021-02-25,6664794.83
120,03 Servilletas Masivos,2021-05-12,302965.96
121,02 Rollos de Cocina,2019-10-01,514096.7
122,03 Servilletas Masivos,2019-09-13,700130.58
123,10 Toallas Femeninas,2020-02-02,5104.76
124,02 Rollos de Cocina,2021-05-27,1072630.84
125,11 Toallas Húmedas,2019-11-12,47386.58
126,05 Pañales Bebe,2020-11-24,2538156.89
127,03 Servilletas Masivos,2019-09-19,745404.12
128,04 Pañuelos Masivos,2021-02-19,7320.27
129,01 Mascotas,2020-09-19,4164.22
130,05 Pañales Bebe,2020-11-21,2260016.81
131,03 Servilletas Masivos,2020-11-07,381434.55
132,03 Servilletas Masivos,2020-03-17,466481.94
133,01 Mascotas,2020-03-17,25.68
134,11 Toallas Húmedas,2019-11-18,30051.25
135,38 Pañales Adultos,2021-02-05,51280.32
136,02 Rollos de Cocina,2020-07-04,1144310.37
137,03 Servilletas Masivos,2020-03-05,636958.34
138,04 Pañuelos Masivos,2020-03-29,15.25
139,02 Rollos de Cocina,2019-12-31,972213.71
140,01 Higiénicos Masivos,2021-03-25,4706201.13
141,38 Pañales Adultos,2021-03-02,76701.75
142,38 Pañales Adultos,2020-01-09,55408.87
143,01 Mascotas,2020-10-20,579.48
144,05 Pañales Bebe,2020-09-27,16428.51
145,10 Toallas Femeninas,2019-09-14,169980.16
146,02 Rollos de Cocina,2021-02-21,24771.5
147,01 Mascarilla ,2021-05-03,929.19
148,04 Pañuelos Masivos,2021-05-21,3762.92
149,11 Toallas Húmedas,2019-11-03,579.49
150,03 Servilletas Masivos,2021-04-27,391203.46
151,11 Toallas Húmedas,2021-06-26,72497.83
152,11 Toallas Húmedas,2020-05-04,41525.55
153,01 Mascarilla ,2020-10-29,8083.08
154,01 Higiénicos Masivos,2020-02-04,4703391.65
155,05 Pañales Bebe,2020-09-30,4142062.44
156,11 Toallas Húmedas,2019-10-31,84902.48
157,10 Toallas Femeninas,2021-05-10,242238.72
158,04 Pañuelos Masivos,2019-09-28,11816.71
159,05 Pañales Bebe,2021-04-04,26404.47
160,01 Mascotas,2020-04-14,19.92
161,10 Toallas Femeninas,2020-11-05,223490.49
162,03 Servilletas Masivos,2020-03-08,9461.87
163,04 Pañuelos Masivos,2020-04-01,4867.66
164,38 Pañales Adultos,2020-07-13,103304.8
165,11 Toallas Húmedas,2021-06-23,79922.83
166,10 Toallas Femeninas,2020-11-08,14149.97
167,01 Higiénicos Masivos,2021-03-28,147078.53
168,02 Rollos de Cocina,2019-12-28,907430.65
169,10 Toallas Femeninas,2020-05-06,223721.28
170,03 Servilletas Masivos,2020-03-02,464714.31
171,38 Pañales Adultos,2021-03-05,30958.24
172,01 Higiénicos Masivos,2020-09-23,5140371.84
173,04 Pañuelos Masivos,2021-05-24,6951.01
174,01 Mascotas,2020-10-17,1363.74
175,10 Toallas Femeninas,2019-09-17,216449.43
176,01 Mascarilla ,2021-04-30,3577.41
177,01 Mascotas,2020-10-14,203.57
178,11 Toallas Húmedas,2020-05-07,53715.49
179,01 Higiénicos Masivos,2020-02-01,2857611.91
180,38 Pañales Adultos,2020-01-12,2052.69
181,01 Mascarilla ,2020-10-26,1739.24
182,04 Pañuelos Masivos,2019-09-25,11631.42
183,03 Servilletas Masivos,2019-09-01,1413.56
184,10 Toallas Femeninas,2021-05-13,196561.77
185,02 Rollos de Cocina,2020-07-01,2978547.6
186,05 Pañales Bebe,2021-04-01,682218.15
187,02 Rollos de Cocina,2021-02-27,1847786.6
188,05 Pañales Bebe,2019-09-30,4440477.05
189,10 Toallas Femeninas,2020-11-11,232504.64
190,03 Servilletas Masivos,2020-10-29,333386.52
191,04 Pañuelos Masivos,2020-11-22,126.23
192,11 Toallas Húmedas,2020-10-31,91905.99
193,05 Pañales Bebe,2020-04-03,2047432.46
194,01 Higiénicos Masivos,2021-03-31,11952309.68
195,01 Higiénicos Masivos,2020-09-26,5286335.04
196,10 Toallas Femeninas,2020-05-09,236177.56
197,05 Pañales Bebe,2020-10-06,1974109.5
198,01 Mascotas,2021-06-09,1013.56
199,03 Servilletas Masivos,2021-05-03,217599.78
200,04 Pañuelos Masivos,2021-05-27,8023.98
201,10 Toallas Femeninas,2019-11-08,257525.07
202,38 Pañales Adultos,2021-01-09,108267.37
203,04 Pañuelos Masivos,2019-10-04,7803.61
204,03 Servilletas Masivos,2019-09-10,817784.46
205,11 Toallas Húmedas,2020-04-28,35848.42
206,03 Servilletas Masivos,2019-09-04,828778.8
207,38 Pañales Adultos,2020-07-07,89519.41
208,11 Toallas Húmedas,2020-10-28,64266.55
209,04 Pañuelos Masivos,2021-05-30,101.77
210,38 Pañales Adultos,2020-01-06,80186.15
211,03 Servilletas Masivos,2020-10-26,336323.41
212,04 Pañuelos Masivos,2020-11-25,8585.73
213,02 Rollos de Cocina,2021-02-24,1015168.58
214,03 Servilletas Masivos,2021-04-30,391021.53
215,05 Pañales Bebe,2020-03-31,2688567.88
216,10 Toallas Femeninas,2020-05-12,249903.35
217,01 Mascotas,2021-06-12,50.16
218,05 Pañales Bebe,2020-10-03,1680616.3
219,01 Mascarilla ,2021-06-24,1478.55
220,01 Higiénicos Masivos,2020-09-29,6977769.81
221,01 Mascarilla ,2020-11-01,23.27
222,05 Pañales Bebe,2021-05-26,2703003.51
223,03 Servilletas Masivos,2019-09-07,595130.15
224,04 Pañuelos Masivos,2019-10-01,10763.14
225,11 Toallas Húmedas,2019-09-09,41485.84
226,02 Rollos de Cocina,2020-01-03,563138.82
227,11 Toallas Húmedas,2020-11-03,57790.22
228,01 Higiénicos Masivos,2020-03-27,4718631.12
229,11 Toallas Húmedas,2020-05-01,9220.3
230,38 Pañales Adultos,2020-07-10,93518.55
231,02 Rollos de Cocina,2020-08-25,1317746.33
232,04 Pañuelos Masivos,2020-05-23,2875.28
233,01 Mascotas,2020-12-11,6877.84
234,11 Toallas Húmedas,2020-07-04,43468.93
235,01 Mascarilla ,2020-09-01,883.48
236,38 Pañales Adultos,2019-09-06,137327.32
237,10 Toallas Femeninas,2019-11-14,286980.36
238,01 Higiénicos Masivos,2019-09-29,155158.88
239,38 Pañales Adultos,2020-03-10,69230.2
240,04 Pañuelos Masivos,2019-11-25,14864.89
241,11 Toallas Húmedas,2019-12-31,45781.15
242,01 Higiénicos Masivos,2021-05-22,3528447.09
243,03 Servilletas Masivos,2021-06-24,282848.75
244,01 Mascotas,2021-06-15,388.7
245,05 Pañales Bebe,2020-11-27,2106672.62
246,01 Higiénicos Masivos,2021-05-25,7100435.5
247,03 Servilletas Masivos,2020-05-02,149103.03
248,02 Rollos de Cocina,2020-02-24,906964.93
249,04 Pañuelos Masivos,2020-05-26,5261.06
250,10 Toallas Femeninas,2021-01-05,198039.17
251,05 Pañales Bebe,2021-05-29,2237656.96
252,38 Pañales Adultos,2020-09-12,47962.03
253,01 Higiénicos Masivos,2020-10-02,3966944.58
254,01 Higiénicos Masivos,2020-03-30,5595445.86
255,04 Pañuelos Masivos,2020-06-01,3784.52
256,04 Pañuelos Masivos,2020-11-28,6078.98
257,02 Rollos de Cocina,2020-08-28,1082848.49
258,03 Servilletas Masivos,2020-11-04,342516.89
259,02 Rollos de Cocina,2021-03-02,1029975.75
260,05 Pañales Bebe,2019-10-03,1861879.36
261,01 Higiénicos Masivos,2020-04-05,120341.17
262,01 Mascotas,2021-06-18,1466.29
263,01 Mascotas,2020-12-14,1542.6
264,03 Servilletas Masivos,2020-11-01,2802.01
265,11 Toallas Húmedas,2020-07-01,83569.74
266,05 Pañales Bebe,2020-04-06,1930298.6
267,01 Mascarilla ,2021-03-03,3799.92
268,38 Pañales Adultos,2020-03-07,56368.11
269,11 Toallas Húmedas,2019-12-28,39363.37
270,10 Toallas Femeninas,2020-05-15,298843.31
271,38 Pañales Adultos,2020-09-09,61578.92
272,38 Pañales Adultos,2019-10-01,46891.15
273,11 Toallas Húmedas,2020-01-19,3648.06
274,05 Pañales Bebe,2019-11-17,34587.55
275,01 Higiénicos Masivos,2019-11-16,5332277.99
276,38 Pañales Adultos,2021-05-24,68574.09
277,11 Toallas Húmedas,2021-03-12,114179.38
278,01 Mascarilla ,2021-01-17,1875.28
279,01 Mascotas,2020-07-03,96.22
280,10 Toallas Femeninas,2020-07-22,196257.46
281,38 Pañales Adultos,2020-11-19,75726.71
282,02 Rollos de Cocina,2020-10-18,16362.53
283,02 Rollos de Cocina,2020-04-15,1215201.83
284,04 Pañuelos Masivos,2019-12-17,12057.05
285,04 Pañuelos Masivos,2021-02-07,26.2
286,03 Servilletas Masivos,2020-06-16,328038.23
287,10 Toallas Femeninas,2020-07-28,65915.77
288,01 Higiénicos Masivos,2020-05-20,6034983.8
289,02 Rollos de Cocina,2020-10-12,896500.92
290,05 Pañales Bebe,2019-11-23,2077384.25
291,01 Higiénicos Masivos,2019-11-13,5725572.93
292,11 Toallas Húmedas,2020-09-10,61493.95
293,04 Pañuelos Masivos,2021-02-04,6782.36
294,03 Servilletas Masivos,2020-12-19,419853.47
295,05 Pañales Bebe,2021-01-11,2471306.09
296,38 Pañales Adultos,2021-05-21,56513.36
297,38 Pañales Adultos,2020-11-16,91800.66
298,01 Mascotas,2020-07-06,89.99
299,11 Toallas Húmedas,2021-03-15,62063.77
300,03 Servilletas Masivos,2020-06-19,321684.06
301,02 Rollos de Cocina,2020-04-12,0.03
302,10 Toallas Femeninas,2020-07-25,219724.02
303,04 Pañuelos Masivos,2021-02-10,5138.22
304,10 Toallas Femeninas,2021-01-27,240964.33
305,38 Pañales Adultos,2020-11-22,410.7
306,03 Servilletas Masivos,2019-12-16,772441.47
307,01 Higiénicos Masivos,2020-05-17,161103.65
308,04 Pañuelos Masivos,2019-12-20,8615.55
309,38 Pañales Adultos,2019-09-28,85144.49
310,05 Pañales Bebe,2019-11-20,2092118.5
311,02 Rollos de Cocina,2020-10-15,829238.48
312,11 Toallas Húmedas,2020-01-22,62866.98
313,05 Pañales Bebe,2020-07-12,85200.79
314,04 Pañuelos Masivos,2020-02-10,6445.01
315,10 Toallas Femeninas,2020-01-30,270574.14
316,01 Higiénicos Masivos,2021-01-13,5446967.31
317,02 Rollos de Cocina,2019-10-15,762376.01
318,04 Pañuelos Masivos,2020-08-14,7762.57
319,38 Pañales Adultos,2021-05-18,46057.81
320,10 Toallas Femeninas,2020-01-24,222686.36
321,02 Rollos de Cocina,2020-04-18,1076093.71
322,01 Mascotas,2021-02-26,2101.77
323,03 Servilletas Masivos,2019-12-19,726559.76
324,01 Higiénicos Masivos,2019-11-22,5941582.33
325,11 Toallas Húmedas,2020-07-17,48849.73
326,04 Pañuelos Masivos,2020-08-08,5259.56
327,05 Pañales Bebe,2021-01-14,3273474.07
328,01 Mascarilla ,2021-03-10,4234.32
329,38 Pañales Adultos,2020-03-29,3658.98
330,04 Pañuelos Masivos,2021-02-13,2682.17
331,03 Servilletas Masivos,2021-02-12,392603.13
332,10 Toallas Femeninas,2021-03-20,191487.81
333,38 Pañales Adultos,2020-03-23,29300.81
334,11 Toallas Húmedas,2020-01-13,31806.0
335,38 Pañales Adultos,2019-09-25,62913.11
336,03 Servilletas Masivos,2020-06-22,229330.41
337,02 Rollos de Cocina,2021-06-10,1493281.74
338,02 Rollos de Cocina,2019-10-18,767724.1
339,05 Pañales Bebe,2021-01-17,47833.77
340,03 Servilletas Masivos,2019-12-22,138482.35
341,11 Toallas Húmedas,2020-01-16,35024.53
342,05 Pañales Bebe,2020-07-15,2861547.33
343,01 Mascotas,2021-02-23,1297.01
344,01 Higiénicos Masivos,2021-01-10,315936.33
345,01 Higiénicos Masivos,2019-11-19,5994374.45
346,10 Toallas Femeninas,2020-01-27,228020.24
347,11 Toallas Húmedas,2020-07-20,54277.51
348,02 Rollos de Cocina,2019-10-12,644957.34
349,04 Pañuelos Masivos,2020-08-11,5607.33
350,01 Mascotas,2021-03-01,99.7
351,01 Mascarilla ,2021-03-13,3232.61
352,02 Rollos de Cocina,2021-06-13,58490.76
353,11 Toallas Húmedas,2021-03-09,72612.64
354,03 Servilletas Masivos,2021-02-09,345829.36
355,01 Higiénicos Masivos,2021-01-07,5227162.38
356,38 Pañales Adultos,2020-03-26,55218.12
357,05 Pañales Bebe,2020-07-18,2363168.02
358,02 Rollos de Cocina,2021-06-07,1127453.8
359,10 Toallas Femeninas,2020-07-31,332840.41
360,38 Pañales Adultos,2019-09-22,1979.13
361,03 Servilletas Masivos,2019-12-25,5818.46
362,11 Toallas Húmedas,2021-05-09,2663.92
363,02 Rollos de Cocina,2020-12-12,1774604.9
364,02 Rollos de Cocina,2019-10-21,573371.19
365,38 Pañales Adultos,2019-11-22,129417.51
366,01 Mascotas,2020-09-02,282.52
367,11 Toallas Húmedas,2019-09-16,33241.32
368,04 Pañuelos Masivos,2021-04-09,15868.52
369,02 Rollos de Cocina,2020-06-09,1228865.34
370,01 Mascotas,2021-03-04,94.92
371,05 Pañales Bebe,2020-01-17,4070863.08
372,01 Mascotas,2020-08-27,243.17
373,11 Toallas Húmedas,2020-03-20,32033.66
374,04 Pañuelos Masivos,2020-02-16,164.97
375,10 Toallas Femeninas,2021-03-26,223159.07
376,01 Higiénicos Masivos,2020-07-14,4758635.72
377,05 Pañales Bebe,2020-07-21,2074508.0
378,02 Rollos de Cocina,2021-06-16,1153029.74
379,38 Pañales Adultos,2020-05-29,73234.06
380,01 Mascotas,2020-02-29,98.4
381,03 Servilletas Masivos,2021-02-18,295633.03
382,01 Higiénicos Masivos,2021-01-16,4648229.71
383,10 Toallas Femeninas,2020-09-21,223541.03
384,02 Rollos de Cocina,2020-12-15,2588008.18
385,38 Pañales Adultos,2021-01-16,60834.36
386,03 Servilletas Masivos,2020-08-16,4257.46
387,04 Pañuelos Masivos,2020-08-17,8254.27
388,04 Pañuelos Masivos,2021-04-06,7439.44
389,38 Pañales Adultos,2019-11-25,105482.2
390,11 Toallas Húmedas,2021-05-12,68421.65
391,05 Pañales Bebe,2021-03-10,1820689.19
392,11 Toallas Húmedas,2020-03-17,42899.87
393,38 Pañales Adultos,2019-11-28,69079.55
394,11 Toallas Húmedas,2019-09-13,41473.67
395,01 Higiénicos Masivos,2020-07-17,4177828.58
396,05 Pañales Bebe,2020-01-20,3490893.31
397,02 Rollos de Cocina,2020-12-09,1559331.74
398,11 Toallas Húmedas,2020-03-23,21711.42
399,11 Toallas Húmedas,2020-09-19,65621.87
400,10 Toallas Femeninas,2021-03-23,238274.7
401,03 Servilletas Masivos,2020-08-13,300607.22
402,04 Pañuelos Masivos,2020-02-13,9505.28
403,01 Higiénicos Masivos,2020-07-11,4869926.64
404,03 Servilletas Masivos,2021-02-15,339347.83
405,05 Pañales Bebe,2020-01-14,2040123.71
406,10 Toallas Femeninas,2021-03-29,255676.71
407,38 Pañales Adultos,2020-05-26,87492.99
408,03 Servilletas Masivos,2021-03-18,322147.86
409,05 Pañales Bebe,2020-11-06,1654077.85
410,11 Toallas Húmedas,2020-03-28,32295.14
411,01 Mascotas,2020-09-04,928.83
412,05 Pañales Bebe,2020-11-12,3767091.26
413,01 Mascotas,2021-03-09,448.85
414,38 Pañales Adultos,2019-12-03,44109.81
415,02 Rollos de Cocina,2021-03-30,1817007.08
416,01 Mascarilla ,2021-03-21,451.1
417,11 Toallas Húmedas,2020-03-22,406.3
418,11 Toallas Húmedas,2021-05-17,69067.78
419,38 Pañales Adultos,2020-06-06,71247.22
420,01 Higiénicos Masivos,2020-06-26,5954250.28
421,02 Rollos de Cocina,2020-02-06,953276.49
422,03 Servilletas Masivos,2020-07-29,236911.75
423,10 Toallas Femeninas,2020-12-18,195514.52
424,05 Pañales Bebe,2021-05-11,1339615.24
425,10 Toallas Femeninas,2020-06-15,245955.9
426,01 Higiénicos Masivos,2019-12-23,6025644.18
427,04 Pañuelos Masivos,2019-11-04,8383.51
428,04 Pañuelos Masivos,2019-11-10,339.86
429,03 Servilletas Masivos,2020-01-25,617614.18
430,01 Mascarilla ,2020-09-16,247.03
431,04 Pañuelos Masivos,2019-11-07,13752.84
432,01 Mascotas,2020-09-07,687.4
433,02 Rollos de Cocina,2020-02-12,899973.31
434,05 Pañales Bebe,2020-11-09,1441890.61
435,11 Toallas Húmedas,2020-03-25,24486.99
436,03 Servilletas Masivos,2020-07-26,14629.32
437,04 Pañuelos Masivos,2020-05-11,2433.11
438,05 Pañales Bebe,2020-05-07,2036153.01
439,01 Mascotas,2021-03-12,653.62
440,01 Higiénicos Masivos,2021-02-16,3405352.16
441,04 Pañuelos Masivos,2020-12-29,12900.58
442,11 Toallas Húmedas,2019-09-21,43007.92
443,02 Rollos de Cocina,2021-04-02,28131.13
444,38 Pañales Adultos,2019-11-30,130117.84
445,10 Toallas Femeninas,2020-12-15,196656.86
446,05 Pañales Bebe,2019-09-18,2220024.5
447,10 Toallas Femeninas,2021-06-19,162832.01
448,01 Mascarilla ,2021-03-24,2238.97
449,38 Pañales Adultos,2020-06-03,60850.54
450,01 Higiénicos Masivos,2019-12-26,6297404.28
451,11 Toallas Húmedas,2020-09-27,3022.3
452,10 Toallas Femeninas,2020-12-21,134341.69
453,03 Servilletas Masivos,2020-01-22,750375.16
454,02 Rollos de Cocina,2020-02-09,4103.95
455,01 Mascarilla ,2020-09-19,18.98
456,04 Pañuelos Masivos,2021-01-07,4677.96
457,10 Toallas Femeninas,2020-06-18,284320.56
458,38 Pañales Adultos,2020-11-30,200618.28
459,02 Rollos de Cocina,2020-10-04,9235.31
460,11 Toallas Húmedas,2021-03-26,86928.0
461,03 Servilletas Masivos,2021-03-24,551165.51
462,38 Pañales Adultos,2019-10-09,66889.12
463,02 Rollos de Cocina,2021-04-08,1256833.33
464,10 Toallas Femeninas,2019-12-15,8918.03
465,05 Pañales Bebe,2020-05-10,6391.56
466,01 Higiénicos Masivos,2021-02-22,3887313.66
467,05 Pañales Bebe,2019-11-09,2046491.65
468,03 Servilletas Masivos,2020-01-31,1015449.83
469,01 Higiénicos Masivos,2020-08-20,6069863.71
470,11 Toallas Húmedas,2020-09-18,61992.37
471,01 Higiénicos Masivos,2019-12-29,913336.09
472,01 Mascotas,2020-09-10,885.74
473,11 Toallas Húmedas,2020-09-24,61760.52
474,04 Pañuelos Masivos,2020-07-02,8671.87
475,01 Mascotas,2021-05-03,65.91
476,38 Pañales Adultos,2020-12-03,46806.01
477,01 Mascarilla ,2020-09-25,266.38
478,03 Servilletas Masivos,2021-03-21,12314.92
479,11 Toallas Húmedas,2021-03-23,62067.24
480,10 Toallas Femeninas,2019-12-18,231021.53
481,04 Pañuelos Masivos,2021-01-04,2520.31
482,05 Pañales Bebe,2020-05-16,2952812.4
483,02 Rollos de Cocina,2021-04-05,1030162.29
484,05 Pañales Bebe,2020-05-13,2632709.17
485,01 Higiénicos Masivos,2021-02-19,3782771.57
486,03 Servilletas Masivos,2020-01-28,702691.35
487,01 Higiénicos Masivos,2020-08-17,5737465.34
488,01 Mascotas,2020-03-11,184.22
489,02 Rollos de Cocina,2020-10-01,814060.02
490,03 Servilletas Masivos,2020-09-19,351123.67
491,38 Pañales Adultos,2020-05-28,131770.41
492,11 Toallas Húmedas,2020-09-21,56938.33
493,10 Toallas Femeninas,2021-02-11,222774.91
494,11 Toallas Húmedas,2020-11-21,66662.8
495,38 Pañales Adultos,2020-01-30,32755.3
496,05 Pañales Bebe,2019-11-15,2013574.57
497,02 Rollos de Cocina,2021-05-30,29607.47
498,01 Higiénicos Masivos,2020-02-22,4332084.42
499,01 Mascotas,2021-05-06,216.81
500,01 Mascarilla ,2021-01-25,5809.07
501,10 Toallas Femeninas,2019-12-21,187927.72
502,11 Toallas Húmedas,2020-05-19,39139.42
503,38 Pañales Adultos,2020-08-03,59587.56
504,03 Servilletas Masivos,2020-09-22,354946.09
505,05 Pañales Bebe,2021-01-06,2152736.97
506,02 Rollos de Cocina,2019-10-04,606806.63
507,04 Pañuelos Masivos,2020-01-04,16229.85
508,38 Pañales Adultos,2021-02-02,84728.01
509,01 Mascotas,2020-03-14,127.54
510,03 Servilletas Masivos,2021-03-27,372602.06
511,02 Rollos de Cocina,2020-04-07,1154119.4
512,04 Pañuelos Masivos,2020-07-08,10370.76
513,02 Rollos de Cocina,2020-10-10,944755.32
514,01 Mascotas,2020-11-04,6898.33
515,01 Higiénicos Masivos,2020-08-26,5690002.51
516,02 Rollos de Cocina,2020-10-07,978946.25
517,01 Higiénicos Masivos,2020-02-19,4524238.67
518,38 Pañales Adultos,2020-01-27,71270.71
519,03 Servilletas Masivos,2020-03-23,172849.59
520,11 Toallas Húmedas,2020-11-24,49487.81
521,11 Toallas Húmedas,2020-05-22,51897.24
522,10 Toallas Femeninas,2020-08-12,257619.6
523,38 Pañales Adultos,2020-07-31,179564.05
524,01 Mascarilla ,2021-01-22,29475.3
525,10 Toallas Femeninas,2019-12-24,113890.27
526,05 Pañales Bebe,2021-01-03,17885.0
527,38 Pañales Adultos,2020-07-28,16914.6
528,04 Pañuelos Masivos,2020-01-07,14817.08
529,02 Rollos de Cocina,2020-04-10,1148.42
530,05 Pañales Bebe,2019-11-12,2061358.43
531,04 Pañuelos Masivos,2020-07-05,134.72
532,02 Rollos de Cocina,2020-04-04,1100838.99
533,03 Servilletas Masivos,2020-09-25,276242.43
534,10 Toallas Femeninas,2021-02-14,16439.92
535,01 Higiénicos Masivos,2020-08-23,1287.74
536,05 Pañales Bebe,2020-01-06,2496459.0
537,01 Higiénicos Masivos,2021-04-21,4358432.96
538,05 Pañales Bebe,2020-07-10,2098689.77
539,02 Rollos de Cocina,2021-06-05,1396392.79
540,03 Servilletas Masivos,2020-03-26,207960.13
